Method,LOC,CC,PC
MemoryStreamFactoryManager:GetStream,3,1,1
MemoryStreamFactoryManager:GetStream,3,1,2
RecyclableMemoryStream:RecyclableMemoryStream,2,1,1
RecyclableMemoryStream:RecyclableMemoryStream,2,1,2
RecyclableMemoryStream:RecyclableMemoryStream,2,1,3
RecyclableMemoryStream:RecyclableMemoryStream,19,4,4
RecyclableMemoryStream:Dispose,42,9,1
RecyclableMemoryStream:Close,3,1,0
RecyclableMemoryStream:GetBuffer,23,4,0
RecyclableMemoryStream:ToArray,9,1,0
RecyclableMemoryStream:Read,18,5,3
RecyclableMemoryStream:Write,45,9,3
RecyclableMemoryStream:ToString,3,1,0
RecyclableMemoryStream:WriteByte,5,1,1
RecyclableMemoryStream:ReadByte,15,3,0
RecyclableMemoryStream:SetLength,11,3,1
RecyclableMemoryStream:Seek,25,13,2
RecyclableMemoryStream:WriteTo,18,4,1
RecyclableMemoryStream:CheckDisposed,5,2,0
RecyclableMemoryStream:InternalRead,23,4,4
RecyclableMemoryStream:GetBlockAndRelativeOffset,4,1,1
RecyclableMemoryStream:EnsureCapacity,18,5,1
RecyclableMemoryStream:ReleaseLargeBuffer,12,3,0
MemoryCheckpointReaderWriter:GetOrInitPosition,3,1,0
MemoryCheckpointReaderWriter:ReadPositionVolatile,3,1,0
MemoryCheckpointReaderWriter:Update,4,1,1
MemoryCheckpointReaderWriter:Read,3,1,0
MemoryCheckpointReaderWriter:ReadAsync,3,1,1
MemoryCheckpointReaderWriter:Dispose,2,1,0
MemoryPageReaderWriter:Init,3,1,0
MemoryPageReaderWriter:GetLength,3,1,0
MemoryPageReaderWriter:NextSize,3,1,0
MemoryPageReaderWriter:EnsureSize,8,2,1
MemoryPageReaderWriter:ReadPage,7,1,1
MemoryPageReaderWriter:Save,4,1,2
MemoryPageReaderWriter:SaveAsync,4,1,3
MemoryPageReaderWriter:GetMaxCommitSize,3,1,0
MemoryPageReaderWriter:GetPageSize,3,1,0
MemoryPageReaderWriter:DownloadRangeToStream,4,1,3
MemoryPageReaderWriter:DownloadRangeToStreamAsync,4,1,3
MemoryPageReaderWriter:Dispose,8,4,0
MessageIdTests:Roundtrip,8,1,0
MessageIdTests:Empty,5,1,0
MessageIdTests:Comparable,6,1,0
MessageIdTests:Equatable,6,1,0
MessageIdTests:RandIncrements,5,1,0
MessageIdTests:OffsetRoundtrip,10,2,0
MessageIdTests:TimestampRoundtrip,11,2,0
MessageIdTests:RandRoundtrip,10,2,0
MessageWriterTests:Setup,3,1,0
MessageWriterTests:CreateWriter,4,1,1
MessageWriterTests:Teardown,5,2,0
MessageWriterTests:EmptyInit,4,1,0
MessageWriterTests:SingleWrite,8,1,0
MessageWriterTests:BatchWrite,8,1,0
MessageWriterTests:SequentialWrite,10,1,0
MessageWriterTests:WriteAndReopen,11,1,0
MessageWriterTests:WriteLargeBatch,11,2,0
PageReadStreamTests:PageReadStreamTests,5,1,0
PageReadStreamTests:Setup,4,1,0
PageReadStreamTests:FixtureTeardown,3,1,0
PageReadStreamTests:given_small_cache,13,7,0
PageReadStreamTests:given_large_cache,15,5,0
PageReadStreamTests:given_offset,12,5,0
SyntheticFileTests:Setup,17,2,0
SyntheticFileTests:TearDown,5,1,0
SyntheticMemoryTests:Setup,9,1,0
SyntheticTestBase:given_empty_when_check_position,4,1,0
SyntheticTestBase:append_throws_on_empty_collection,3,1,0
SyntheticTestBase:RandBytes,5,1,1
SyntheticTestBase:given_empty_when_write_message,9,1,0
SyntheticTestBase:given_one_written_message_when_read_from_start,17,1,0
SyntheticTestBase:given_two_written_messages_when_read_from_offset,2,1,0
SyntheticTestBase:quasi_random_test,15,3,0
TestEnvironment:TestEnvironment,4,1,0
TestEnvironment:GetContainerName,5,1,1
TransferFormatTests:GenerateMessages,12,3,1
TransferFormatTests:AssertEqual,9,2,2
TransferFormatTests:ValidHash,9,3,0
TransferFormatTests:InValidHash,12,3,0
