Implementation smell,Namespace,Class,File,Method,Description
Long Statement,IronmanTests.API,Manager,D:\research\architectureSmells\repos\JaCraig_Craig-s-Utility-Library\IronmanTests\API\Manager.cs,All,The length of the statement  "            var TestObject = new Ironman.Core.API.Manager.Manager(Utilities.IoC.Manager.Bootstrapper.ResolveAll<IAPIMapping>()' Utilities.IoC.Manager.Bootstrapper.ResolveAll<IService>()' Utilities.IoC.Manager.Bootstrapper.ResolveAll<IWorkflowModule>()' Utilities.IoC.Manager.Bootstrapper.Resolve<Utilities.Workflow.Manager.Manager>()); " is 323.
Long Statement,Ironman.Core.Tests.Plugins,PluginManager,D:\research\architectureSmells\repos\JaCraig_Craig-s-Utility-Library\IronmanTests\Plugins\PluginManager.cs,InstallPluginMultipleTimes,The length of the statement  "            var Manager = new Core.Plugins.PluginManager(new string[] { "http://localhost:8797/api/v2" }' Utilities.IoC.Manager.Bootstrapper); " is 130.
Long Statement,Ironman.Core.Tests.Plugins,PluginManager,D:\research\architectureSmells\repos\JaCraig_Craig-s-Utility-Library\IronmanTests\Plugins\PluginManager.cs,InstallPluginMultipleTimes,The length of the statement  "            Assert.Equal("xUnit.net is a developer testing framework' built to support Test Driven Development' with a design goal of extreme simplicity and alignment with framework features."' TempPlugin.Description); " is 206.
Long Statement,Ironman.Core.Tests.Plugins,PluginManager,D:\research\architectureSmells\repos\JaCraig_Craig-s-Utility-Library\IronmanTests\Plugins\PluginManager.cs,InstallPluginWithRequireds,The length of the statement  "            var Manager = new Core.Plugins.PluginManager(new string[] { "http://localhost:8797/api/v2" }' Utilities.IoC.Manager.Bootstrapper); " is 130.
Long Statement,Ironman.Core.Tests.Plugins,PluginManager,D:\research\architectureSmells\repos\JaCraig_Craig-s-Utility-Library\IronmanTests\Plugins\PluginManager.cs,UninstallPlugin,The length of the statement  "            var Manager = new Core.Plugins.PluginManager(new string[] { "http://localhost:8797/api/v2" }' Utilities.IoC.Manager.Bootstrapper); " is 130.
Long Statement,Ironman.Core.Tests.Plugins,PluginManager,D:\research\architectureSmells\repos\JaCraig_Craig-s-Utility-Library\IronmanTests\Plugins\PluginManager.cs,UpdatePlugin,The length of the statement  "            var Manager = new Core.Plugins.PluginManager(new string[] { "http://localhost:8797/api/v2" }' Utilities.IoC.Manager.Bootstrapper); " is 130.
Long Statement,Ironman.Core.Tests.Plugins,PluginManager,D:\research\architectureSmells\repos\JaCraig_Craig-s-Utility-Library\IronmanTests\Plugins\PluginManager.cs,UpdatePlugin,The length of the statement  "            Assert.Equal("xUnit.net is a developer testing framework' built to support Test Driven Development' with a design goal of extreme simplicity and alignment with framework features."' TempPlugin.Description); " is 206.
Magic Number,IronmanTests.API,Manager,D:\research\architectureSmells\repos\JaCraig_Craig-s-Utility-Library\IronmanTests\API\Manager.cs,All,The following statement contains a magic number: Assert.Equal(10' Objects[0]["B"]);
Magic Number,IronmanTests.API,Manager,D:\research\architectureSmells\repos\JaCraig_Craig-s-Utility-Library\IronmanTests\API\Manager.cs,All,The following statement contains a magic number: Assert.Equal(2.13f' Objects[0]["C"]);
Magic Number,IronmanTests.API,Manager,D:\research\architectureSmells\repos\JaCraig_Craig-s-Utility-Library\IronmanTests\API\Manager.cs,All,The following statement contains a magic number: Assert.Equal(212' Objects[1]["B"]);
Magic Number,IronmanTests.API,Manager,D:\research\architectureSmells\repos\JaCraig_Craig-s-Utility-Library\IronmanTests\API\Manager.cs,All,The following statement contains a magic number: Assert.Equal(213f' Objects[1]["C"]);
Magic Number,IronmanTests.API,Manager,D:\research\architectureSmells\repos\JaCraig_Craig-s-Utility-Library\IronmanTests\API\Manager.cs,Any,The following statement contains a magic number: Assert.Equal(10' Object["B"]);
Magic Number,IronmanTests.API,Manager,D:\research\architectureSmells\repos\JaCraig_Craig-s-Utility-Library\IronmanTests\API\Manager.cs,Any,The following statement contains a magic number: Assert.Equal(2.13f' Object["C"]);
Magic Number,IronmanTests.API,Manager,D:\research\architectureSmells\repos\JaCraig_Craig-s-Utility-Library\IronmanTests\API\Manager.cs,AnyEmbedded,The following statement contains a magic number: Assert.Equal(10' Object["B"]);
Magic Number,IronmanTests.API,Manager,D:\research\architectureSmells\repos\JaCraig_Craig-s-Utility-Library\IronmanTests\API\Manager.cs,AnyEmbedded,The following statement contains a magic number: Assert.Equal(2.13f' Object["C"]);
Magic Number,IronmanTests.API,TestClassMapping,D:\research\architectureSmells\repos\JaCraig_Craig-s-Utility-Library\IronmanTests\API\Manager.cs,TestClassMapping,The following statement contains a magic number: this.SetAll(() => new TestClass[] { new TestClass { A = "ASDFG"' B = 10' C = 2.13f }' new TestClass { A = "ZXCV"' B = 212' C = 213f } }.ToList());
Magic Number,IronmanTests.API,TestClassMapping,D:\research\architectureSmells\repos\JaCraig_Craig-s-Utility-Library\IronmanTests\API\Manager.cs,TestClassMapping,The following statement contains a magic number: this.SetAll(() => new TestClass[] { new TestClass { A = "ASDFG"' B = 10' C = 2.13f }' new TestClass { A = "ZXCV"' B = 212' C = 213f } }.ToList());
Magic Number,IronmanTests.API,TestClassMapping,D:\research\architectureSmells\repos\JaCraig_Craig-s-Utility-Library\IronmanTests\API\Manager.cs,TestClassMapping,The following statement contains a magic number: this.SetAll(() => new TestClass[] { new TestClass { A = "ASDFG"' B = 10' C = 2.13f }' new TestClass { A = "ZXCV"' B = 212' C = 213f } }.ToList());
Magic Number,IronmanTests.API,TestClassMapping,D:\research\architectureSmells\repos\JaCraig_Craig-s-Utility-Library\IronmanTests\API\Manager.cs,TestClassMapping,The following statement contains a magic number: this.SetAll(() => new TestClass[] { new TestClass { A = "ASDFG"' B = 10' C = 2.13f }' new TestClass { A = "ZXCV"' B = 212' C = 213f } }.ToList());
Magic Number,IronmanTests.API,TestClassMapping,D:\research\architectureSmells\repos\JaCraig_Craig-s-Utility-Library\IronmanTests\API\Manager.cs,TestClassMapping,The following statement contains a magic number: this.SetAny(x => new TestClass { A = "ASDFG"' B = 10' C = 2.13f });
Magic Number,IronmanTests.API,TestClassMapping,D:\research\architectureSmells\repos\JaCraig_Craig-s-Utility-Library\IronmanTests\API\Manager.cs,TestClassMapping,The following statement contains a magic number: this.SetAny(x => new TestClass { A = "ASDFG"' B = 10' C = 2.13f });
Magic Number,Ironman.Core.Tests.Plugins,PluginManager,D:\research\architectureSmells\repos\JaCraig_Craig-s-Utility-Library\IronmanTests\Plugins\PluginManager.cs,InstallPlugin,The following statement contains a magic number: Assert.Equal(6' new DirectoryInfo("~/App_Data/plugins/xunit/").EnumerateFiles().Count());
Magic Number,Ironman.Core.Tests.Plugins,PluginManager,D:\research\architectureSmells\repos\JaCraig_Craig-s-Utility-Library\IronmanTests\Plugins\PluginManager.cs,InstallPlugin,The following statement contains a magic number: Assert.Equal(6' TempPlugin.Files.Count);
Magic Number,Ironman.Core.Tests.Plugins,PluginManager,D:\research\architectureSmells\repos\JaCraig_Craig-s-Utility-Library\IronmanTests\Plugins\PluginManager.cs,InstallPluginMultipleTimes,The following statement contains a magic number: Assert.Equal(6' new DirectoryInfo("~/App_Data/plugins/xunit/").EnumerateFiles().Count());
Magic Number,Ironman.Core.Tests.Plugins,PluginManager,D:\research\architectureSmells\repos\JaCraig_Craig-s-Utility-Library\IronmanTests\Plugins\PluginManager.cs,InstallPluginMultipleTimes,The following statement contains a magic number: Assert.Equal(6' TempPlugin.Files.Count);
Magic Number,Ironman.Core.Tests.Plugins,PluginManager,D:\research\architectureSmells\repos\JaCraig_Craig-s-Utility-Library\IronmanTests\Plugins\PluginManager.cs,UpdatePlugin,The following statement contains a magic number: Assert.Equal(6' new DirectoryInfo("~/App_Data/plugins/xunit/").EnumerateFiles().Count());
Magic Number,Ironman.Core.Tests.Plugins,PluginManager,D:\research\architectureSmells\repos\JaCraig_Craig-s-Utility-Library\IronmanTests\Plugins\PluginManager.cs,UpdatePlugin,The following statement contains a magic number: Assert.Equal(6' TempPlugin.Files.Count);
