Implementation smell,Namespace,Class,File,Method,Description
Long Statement,OpenTokSDKTest,OpenTokTest,C:\research\architectureSmells\repos\opentok_Opentok-.NET-SDK\OpenTokTest\OpenTokTest.cs,CreateSimpleSessionTest,The length of the statement  "            mockClient.Setup(httpClient => httpClient.Post(It.IsAny<string>()' It.IsAny<Dictionary<string' string>>()' It.IsAny<Dictionary<string' object>>())).Returns(returnString); " is 170.
Long Statement,OpenTokSDKTest,OpenTokTest,C:\research\architectureSmells\repos\opentok_Opentok-.NET-SDK\OpenTokTest\OpenTokTest.cs,CreateInvalidAlwaysArchivedReplayedSessionTest,The length of the statement  "            mockClient.Setup(httpClient => httpClient.Post(It.IsAny<string>()' It.IsAny<Dictionary<string' string>>()' It.IsAny<Dictionary<string' object>>())).Returns("This function should not return anything"); " is 200.
Long Statement,OpenTokSDKTest,OpenTokTest,C:\research\architectureSmells\repos\opentok_Opentok-.NET-SDK\OpenTokTest\OpenTokTest.cs,GetArchiveTest,The length of the statement  "            mockClient.Verify(httpClient => httpClient.Get(It.Is<string>(url => url.Equals("v2/project/"+this.apiKey+"/archive/"+archiveId)))' Times.Once()); " is 145.
Long Statement,OpenTokSDKTest,OpenTokTest,C:\research\architectureSmells\repos\opentok_Opentok-.NET-SDK\OpenTokTest\OpenTokTest.cs,GetExpiredArchiveTest,The length of the statement  "            mockClient.Verify(httpClient => httpClient.Get(It.Is<string>(url => url.Equals("v2/project/" + this.apiKey + "/archive/" + archiveId)))' Times.Once()); " is 151.
Long Statement,OpenTokSDKTest,OpenTokTest,C:\research\architectureSmells\repos\opentok_Opentok-.NET-SDK\OpenTokTest\OpenTokTest.cs,GetArchiveWithUnknownPropertiesTest,The length of the statement  "            mockClient.Verify(httpClient => httpClient.Get(It.Is<string>(url => url.Equals("v2/project/" + this.apiKey + "/archive/" + archiveId)))' Times.Once()); " is 151.
Long Statement,OpenTokSDKTest,OpenTokTest,C:\research\architectureSmells\repos\opentok_Opentok-.NET-SDK\OpenTokTest\OpenTokTest.cs,ListArchivesTest,The length of the statement  "            mockClient.Verify(httpClient => httpClient.Get(It.Is<string>(url => url.Equals("v2/project/"+apiKey + "/archive?offset=0")))' Times.Once()); " is 140.
Long Statement,OpenTokSDKTest,OpenTokTest,C:\research\architectureSmells\repos\opentok_Opentok-.NET-SDK\OpenTokTest\OpenTokTest.cs,StartArchiveTest,The length of the statement  "            mockClient.Setup(httpClient => httpClient.Post(It.IsAny<string>()' It.IsAny<Dictionary<string' string>>()' It.IsAny<Dictionary<string' object>>())).Returns(returnString); " is 170.
Long Statement,OpenTokSDKTest,OpenTokTest,C:\research\architectureSmells\repos\opentok_Opentok-.NET-SDK\OpenTokTest\OpenTokTest.cs,StartArchiveTest,The length of the statement  "            mockClient.Verify(httpClient => httpClient.Post(It.Is<string>(url => url.Equals("v2/project/"+ apiKey +"/archive"))' It.IsAny<Dictionary<string' string>>()' It.IsAny<Dictionary<string' object>>())' Times.Once()); " is 212.
Long Statement,OpenTokSDKTest,OpenTokTest,C:\research\architectureSmells\repos\opentok_Opentok-.NET-SDK\OpenTokTest\OpenTokTest.cs,StartArchiveIndividualTest,The length of the statement  "            mockClient.Setup(httpClient => httpClient.Post(It.IsAny<string>()' It.IsAny<Dictionary<string' string>>()' It.IsAny<Dictionary<string' object>>())).Returns(returnString); " is 170.
Long Statement,OpenTokSDKTest,OpenTokTest,C:\research\architectureSmells\repos\opentok_Opentok-.NET-SDK\OpenTokTest\OpenTokTest.cs,StartArchiveIndividualTest,The length of the statement  "            mockClient.Verify(httpClient => httpClient.Post(It.Is<string>(url => url.Equals("v2/project/" + apiKey + "/archive"))' It.IsAny<Dictionary<string' string>>()' It.IsAny<Dictionary<string' object>>())' Times.Once()); " is 214.
Long Statement,OpenTokSDKTest,OpenTokTest,C:\research\architectureSmells\repos\opentok_Opentok-.NET-SDK\OpenTokTest\OpenTokTest.cs,StartArchiveWithSDResolutionTest,The length of the statement  "            mockClient.Setup(httpClient => httpClient.Post(It.IsAny<string>()' It.IsAny<Dictionary<string' string>>()' It.IsAny<Dictionary<string' object>>())).Returns(returnString); " is 170.
Long Statement,OpenTokSDKTest,OpenTokTest,C:\research\architectureSmells\repos\opentok_Opentok-.NET-SDK\OpenTokTest\OpenTokTest.cs,StartArchiveWithSDResolutionTest,The length of the statement  "            mockClient.Verify(httpClient => httpClient.Post(It.Is<string>(url => url.Equals("v2/project/" + apiKey + "/archive"))' It.IsAny<Dictionary<string' string>>()' It.IsAny<Dictionary<string' object>>())' Times.Once()); " is 214.
Long Statement,OpenTokSDKTest,OpenTokTest,C:\research\architectureSmells\repos\opentok_Opentok-.NET-SDK\OpenTokTest\OpenTokTest.cs,StartArchiveWithHDResolutionTest,The length of the statement  "            mockClient.Setup(httpClient => httpClient.Post(It.IsAny<string>()' It.IsAny<Dictionary<string' string>>()' It.IsAny<Dictionary<string' object>>())).Returns(returnString); " is 170.
Long Statement,OpenTokSDKTest,OpenTokTest,C:\research\architectureSmells\repos\opentok_Opentok-.NET-SDK\OpenTokTest\OpenTokTest.cs,StartArchiveWithHDResolutionTest,The length of the statement  "            mockClient.Verify(httpClient => httpClient.Post(It.Is<string>(url => url.Equals("v2/project/" + apiKey + "/archive"))' It.IsAny<Dictionary<string' string>>()' It.IsAny<Dictionary<string' object>>())' Times.Once()); " is 214.
Long Statement,OpenTokSDKTest,OpenTokTest,C:\research\architectureSmells\repos\opentok_Opentok-.NET-SDK\OpenTokTest\OpenTokTest.cs,CreateInvalidIndividualModeArchivingWithResolution,The length of the statement  "            mockClient.Setup(httpClient => httpClient.Post(It.IsAny<string>()' It.IsAny<Dictionary<string' string>>()' It.IsAny<Dictionary<string' object>>())).Returns(returnString); " is 170.
Long Statement,OpenTokSDKTest,OpenTokTest,C:\research\architectureSmells\repos\opentok_Opentok-.NET-SDK\OpenTokTest\OpenTokTest.cs,StartArchiveNoResolutionTest,The length of the statement  "            mockClient.Setup(httpClient => httpClient.Post(It.IsAny<string>()' It.IsAny<Dictionary<string' string>>()' It.IsAny<Dictionary<string' object>>())).Returns(returnString); " is 170.
Long Statement,OpenTokSDKTest,OpenTokTest,C:\research\architectureSmells\repos\opentok_Opentok-.NET-SDK\OpenTokTest\OpenTokTest.cs,StartArchiveNoResolutionTest,The length of the statement  "            mockClient.Verify(httpClient => httpClient.Post(It.Is<string>(url => url.Equals("v2/project/" + apiKey + "/archive"))' It.IsAny<Dictionary<string' string>>()' It.IsAny<Dictionary<string' object>>())' Times.Once()); " is 214.
Long Statement,OpenTokSDKTest,OpenTokTest,C:\research\architectureSmells\repos\opentok_Opentok-.NET-SDK\OpenTokTest\OpenTokTest.cs,StartArchiveVoiceOnlyTest,The length of the statement  "            mockClient.Setup(httpClient => httpClient.Post(It.IsAny<string>()' It.IsAny<Dictionary<string' string>>()' It.IsAny<Dictionary<string' object>>())).Returns(returnString); " is 170.
Long Statement,OpenTokSDKTest,OpenTokTest,C:\research\architectureSmells\repos\opentok_Opentok-.NET-SDK\OpenTokTest\OpenTokTest.cs,StartArchiveVoiceOnlyTest,The length of the statement  "            mockClient.Verify(httpClient => httpClient.Post(It.Is<string>(url => url.Equals("v2/project/" + apiKey + "/archive"))' It.IsAny<Dictionary<string' string>>()' It.IsAny<Dictionary<string' object>>())' Times.Once()); " is 214.
Long Statement,OpenTokSDKTest,OpenTokTest,C:\research\architectureSmells\repos\opentok_Opentok-.NET-SDK\OpenTokTest\OpenTokTest.cs,GetStreamTestFromOpenTokInstance,The length of the statement  "            mockClient.Verify(httpClient => httpClient.Get(It.Is<string>(url => url.Equals("v2/project/" + this.apiKey + "/session/" + sessionId +"/stream/" + streamId)))' Times.Once()); " is 174.
Long Statement,OpenTokSDKTest,OpenTokTest,C:\research\architectureSmells\repos\opentok_Opentok-.NET-SDK\OpenTokTest\OpenTokTest.cs,GetStreamEmptyTestFromOpenTokInstance,The length of the statement  "            mockClient.Verify(httpClient => httpClient.Get(It.Is<string>(url => url.Equals("v2/project/" + this.apiKey + "/session/" + sessionId +"/stream/" + streamId)))' Times.Once()); " is 174.
Long Statement,OpenTokSDKTest,OpenTokTest,C:\research\architectureSmells\repos\opentok_Opentok-.NET-SDK\OpenTokTest\OpenTokTest.cs,ListStreamTestFromOpenTokInstance,The length of the statement  "            mockClient.Verify(httpClient => httpClient.Get(It.Is<string>(url => url.Equals("v2/project/" + this.apiKey + "/session/" + sessionId + "/stream")))' Times.Once()); " is 163.
Long Statement,OpenTokSDKTest,OpenTokTest,C:\research\architectureSmells\repos\opentok_Opentok-.NET-SDK\OpenTokTest\OpenTokTest.cs,SignalOpenTokArgumentExceptionTest,The length of the statement  "            mockClient.Setup(httpClient => httpClient.Post(It.IsAny<string>()' It.IsAny<Dictionary<string' string>>()' It.IsAny<Dictionary<string' object>>())); " is 148.
Long Statement,OpenTokSDKTest,OpenTokTest,C:\research\architectureSmells\repos\opentok_Opentok-.NET-SDK\OpenTokTest\OpenTokTest.cs,SignalToAllTest,The length of the statement  "            mockClient.Setup(httpClient => httpClient.Post(It.IsAny<string>()' It.IsAny<Dictionary<string' string>>()' It.IsAny<Dictionary<string' object>>())); " is 148.
Long Statement,OpenTokSDKTest,OpenTokTest,C:\research\architectureSmells\repos\opentok_Opentok-.NET-SDK\OpenTokTest\OpenTokTest.cs,SignalWithDataAndTypeTest,The length of the statement  "            mockClient.Setup(httpClient => httpClient.Post(It.IsAny<string>()' It.IsAny<Dictionary<string' string>>()' It.IsAny<Dictionary<string' object>>())); " is 148.
Long Statement,OpenTokSDKTest,OpenTokTest,C:\research\architectureSmells\repos\opentok_Opentok-.NET-SDK\OpenTokTest\OpenTokTest.cs,SignalToSingleConnection,The length of the statement  "            mockClient.Setup(httpClient => httpClient.Post(It.IsAny<string>()' It.IsAny<Dictionary<string' string>>()' It.IsAny<Dictionary<string' object>>())); " is 148.
Long Statement,OpenTokSDKTest,OpenTokTest,C:\research\architectureSmells\repos\opentok_Opentok-.NET-SDK\OpenTokTest\OpenTokTest.cs,StartBroadcastTest,The length of the statement  "            mockClient.Setup(httpClient => httpClient.Post(It.IsAny<string>()' It.IsAny<Dictionary<string' string>>()' It.IsAny<Dictionary<string' object>>())).Returns(returnString); " is 170.
Long Statement,OpenTokSDKTest,OpenTokTest,C:\research\architectureSmells\repos\opentok_Opentok-.NET-SDK\OpenTokTest\OpenTokTest.cs,StartBroadcastTest,The length of the statement  "            mockClient.Verify(httpClient => httpClient.Post(It.Is<string>(url => url.Equals("v2/project/" + apiKey + "/broadcast"))' It.IsAny<Dictionary<string' string>>()' It.IsAny<Dictionary<string' object>>())' Times.Once()); " is 216.
Long Statement,OpenTokSDKTest,OpenTokTest,C:\research\architectureSmells\repos\opentok_Opentok-.NET-SDK\OpenTokTest\OpenTokTest.cs,StartBroadcastWithHDResolutionTest,The length of the statement  "            mockClient.Setup(httpClient => httpClient.Post(It.IsAny<string>()' It.IsAny<Dictionary<string' string>>()' It.IsAny<Dictionary<string' object>>())).Returns(returnString); " is 170.
Long Statement,OpenTokSDKTest,OpenTokTest,C:\research\architectureSmells\repos\opentok_Opentok-.NET-SDK\OpenTokTest\OpenTokTest.cs,StartBroadcastWithHDResolutionTest,The length of the statement  "            mockClient.Verify(httpClient => httpClient.Post(It.Is<string>(url => url.Equals("v2/project/" + apiKey + "/broadcast"))' It.IsAny<Dictionary<string' string>>()' It.IsAny<Dictionary<string' object>>())' Times.Once()); " is 216.
Long Statement,OpenTokSDKTest,OpenTokTest,C:\research\architectureSmells\repos\opentok_Opentok-.NET-SDK\OpenTokTest\OpenTokTest.cs,StartBroadcastWithSDResolutionTest,The length of the statement  "            mockClient.Setup(httpClient => httpClient.Post(It.IsAny<string>()' It.IsAny<Dictionary<string' string>>()' It.IsAny<Dictionary<string' object>>())).Returns(returnString); " is 170.
Long Statement,OpenTokSDKTest,OpenTokTest,C:\research\architectureSmells\repos\opentok_Opentok-.NET-SDK\OpenTokTest\OpenTokTest.cs,StartBroadcastWithSDResolutionTest,The length of the statement  "            mockClient.Verify(httpClient => httpClient.Post(It.Is<string>(url => url.Equals("v2/project/" + apiKey + "/broadcast"))' It.IsAny<Dictionary<string' string>>()' It.IsAny<Dictionary<string' object>>())' Times.Once()); " is 216.
Long Statement,OpenTokSDKTest,OpenTokTest,C:\research\architectureSmells\repos\opentok_Opentok-.NET-SDK\OpenTokTest\OpenTokTest.cs,StartBroadcastOnlyWithRTMPTest,The length of the statement  "            mockClient.Setup(httpClient => httpClient.Post(It.IsAny<string>()' It.IsAny<Dictionary<string' string>>()' It.IsAny<Dictionary<string' object>>())).Returns(returnString); " is 170.
Long Statement,OpenTokSDKTest,OpenTokTest,C:\research\architectureSmells\repos\opentok_Opentok-.NET-SDK\OpenTokTest\OpenTokTest.cs,StartBroadcastOnlyWithRTMPTest,The length of the statement  "            mockClient.Verify(httpClient => httpClient.Post(It.Is<string>(url => url.Equals("v2/project/" + apiKey + "/broadcast"))' It.IsAny<Dictionary<string' string>>()' It.IsAny<Dictionary<string' object>>())' Times.Once()); " is 216.
Long Statement,OpenTokSDKTest,OpenTokTest,C:\research\architectureSmells\repos\opentok_Opentok-.NET-SDK\OpenTokTest\OpenTokTest.cs,StartBroadcastWithRTMPandHLSTest,The length of the statement  "            mockClient.Setup(httpClient => httpClient.Post(It.IsAny<string>()' It.IsAny<Dictionary<string' string>>()' It.IsAny<Dictionary<string' object>>())).Returns(returnString); " is 170.
Long Statement,OpenTokSDKTest,OpenTokTest,C:\research\architectureSmells\repos\opentok_Opentok-.NET-SDK\OpenTokTest\OpenTokTest.cs,StartBroadcastWithRTMPandHLSTest,The length of the statement  "            mockClient.Verify(httpClient => httpClient.Post(It.Is<string>(url => url.Equals("v2/project/" + apiKey + "/broadcast"))' It.IsAny<Dictionary<string' string>>()' It.IsAny<Dictionary<string' object>>())' Times.Once()); " is 216.
Long Statement,OpenTokSDKTest,OpenTokTest,C:\research\architectureSmells\repos\opentok_Opentok-.NET-SDK\OpenTokTest\OpenTokTest.cs,StopBroadcastTest,The length of the statement  "            mockClient.Setup(httpClient => httpClient.Post(It.IsAny<string>()' It.IsAny<Dictionary<string' string>>()' It.IsAny<Dictionary<string' object>>())).Returns(returnString); " is 170.
Long Statement,OpenTokSDKTest,OpenTokTest,C:\research\architectureSmells\repos\opentok_Opentok-.NET-SDK\OpenTokTest\OpenTokTest.cs,StopBroadcastTest,The length of the statement  "            mockClient.Verify(httpClient => httpClient.Post(It.Is<string>(url => url.Equals("v2/project/" + apiKey + "/broadcast/" + broadcastId + "/stop"))' It.IsAny<Dictionary<string' string>>()' It.IsAny<Dictionary<string' object>>())' Times.Once()); " is 241.
Long Statement,OpenTokSDKTest,OpenTokTest,C:\research\architectureSmells\repos\opentok_Opentok-.NET-SDK\OpenTokTest\OpenTokTest.cs,GetBroadcastTest,The length of the statement  "            mockClient.Verify(httpClient => httpClient.Get(It.Is<string>(url => url.Equals("v2/project/" + this.apiKey + "/broadcast/" + broadcastId)))' Times.Once()); " is 155.
Long Statement,OpenTokSDKTest,OpenTokTest,C:\research\architectureSmells\repos\opentok_Opentok-.NET-SDK\OpenTokTest\OpenTokTest.cs,SetStreamClassListsTest,The length of the statement  "            mockClient.Setup(httpClient => httpClient.Put(It.IsAny<string>()' It.IsAny<Dictionary<string' string>>()' It.IsAny<Dictionary<string' object>>())).Returns("This function should not return anything"); " is 199.
Long Statement,OpenTokSDKTest,OpenTokTest,C:\research\architectureSmells\repos\opentok_Opentok-.NET-SDK\OpenTokTest\OpenTokTest.cs,SetStreamClassListsTest,The length of the statement  "            mockClient.Verify(httpClient => httpClient.Put(It.Is<string>(url => url.Equals("v2/project/" + apiKey + "/session/" + sessionId + "/stream"))' It.IsAny<Dictionary<string' string>>()' It.IsAny<Dictionary<string' object>>())' Times.Once()); " is 238.
Magic Number,OpenTokSDKTest,OpenTokTest,C:\research\architectureSmells\repos\opentok_Opentok-.NET-SDK\OpenTokTest\OpenTokTest.cs,GenerateTokenWithExpireTimeTest,The following statement contains a magic number: double expireTime = OpenTokUtils.GetCurrentUnixTimeStamp() + 10;
Magic Number,OpenTokSDKTest,OpenTokTest,C:\research\architectureSmells\repos\opentok_Opentok-.NET-SDK\OpenTokTest\OpenTokTest.cs,GenerateTokenWithConnectionDataTest,The following statement contains a magic number: double expireTime = OpenTokUtils.GetCurrentUnixTimeStamp() + 10;
Magic Number,OpenTokSDKTest,OpenTokTest,C:\research\architectureSmells\repos\opentok_Opentok-.NET-SDK\OpenTokTest\OpenTokTest.cs,GenerateInvalidTokensTest,The following statement contains a magic number: Assert.Equal(exceptions.Count' 3);
Magic Number,OpenTokSDKTest,OpenTokTest,C:\research\architectureSmells\repos\opentok_Opentok-.NET-SDK\OpenTokTest\OpenTokTest.cs,GetArchiveTest,The following statement contains a magic number: Assert.Equal(1395187836000L' archive.CreatedAt);
Magic Number,OpenTokSDKTest,OpenTokTest,C:\research\architectureSmells\repos\opentok_Opentok-.NET-SDK\OpenTokTest\OpenTokTest.cs,GetArchiveTest,The following statement contains a magic number: Assert.Equal(62' archive.Duration);
Magic Number,OpenTokSDKTest,OpenTokTest,C:\research\architectureSmells\repos\opentok_Opentok-.NET-SDK\OpenTokTest\OpenTokTest.cs,GetArchiveTest,The following statement contains a magic number: Assert.Equal(8347554' archive.Size);
Magic Number,OpenTokSDKTest,OpenTokTest,C:\research\architectureSmells\repos\opentok_Opentok-.NET-SDK\OpenTokTest\OpenTokTest.cs,ListArchivesTest,The following statement contains a magic number: Assert.Equal(6' archives.Count);
Magic Number,OpenTokSDKTest,OpenTokTest,C:\research\architectureSmells\repos\opentok_Opentok-.NET-SDK\OpenTokTest\OpenTokTest.cs,ListStreamTestFromOpenTokInstance,The following statement contains a magic number: Assert.Equal(2' streamList.Count);
Magic Number,OpenTokSDKTest,OpenTokTest,C:\research\architectureSmells\repos\opentok_Opentok-.NET-SDK\OpenTokTest\OpenTokTest.cs,CheckToken,The following statement contains a magic number: string baseToken = OpenTokUtils.Decode64(token.Substring(4));
Magic Number,OpenTokSDKTest,OpenTokTest,C:\research\architectureSmells\repos\opentok_Opentok-.NET-SDK\OpenTokTest\OpenTokTest.cs,StartBroadcastOnlyWithRTMPTest,The following statement contains a magic number: Assert.Equal(broadcast.RtmpList.Count()' 2);
Magic Number,OpenTokSDKTest,OpenTokTest,C:\research\architectureSmells\repos\opentok_Opentok-.NET-SDK\OpenTokTest\OpenTokTest.cs,StartBroadcastWithRTMPandHLSTest,The following statement contains a magic number: Assert.Equal(broadcast.RtmpList.Count()' 2);
