Implementation smell,Namespace,Class,File,Method,Description
Magic Number,Spelling.Core,WordView,D:\research\architectureSmells\repos\MichaelJames6_Language-Spelling\Spelling.Core\Views\Custom Views\WordView.cs,WordView,The following statement contains a magic number: _title = new UILabel(new CGRect(0' 45' frame.Width' 50))              {                  TextAlignment = UITextAlignment.Center'                  TextColor = "3C3C3C".ToUIColor()'                  Font = UIFont.FromName("Raleway-SemiBold"' 32)'                  Text = title              };
Magic Number,Spelling.Core,WordView,D:\research\architectureSmells\repos\MichaelJames6_Language-Spelling\Spelling.Core\Views\Custom Views\WordView.cs,WordView,The following statement contains a magic number: _title = new UILabel(new CGRect(0' 45' frame.Width' 50))              {                  TextAlignment = UITextAlignment.Center'                  TextColor = "3C3C3C".ToUIColor()'                  Font = UIFont.FromName("Raleway-SemiBold"' 32)'                  Text = title              };
Magic Number,Spelling.Core,WordView,D:\research\architectureSmells\repos\MichaelJames6_Language-Spelling\Spelling.Core\Views\Custom Views\WordView.cs,WordView,The following statement contains a magic number: _word = new UILabel(new CGRect(0' 108' frame.Width' 59))              {                  TextAlignment = UITextAlignment.Center'                  TextColor = "3C3C3C".ToUIColor()'                  Font = UIFont.FromName("Raleway-Regular"' 32)'                  Text = value              };
Magic Number,Spelling.Core,WordView,D:\research\architectureSmells\repos\MichaelJames6_Language-Spelling\Spelling.Core\Views\Custom Views\WordView.cs,WordView,The following statement contains a magic number: _word = new UILabel(new CGRect(0' 108' frame.Width' 59))              {                  TextAlignment = UITextAlignment.Center'                  TextColor = "3C3C3C".ToUIColor()'                  Font = UIFont.FromName("Raleway-Regular"' 32)'                  Text = value              };
Magic Number,Spelling.Core,WordView,D:\research\architectureSmells\repos\MichaelJames6_Language-Spelling\Spelling.Core\Views\Custom Views\WordView.cs,WordView,The following statement contains a magic number: _word = new UILabel(new CGRect(0' 108' frame.Width' 59))              {                  TextAlignment = UITextAlignment.Center'                  TextColor = "3C3C3C".ToUIColor()'                  Font = UIFont.FromName("Raleway-Regular"' 32)'                  Text = value              };
Magic Number,Spelling.Core,WordView,D:\research\architectureSmells\repos\MichaelJames6_Language-Spelling\Spelling.Core\Views\Custom Views\WordView.cs,GrowWord,The following statement contains a magic number: transform.Scale(1.5f' 1.5f);
Magic Number,Spelling.Core,WordView,D:\research\architectureSmells\repos\MichaelJames6_Language-Spelling\Spelling.Core\Views\Custom Views\WordView.cs,GrowWord,The following statement contains a magic number: transform.Scale(1.5f' 1.5f);
Magic Number,Spelling.Core,WordView,D:\research\architectureSmells\repos\MichaelJames6_Language-Spelling\Spelling.Core\Views\Custom Views\WordView.cs,GrowWord,The following statement contains a magic number: UIView.Animate(0.6' 0' UIViewAnimationOptions.TransitionCurlUp'                  () =>{                  _word.Transform = transform;                      _title.TextColor = "646465".ToUIColor();              }'() =>{                  _word.Font = UIFont.FromName("Raleway-Regular"' 48);                  var transform2 = CGAffineTransform.MakeIdentity();                  transform.Scale(1f' 1f);                    _word.Transform = transform2;              });
Magic Number,Spelling.Core,WordView,D:\research\architectureSmells\repos\MichaelJames6_Language-Spelling\Spelling.Core\Views\Custom Views\WordView.cs,GrowWord,The following statement contains a magic number: UIView.Animate(0.6' 0' UIViewAnimationOptions.TransitionCurlUp'                  () =>{                  _word.Transform = transform;                      _title.TextColor = "646465".ToUIColor();              }'() =>{                  _word.Font = UIFont.FromName("Raleway-Regular"' 48);                  var transform2 = CGAffineTransform.MakeIdentity();                  transform.Scale(1f' 1f);                    _word.Transform = transform2;              });
Magic Number,Spelling.Core,WordView,D:\research\architectureSmells\repos\MichaelJames6_Language-Spelling\Spelling.Core\Views\Custom Views\WordView.cs,ShrinkWord,The following statement contains a magic number: UIView.Animate(0.6' 0' UIViewAnimationOptions.TransitionCurlUp'                  () =>{                  _word.Transform = transform;                       _title.TextColor = "3C3C3C".ToUIColor();              }'() =>{                  _word.Font = UIFont.FromName("Raleway-Regular"' 32);              });
