Method,LOC,CC,PC
EntityDescriptionGenerator:AddDescription,5,2,2
PropertyInfoGenerator:PropertyInfoGenerator,2,1,3
PropertyInfoGenerator:Generate,10,1,2
PropertyInfoGenerator:AddDataType,11,2,2
PropertyInfoGenerator:AddCategory,5,2,2
PropertyInfoGenerator:AddRequired,4,2,2
PropertyInfoGenerator:AddValidation,5,2,2
StructureGenerator:StructureGenerator,2,1,1
StructureGenerator:Generate,5,1,2
StructureGenerator:AddStructure,19,2,2
AnnotatedParserFactory:CreateMediaTypeParser,11,1,0
AnnotatedParserFactory:CreateDocumentTypeParser,7,1,0
AnnotatedParserFactory:CreateParsers,5,1,2
AnnotatedParserFactory:CreateDocumentParsers,10,1,1
BclParserFactory:CreateMediaTypeParser,11,1,0
BclParserFactory:CreateDocumentTypeParser,4,1,0
BclParserFactory:CreateParsers,5,1,2
BclParserFactory:CreateDefaultParsers,10,1,1
CodeParserBase:FindMaster,6,2,2
CodeParserBase:FindDataTypeDefinitionId,3,1,2
CodeParserBase:FindProperties,3,1,1
CodeParserBase:StringFieldValue,4,1,3
CodeParserBase:StringArrayValue,4,1,2
CodeParserBase:TypeArrayValue,4,1,2
CodeParserBase:StringArrayInitializerToArray,6,1,1
CodeParserBase:TypeArrayInitializerToArray,7,1,1
CodeParserBase:BoolFieldValue,4,1,2
CodeParserBase:WithVariableInitializer,5,2,3
CodeParserBase:FindFieldVariable,7,1,2
CodeParserBase:AttributeValue,4,1,3
CodeParserBase:AttributeValueOrDefault,6,1,2
CodeParserBase:FindAttribute,6,1,2
CodeParserBase:AttributeArgumentValue,4,1,3
CodeParserBase:StringArrayValue,8,3,2
CodeParserBase:TypeArrayValue,8,3,2
CodeParserBase:PrimitiveAttributeArgumentValueOrDefault,8,3,2
CodeParserBase:FindAttributeArgument,5,2,2
ContentTypeCodeParser:ContentTypeCodeParser,3,1,2
ContentTypeCodeParser:Parse,5,1,1
ContentTypeCodeParser:Parse,4,2,2
ContentTypeCodeParser:CreateDefinition,0,1,0
ContentTypeCodeParserBase:ContentTypeCodeParserBase,3,1,1
ContentTypeCodeParserBase:Parse,0,1,2
DocumentTypeCodeParser:DocumentTypeCodeParser,2,1,2
DocumentTypeCodeParser:CreateDefinition,3,1,0
InfoParserBase:InfoParserBase,3,1,1
InfoParserBase:Parse,4,1,2
InfoParserBase:OnParseInfo,0,1,2
MediaPropertyParser:MediaPropertyParser,4,1,3
MediaPropertyParser:Parse,6,1,2
MediaTypeCodeParser:MediaTypeCodeParser,2,1,2
MediaTypeCodeParser:CreateDefinition,3,1,0
DefaultParserFactory:Create,3,1,2
DefaultParserFactory:CreateDocumentTypeParser,3,1,0
DefaultParserFactory:CreateMediaTypeParser,3,1,0
ParserFactory:Create,8,1,2
ParserFactory:CreateMediaTypeParser,0,1,0
ParserFactory:CreateDocumentTypeParser,0,1,0
PropertiesParser:PropertiesParser,3,1,2
PropertiesParser:Parse,6,2,2
TabsParser:TabsParser,2,1,1
TabsParser:Parse,12,1,2
CommonInfoParser:CommonInfoParser,2,1,1
CommonInfoParser:OnParseInfo,12,1,2
CommonInfoParser:FindContentTypeAttribute,9,2,2
DocumentTypeInfoParser:DocumentTypeInfoParser,2,1,1
DocumentTypeInfoParser:OnParseInfo,8,1,2
PropertyParser:PropertyParser,4,1,2
PropertyParser:Parse,20,2,2
PropertyParser:FindDataTypeDefinition,10,1,1
StructureParser:StructureParser,2,1,1
StructureParser:Parse,8,1,2
StructureParser:FindContentTypeAttribute,9,2,2
CommonInfoParser:CommonInfoParser,2,1,1
CommonInfoParser:OnParseInfo,10,1,2
DocumentTypeInfoParser:DocumentTypeInfoParser,2,1,1
DocumentTypeInfoParser:OnParseInfo,7,1,2
PropertyParser:PropertyParser,4,1,2
PropertyParser:Parse,19,2,2
PropertyParser:FindDataTypeDefinition,10,1,1
StructureParser:StructureParser,2,1,1
StructureParser:Parse,6,1,2
