Implementation smell,Namespace,Class,File,Method,Description
Long Statement,Graphics,Base,C:\repos\henrybond158_Holiday-App\Holiday App\External Libraries\PDFsharp\samples\Samples C#\Based on GDI+\Graphics\Base.cs,BeginBox,The length of the statement  "	XLinearGradientBrush brush = new XLinearGradientBrush (rect' this.backColor' this.backColor2' XLinearGradientMode.Vertical); " is 124.
Magic Number,Graphics,Images,C:\repos\henrybond158_Holiday-App\Holiday App\External Libraries\PDFsharp\samples\Samples C#\Based on GDI+\Graphics\Images.cs,DrawPage,The following statement contains a magic number: DrawPng (gfx' 6);  
Magic Number,Graphics,Images,C:\repos\henrybond158_Holiday-App\Holiday App\External Libraries\PDFsharp\samples\Samples C#\Based on GDI+\Graphics\Images.cs,DrawPage,The following statement contains a magic number: DrawTiff (gfx' 7);  
Magic Number,Graphics,Images,C:\repos\henrybond158_Holiday-App\Holiday App\External Libraries\PDFsharp\samples\Samples C#\Based on GDI+\Graphics\Images.cs,DrawPage,The following statement contains a magic number: DrawFormXObject (gfx' 8);  
Magic Number,Graphics,Images,C:\repos\henrybond158_Holiday-App\Holiday App\External Libraries\PDFsharp\samples\Samples C#\Based on GDI+\Graphics\Images.cs,DrawImageScaled,The following statement contains a magic number: gfx.DrawImage (image' 0' 0' 250' 140);  
Magic Number,Graphics,Images,C:\repos\henrybond158_Holiday-App\Holiday App\External Libraries\PDFsharp\samples\Samples C#\Based on GDI+\Graphics\Images.cs,DrawImageScaled,The following statement contains a magic number: gfx.DrawImage (image' 0' 0' 250' 140);  
Magic Number,Graphics,Images,C:\repos\henrybond158_Holiday-App\Holiday App\External Libraries\PDFsharp\samples\Samples C#\Based on GDI+\Graphics\Images.cs,DrawImageRotated,The following statement contains a magic number: gfx.TranslateTransform (dx / 2' dy / 2);  
Magic Number,Graphics,Images,C:\repos\henrybond158_Holiday-App\Holiday App\External Libraries\PDFsharp\samples\Samples C#\Based on GDI+\Graphics\Images.cs,DrawImageRotated,The following statement contains a magic number: gfx.TranslateTransform (dx / 2' dy / 2);  
Magic Number,Graphics,Images,C:\repos\henrybond158_Holiday-App\Holiday App\External Libraries\PDFsharp\samples\Samples C#\Based on GDI+\Graphics\Images.cs,DrawImageRotated,The following statement contains a magic number: gfx.ScaleTransform (0.7);  
Magic Number,Graphics,Images,C:\repos\henrybond158_Holiday-App\Holiday App\External Libraries\PDFsharp\samples\Samples C#\Based on GDI+\Graphics\Images.cs,DrawImageRotated,The following statement contains a magic number: gfx.RotateTransform (-25);  
Magic Number,Graphics,Images,C:\repos\henrybond158_Holiday-App\Holiday App\External Libraries\PDFsharp\samples\Samples C#\Based on GDI+\Graphics\Images.cs,DrawImageRotated,The following statement contains a magic number: gfx.TranslateTransform (-dx / 2' -dy / 2);  
Magic Number,Graphics,Images,C:\repos\henrybond158_Holiday-App\Holiday App\External Libraries\PDFsharp\samples\Samples C#\Based on GDI+\Graphics\Images.cs,DrawImageRotated,The following statement contains a magic number: gfx.TranslateTransform (-dx / 2' -dy / 2);  
Magic Number,Graphics,Images,C:\repos\henrybond158_Holiday-App\Holiday App\External Libraries\PDFsharp\samples\Samples C#\Based on GDI+\Graphics\Images.cs,DrawImageRotated,The following statement contains a magic number: gfx.DrawImage (image' (dx - width) / 2' 0' width' height);  
Magic Number,Graphics,Images,C:\repos\henrybond158_Holiday-App\Holiday App\External Libraries\PDFsharp\samples\Samples C#\Based on GDI+\Graphics\Images.cs,DrawImageSheared,The following statement contains a magic number: gfx.TranslateTransform (dx / 2' dy / 2);  
Magic Number,Graphics,Images,C:\repos\henrybond158_Holiday-App\Holiday App\External Libraries\PDFsharp\samples\Samples C#\Based on GDI+\Graphics\Images.cs,DrawImageSheared,The following statement contains a magic number: gfx.TranslateTransform (dx / 2' dy / 2);  
Magic Number,Graphics,Images,C:\repos\henrybond158_Holiday-App\Holiday App\External Libraries\PDFsharp\samples\Samples C#\Based on GDI+\Graphics\Images.cs,DrawImageSheared,The following statement contains a magic number: gfx.ScaleTransform (-0.7' 0.7);  
Magic Number,Graphics,Images,C:\repos\henrybond158_Holiday-App\Holiday App\External Libraries\PDFsharp\samples\Samples C#\Based on GDI+\Graphics\Images.cs,DrawImageSheared,The following statement contains a magic number: gfx.ScaleTransform (-0.7' 0.7);  
Magic Number,Graphics,Images,C:\repos\henrybond158_Holiday-App\Holiday App\External Libraries\PDFsharp\samples\Samples C#\Based on GDI+\Graphics\Images.cs,DrawImageSheared,The following statement contains a magic number: gfx.ShearTransform (-0.4' -0.3);  
Magic Number,Graphics,Images,C:\repos\henrybond158_Holiday-App\Holiday App\External Libraries\PDFsharp\samples\Samples C#\Based on GDI+\Graphics\Images.cs,DrawImageSheared,The following statement contains a magic number: gfx.ShearTransform (-0.4' -0.3);  
Magic Number,Graphics,Images,C:\repos\henrybond158_Holiday-App\Holiday App\External Libraries\PDFsharp\samples\Samples C#\Based on GDI+\Graphics\Images.cs,DrawImageSheared,The following statement contains a magic number: gfx.TranslateTransform (-dx / 2' -dy / 2);  
Magic Number,Graphics,Images,C:\repos\henrybond158_Holiday-App\Holiday App\External Libraries\PDFsharp\samples\Samples C#\Based on GDI+\Graphics\Images.cs,DrawImageSheared,The following statement contains a magic number: gfx.TranslateTransform (-dx / 2' -dy / 2);  
Magic Number,Graphics,Images,C:\repos\henrybond158_Holiday-App\Holiday App\External Libraries\PDFsharp\samples\Samples C#\Based on GDI+\Graphics\Images.cs,DrawImageSheared,The following statement contains a magic number: gfx.DrawImage (image' (dx - width) / 2' 0' width' height);  
Magic Number,Graphics,Images,C:\repos\henrybond158_Holiday-App\Holiday App\External Libraries\PDFsharp\samples\Samples C#\Based on GDI+\Graphics\Images.cs,DrawGif,The following statement contains a magic number: this.borderPen = new XPen (XColor.FromArgb (202' 121' 74)' this.borderWidth);  
Magic Number,Graphics,Images,C:\repos\henrybond158_Holiday-App\Holiday App\External Libraries\PDFsharp\samples\Samples C#\Based on GDI+\Graphics\Images.cs,DrawGif,The following statement contains a magic number: this.borderPen = new XPen (XColor.FromArgb (202' 121' 74)' this.borderWidth);  
Magic Number,Graphics,Images,C:\repos\henrybond158_Holiday-App\Holiday App\External Libraries\PDFsharp\samples\Samples C#\Based on GDI+\Graphics\Images.cs,DrawGif,The following statement contains a magic number: this.borderPen = new XPen (XColor.FromArgb (202' 121' 74)' this.borderWidth);  
Magic Number,Graphics,Images,C:\repos\henrybond158_Holiday-App\Holiday App\External Libraries\PDFsharp\samples\Samples C#\Based on GDI+\Graphics\Images.cs,DrawGif,The following statement contains a magic number: gfx.DrawImage (image' (dx - width) / 2' (dy - height) / 2' width' height);  
Magic Number,Graphics,Images,C:\repos\henrybond158_Holiday-App\Holiday App\External Libraries\PDFsharp\samples\Samples C#\Based on GDI+\Graphics\Images.cs,DrawGif,The following statement contains a magic number: gfx.DrawImage (image' (dx - width) / 2' (dy - height) / 2' width' height);  
Magic Number,Graphics,Images,C:\repos\henrybond158_Holiday-App\Holiday App\External Libraries\PDFsharp\samples\Samples C#\Based on GDI+\Graphics\Images.cs,DrawPng,The following statement contains a magic number: gfx.DrawImage (image' (dx - width) / 2' (dy - height) / 2' width' height);  
Magic Number,Graphics,Images,C:\repos\henrybond158_Holiday-App\Holiday App\External Libraries\PDFsharp\samples\Samples C#\Based on GDI+\Graphics\Images.cs,DrawPng,The following statement contains a magic number: gfx.DrawImage (image' (dx - width) / 2' (dy - height) / 2' width' height);  
Magic Number,Graphics,Images,C:\repos\henrybond158_Holiday-App\Holiday App\External Libraries\PDFsharp\samples\Samples C#\Based on GDI+\Graphics\Images.cs,DrawTiff,The following statement contains a magic number: gfx.DrawImage (image' (dx - width) / 2' (dy - height) / 2' width' height);  
Magic Number,Graphics,Images,C:\repos\henrybond158_Holiday-App\Holiday App\External Libraries\PDFsharp\samples\Samples C#\Based on GDI+\Graphics\Images.cs,DrawTiff,The following statement contains a magic number: gfx.DrawImage (image' (dx - width) / 2' (dy - height) / 2' width' height);  
Magic Number,Graphics,Images,C:\repos\henrybond158_Holiday-App\Holiday App\External Libraries\PDFsharp\samples\Samples C#\Based on GDI+\Graphics\Images.cs,DrawFormXObject,The following statement contains a magic number: gfx.TranslateTransform (dx / 2' dy / 2);  
Magic Number,Graphics,Images,C:\repos\henrybond158_Holiday-App\Holiday App\External Libraries\PDFsharp\samples\Samples C#\Based on GDI+\Graphics\Images.cs,DrawFormXObject,The following statement contains a magic number: gfx.TranslateTransform (dx / 2' dy / 2);  
Magic Number,Graphics,Images,C:\repos\henrybond158_Holiday-App\Holiday App\External Libraries\PDFsharp\samples\Samples C#\Based on GDI+\Graphics\Images.cs,DrawFormXObject,The following statement contains a magic number: gfx.ScaleTransform (0.35);  
Magic Number,Graphics,Images,C:\repos\henrybond158_Holiday-App\Holiday App\External Libraries\PDFsharp\samples\Samples C#\Based on GDI+\Graphics\Images.cs,DrawFormXObject,The following statement contains a magic number: gfx.TranslateTransform (-dx / 2' -dy / 2);  
Magic Number,Graphics,Images,C:\repos\henrybond158_Holiday-App\Holiday App\External Libraries\PDFsharp\samples\Samples C#\Based on GDI+\Graphics\Images.cs,DrawFormXObject,The following statement contains a magic number: gfx.TranslateTransform (-dx / 2' -dy / 2);  
Magic Number,Graphics,Images,C:\repos\henrybond158_Holiday-App\Holiday App\External Libraries\PDFsharp\samples\Samples C#\Based on GDI+\Graphics\Images.cs,DrawFormXObject,The following statement contains a magic number: gfx.DrawImage (image' (dx - width) / 2' (dy - height) / 2' width' height);  
Magic Number,Graphics,Images,C:\repos\henrybond158_Holiday-App\Holiday App\External Libraries\PDFsharp\samples\Samples C#\Based on GDI+\Graphics\Images.cs,DrawFormXObject,The following statement contains a magic number: gfx.DrawImage (image' (dx - width) / 2' (dy - height) / 2' width' height);  
Magic Number,Graphics,LinesAndCurves,C:\repos\henrybond158_Holiday-App\Holiday App\External Libraries\PDFsharp\samples\Samples C#\Based on GDI+\Graphics\LinesAndCurves.cs,DrawPage,The following statement contains a magic number: DrawLines (gfx' 2);  
Magic Number,Graphics,LinesAndCurves,C:\repos\henrybond158_Holiday-App\Holiday App\External Libraries\PDFsharp\samples\Samples C#\Based on GDI+\Graphics\LinesAndCurves.cs,DrawPage,The following statement contains a magic number: DrawBezier (gfx' 3);  
Magic Number,Graphics,LinesAndCurves,C:\repos\henrybond158_Holiday-App\Holiday App\External Libraries\PDFsharp\samples\Samples C#\Based on GDI+\Graphics\LinesAndCurves.cs,DrawPage,The following statement contains a magic number: DrawBeziers (gfx' 4);  
Magic Number,Graphics,LinesAndCurves,C:\repos\henrybond158_Holiday-App\Holiday App\External Libraries\PDFsharp\samples\Samples C#\Based on GDI+\Graphics\LinesAndCurves.cs,DrawPage,The following statement contains a magic number: DrawCurve (gfx' 5);  
Magic Number,Graphics,LinesAndCurves,C:\repos\henrybond158_Holiday-App\Holiday App\External Libraries\PDFsharp\samples\Samples C#\Based on GDI+\Graphics\LinesAndCurves.cs,DrawPage,The following statement contains a magic number: DrawArc (gfx' 6);  
Magic Number,Graphics,LinesAndCurves,C:\repos\henrybond158_Holiday-App\Holiday App\External Libraries\PDFsharp\samples\Samples C#\Based on GDI+\Graphics\LinesAndCurves.cs,DrawLine,The following statement contains a magic number: gfx.DrawLine (XPens.DarkGreen' 0' 0' 250' 0);  
Magic Number,Graphics,LinesAndCurves,C:\repos\henrybond158_Holiday-App\Holiday App\External Libraries\PDFsharp\samples\Samples C#\Based on GDI+\Graphics\LinesAndCurves.cs,DrawLine,The following statement contains a magic number: gfx.DrawLine (XPens.Gold' 15' 7' 230' 15);  
Magic Number,Graphics,LinesAndCurves,C:\repos\henrybond158_Holiday-App\Holiday App\External Libraries\PDFsharp\samples\Samples C#\Based on GDI+\Graphics\LinesAndCurves.cs,DrawLine,The following statement contains a magic number: gfx.DrawLine (XPens.Gold' 15' 7' 230' 15);  
Magic Number,Graphics,LinesAndCurves,C:\repos\henrybond158_Holiday-App\Holiday App\External Libraries\PDFsharp\samples\Samples C#\Based on GDI+\Graphics\LinesAndCurves.cs,DrawLine,The following statement contains a magic number: gfx.DrawLine (XPens.Gold' 15' 7' 230' 15);  
Magic Number,Graphics,LinesAndCurves,C:\repos\henrybond158_Holiday-App\Holiday App\External Libraries\PDFsharp\samples\Samples C#\Based on GDI+\Graphics\LinesAndCurves.cs,DrawLine,The following statement contains a magic number: gfx.DrawLine (XPens.Gold' 15' 7' 230' 15);  
Magic Number,Graphics,LinesAndCurves,C:\repos\henrybond158_Holiday-App\Holiday App\External Libraries\PDFsharp\samples\Samples C#\Based on GDI+\Graphics\LinesAndCurves.cs,DrawLine,The following statement contains a magic number: gfx.DrawLine (pen' 0' 20' 250' 20);  
Magic Number,Graphics,LinesAndCurves,C:\repos\henrybond158_Holiday-App\Holiday App\External Libraries\PDFsharp\samples\Samples C#\Based on GDI+\Graphics\LinesAndCurves.cs,DrawLine,The following statement contains a magic number: gfx.DrawLine (pen' 0' 20' 250' 20);  
Magic Number,Graphics,LinesAndCurves,C:\repos\henrybond158_Holiday-App\Holiday App\External Libraries\PDFsharp\samples\Samples C#\Based on GDI+\Graphics\LinesAndCurves.cs,DrawLine,The following statement contains a magic number: gfx.DrawLine (pen' 0' 20' 250' 20);  
Magic Number,Graphics,LinesAndCurves,C:\repos\henrybond158_Holiday-App\Holiday App\External Libraries\PDFsharp\samples\Samples C#\Based on GDI+\Graphics\LinesAndCurves.cs,DrawLine,The following statement contains a magic number: pen = new XPen (XColors.Firebrick' 6);  
Magic Number,Graphics,LinesAndCurves,C:\repos\henrybond158_Holiday-App\Holiday App\External Libraries\PDFsharp\samples\Samples C#\Based on GDI+\Graphics\LinesAndCurves.cs,DrawLine,The following statement contains a magic number: gfx.DrawLine (pen' 0' 40' 250' 40);  
Magic Number,Graphics,LinesAndCurves,C:\repos\henrybond158_Holiday-App\Holiday App\External Libraries\PDFsharp\samples\Samples C#\Based on GDI+\Graphics\LinesAndCurves.cs,DrawLine,The following statement contains a magic number: gfx.DrawLine (pen' 0' 40' 250' 40);  
Magic Number,Graphics,LinesAndCurves,C:\repos\henrybond158_Holiday-App\Holiday App\External Libraries\PDFsharp\samples\Samples C#\Based on GDI+\Graphics\LinesAndCurves.cs,DrawLine,The following statement contains a magic number: gfx.DrawLine (pen' 0' 40' 250' 40);  
Magic Number,Graphics,LinesAndCurves,C:\repos\henrybond158_Holiday-App\Holiday App\External Libraries\PDFsharp\samples\Samples C#\Based on GDI+\Graphics\LinesAndCurves.cs,DrawLine,The following statement contains a magic number: pen.Width = 7.3;  
Magic Number,Graphics,LinesAndCurves,C:\repos\henrybond158_Holiday-App\Holiday App\External Libraries\PDFsharp\samples\Samples C#\Based on GDI+\Graphics\LinesAndCurves.cs,DrawLine,The following statement contains a magic number: gfx.DrawLine (pen' 0' 60' 250' 60);  
Magic Number,Graphics,LinesAndCurves,C:\repos\henrybond158_Holiday-App\Holiday App\External Libraries\PDFsharp\samples\Samples C#\Based on GDI+\Graphics\LinesAndCurves.cs,DrawLine,The following statement contains a magic number: gfx.DrawLine (pen' 0' 60' 250' 60);  
Magic Number,Graphics,LinesAndCurves,C:\repos\henrybond158_Holiday-App\Holiday App\External Libraries\PDFsharp\samples\Samples C#\Based on GDI+\Graphics\LinesAndCurves.cs,DrawLine,The following statement contains a magic number: gfx.DrawLine (pen' 0' 60' 250' 60);  
Magic Number,Graphics,LinesAndCurves,C:\repos\henrybond158_Holiday-App\Holiday App\External Libraries\PDFsharp\samples\Samples C#\Based on GDI+\Graphics\LinesAndCurves.cs,DrawLine,The following statement contains a magic number: pen = new XPen (XColors.Goldenrod' 10);  
Magic Number,Graphics,LinesAndCurves,C:\repos\henrybond158_Holiday-App\Holiday App\External Libraries\PDFsharp\samples\Samples C#\Based on GDI+\Graphics\LinesAndCurves.cs,DrawLine,The following statement contains a magic number: gfx.DrawLine (pen' 10' 90' 240' 90);  
Magic Number,Graphics,LinesAndCurves,C:\repos\henrybond158_Holiday-App\Holiday App\External Libraries\PDFsharp\samples\Samples C#\Based on GDI+\Graphics\LinesAndCurves.cs,DrawLine,The following statement contains a magic number: gfx.DrawLine (pen' 10' 90' 240' 90);  
Magic Number,Graphics,LinesAndCurves,C:\repos\henrybond158_Holiday-App\Holiday App\External Libraries\PDFsharp\samples\Samples C#\Based on GDI+\Graphics\LinesAndCurves.cs,DrawLine,The following statement contains a magic number: gfx.DrawLine (pen' 10' 90' 240' 90);  
Magic Number,Graphics,LinesAndCurves,C:\repos\henrybond158_Holiday-App\Holiday App\External Libraries\PDFsharp\samples\Samples C#\Based on GDI+\Graphics\LinesAndCurves.cs,DrawLine,The following statement contains a magic number: gfx.DrawLine (pen' 10' 90' 240' 90);  
Magic Number,Graphics,LinesAndCurves,C:\repos\henrybond158_Holiday-App\Holiday App\External Libraries\PDFsharp\samples\Samples C#\Based on GDI+\Graphics\LinesAndCurves.cs,DrawLine,The following statement contains a magic number: gfx.DrawLine (XPens.Black' 10' 90' 240' 90);  
Magic Number,Graphics,LinesAndCurves,C:\repos\henrybond158_Holiday-App\Holiday App\External Libraries\PDFsharp\samples\Samples C#\Based on GDI+\Graphics\LinesAndCurves.cs,DrawLine,The following statement contains a magic number: gfx.DrawLine (XPens.Black' 10' 90' 240' 90);  
