Implementation smell,Namespace,Class,File,Method,Description
Long Statement,GoogleApi.UnitTests.Maps.Directions,DirectionsRequestTests,D:\research\architectureSmells\repos\vivet_GoogleApi\.tests\GoogleApi.UnitTests\Maps\Directions\DirectionsRequestTests.cs,GetUriTest,The length of the statement  "            Assert.AreEqual($"/maps/api/directions/json?key={request.Key}&origin={Uri.EscapeDataString(request.Origin.ToString())}&destination={Uri.EscapeDataString(request.Destination.ToString())}&units={request.Units.ToString().ToLower()}&mode={request.TravelMode.ToString().ToLower()}&language={request.Language.ToCode()}&departure_time=now&traffic_model={request.TrafficModel.ToString().ToLower()}"' uri.PathAndQuery); " is 410.
Long Statement,GoogleApi.UnitTests.Maps.DistanceMatrix,DistanceMatrixRequestTests,D:\research\architectureSmells\repos\vivet_GoogleApi\.tests\GoogleApi.UnitTests\Maps\DistanceMatrix\DistanceMatrixRequestTests.cs,GetUriWhenTravelModeTransitTest,The length of the statement  "            Assert.AreEqual($"/maps/api/distancematrix/json?key={request.Key}&origins={Uri.EscapeDataString(string.Join("|"' request.Origins))}&destinations={Uri.EscapeDataString(string.Join("|"' request.Destinations))}&units={request.Units.ToString().ToLower()}&mode={request.TravelMode.ToString().ToLower()}&language={request.Language.ToCode()}&transit_mode={Uri.EscapeDataString(request.TransitMode.ToEnumString('|'))}&departure_time=now"' uri.PathAndQuery); " is 449.
Long Statement,GoogleApi.UnitTests.Maps.DistanceMatrix,DistanceMatrixRequestTests,D:\research\architectureSmells\repos\vivet_GoogleApi\.tests\GoogleApi.UnitTests\Maps\DistanceMatrix\DistanceMatrixRequestTests.cs,GetUriWhenTravelModeTransitAndArrivalTimeTest,The length of the statement  "            Assert.AreEqual($"/maps/api/distancematrix/json?key={request.Key}&origins={Uri.EscapeDataString(string.Join("|"' request.Origins))}&destinations={Uri.EscapeDataString(string.Join("|"' request.Destinations))}&units={request.Units.ToString().ToLower()}&mode={request.TravelMode.ToString().ToLower()}&language={request.Language.ToCode()}&transit_mode={Uri.EscapeDataString(request.TransitMode.ToEnumString('|'))}&arrival_time={request.ArrivalTime.GetValueOrDefault().DateTimeToUnixTimestamp().ToString(CultureInfo.InvariantCulture)}"' uri.PathAndQuery); " is 550.
Long Statement,GoogleApi.UnitTests.Maps.DistanceMatrix,DistanceMatrixRequestTests,D:\research\architectureSmells\repos\vivet_GoogleApi\.tests\GoogleApi.UnitTests\Maps\DistanceMatrix\DistanceMatrixRequestTests.cs,GetUriWhenTravelModeTransitAndDepartureTimeTest,The length of the statement  "            Assert.AreEqual($"/maps/api/distancematrix/json?key={request.Key}&origins={Uri.EscapeDataString(string.Join("|"' request.Origins))}&destinations={Uri.EscapeDataString(string.Join("|"' request.Destinations))}&units={request.Units.ToString().ToLower()}&mode={request.TravelMode.ToString().ToLower()}&language={request.Language.ToCode()}&transit_mode={Uri.EscapeDataString(request.TransitMode.ToEnumString('|'))}&departure_time={request.DepartureTime.GetValueOrDefault().DateTimeToUnixTimestamp().ToString(CultureInfo.InvariantCulture)}"' uri.PathAndQuery); " is 554.
Long Statement,GoogleApi.UnitTests.Maps.DistanceMatrix,DistanceMatrixRequestTests,D:\research\architectureSmells\repos\vivet_GoogleApi\.tests\GoogleApi.UnitTests\Maps\DistanceMatrix\DistanceMatrixRequestTests.cs,GetUriWhenTravelModeDrivingTest,The length of the statement  "            Assert.AreEqual($"/maps/api/distancematrix/json?key={request.Key}&origins={Uri.EscapeDataString(string.Join("|"' request.Origins))}&destinations={Uri.EscapeDataString(string.Join("|"' request.Destinations))}&units={request.Units.ToString().ToLower()}&mode={request.TravelMode.ToString().ToLower()}&language={request.Language.ToCode()}&departure_time=now&traffic_model={request.TrafficModel.ToString().ToLower()}"' uri.PathAndQuery); " is 432.
Long Statement,GoogleApi.UnitTests.Maps.DistanceMatrix,DistanceMatrixRequestTests,D:\research\architectureSmells\repos\vivet_GoogleApi\.tests\GoogleApi.UnitTests\Maps\DistanceMatrix\DistanceMatrixRequestTests.cs,GetUriWhenTravelModeDrivingAndDepartureTimeTest,The length of the statement  "            Assert.AreEqual($"/maps/api/distancematrix/json?key={request.Key}&origins={Uri.EscapeDataString(string.Join("|"' request.Origins))}&destinations={Uri.EscapeDataString(string.Join("|"' request.Destinations))}&units={request.Units.ToString().ToLower()}&mode={request.TravelMode.ToString().ToLower()}&language={request.Language.ToCode()}&departure_time={request.DepartureTime.GetValueOrDefault().DateTimeToUnixTimestamp().ToString(CultureInfo.InvariantCulture)}&traffic_model={request.TrafficModel.ToString().ToLower()}"' uri.PathAndQuery); " is 537.
Long Statement,GoogleApi.UnitTests.Maps.Elevation,ElevationRequestTests,D:\research\architectureSmells\repos\vivet_GoogleApi\.tests\GoogleApi.UnitTests\Maps\Elevation\ElevationRequestTests.cs,GetUriWhenLocationsTest,The length of the statement  "            Assert.AreEqual($"/maps/api/elevation/json?key={request.Key}&locations={Uri.EscapeDataString(string.Join("|"' request.Locations))}"' uri.PathAndQuery); " is 151.
Long Statement,GoogleApi.UnitTests.Maps.Elevation,ElevationRequestTests,D:\research\architectureSmells\repos\vivet_GoogleApi\.tests\GoogleApi.UnitTests\Maps\Elevation\ElevationRequestTests.cs,GetUriWhenWhenPathAndSamplesTest,The length of the statement  "            Assert.AreEqual($"/maps/api/elevation/json?key={request.Key}&path={Uri.EscapeDataString(string.Join("|"' request.Path))}&samples={request.Samples.ToString()}"' uri.PathAndQuery); " is 178.
Long Statement,GoogleApi.UnitTests.Maps.Geocoding.Address,GeocodingAddressRequestTests,D:\research\architectureSmells\repos\vivet_GoogleApi\.tests\GoogleApi.UnitTests\Maps\Geocoding\Address\GeocodingAddressRequestTests.cs,GetUriTest,The length of the statement  "            Assert.AreEqual($"/maps/api/geocode/json?key={request.Key}&language={request.Language.ToCode()}&address={Uri.EscapeDataString(request.Address)}"' uri.PathAndQuery); " is 164.
Long Statement,GoogleApi.UnitTests.Maps.Geocoding.Address,GeocodingAddressRequestTests,D:\research\architectureSmells\repos\vivet_GoogleApi\.tests\GoogleApi.UnitTests\Maps\Geocoding\Address\GeocodingAddressRequestTests.cs,GetUriWhenRegionTest,The length of the statement  "            Assert.AreEqual($"/maps/api/geocode/json?key={request.Key}&language={request.Language.ToCode()}&address={Uri.EscapeDataString(request.Address)}&region={request.Region}"' uri.PathAndQuery); " is 188.
Long Statement,GoogleApi.UnitTests.Maps.Geocoding.Address,GeocodingAddressRequestTests,D:\research\architectureSmells\repos\vivet_GoogleApi\.tests\GoogleApi.UnitTests\Maps\Geocoding\Address\GeocodingAddressRequestTests.cs,GetUriWhenBoundsTest,The length of the statement  "            Assert.AreEqual($"/maps/api/geocode/json?key={request.Key}&language={request.Language.ToCode()}&address={Uri.EscapeDataString(request.Address)}&bounds={Uri.EscapeDataString(request.Bounds.NorthEast.ToString())}{Uri.EscapeDataString("|")}{Uri.EscapeDataString(request.Bounds.SouthWest.ToString())}"' uri.PathAndQuery); " is 317.
Long Statement,GoogleApi.UnitTests.Maps.Geocoding.Address,GeocodingAddressRequestTests,D:\research\architectureSmells\repos\vivet_GoogleApi\.tests\GoogleApi.UnitTests\Maps\Geocoding\Address\GeocodingAddressRequestTests.cs,GetUriWhenComponentsTest,The length of the statement  "            Assert.AreEqual($"/maps/api/geocode/json?key={request.Key}&language={request.Language.ToCode()}&address={Uri.EscapeDataString(request.Address)}&components={Uri.EscapeDataString(string.Join("|"' request.Components.Select(x => $"{x.Key.ToString().ToLower()}:{x.Value}")))}"' uri.PathAndQuery); " is 291.
Long Statement,GoogleApi.UnitTests.Maps.Geocoding.Location,GeocodingLocationRequestTests,D:\research\architectureSmells\repos\vivet_GoogleApi\.tests\GoogleApi.UnitTests\Maps\Geocoding\Location\GeocodingLocationRequestTests.cs,GetUriTest,The length of the statement  "            Assert.AreEqual($"/maps/api/geocode/json?key={request.Key}&language={request.Language.ToCode()}&latlng={Uri.EscapeDataString(request.Location.ToString())}"' uri.PathAndQuery); " is 175.
Long Statement,GoogleApi.UnitTests.Maps.Geocoding.Location,GeocodingLocationRequestTests,D:\research\architectureSmells\repos\vivet_GoogleApi\.tests\GoogleApi.UnitTests\Maps\Geocoding\Location\GeocodingLocationRequestTests.cs,GetUriWhenResultTypeTest,The length of the statement  "            Assert.AreEqual($"/maps/api/geocode/json?key={request.Key}&language={request.Language.ToCode()}&latlng={Uri.EscapeDataString(request.Location.ToString())}&result_type={Uri.EscapeDataString(string.Join("|"' request.ResultTypes.Select(x => x.ToString().ToLower()).AsEnumerable()))}"' uri.PathAndQuery); " is 300.
Long Statement,GoogleApi.UnitTests.Maps.Geocoding.Location,GeocodingLocationRequestTests,D:\research\architectureSmells\repos\vivet_GoogleApi\.tests\GoogleApi.UnitTests\Maps\Geocoding\Location\GeocodingLocationRequestTests.cs,GetUriWhenLocationTypeTest,The length of the statement  "            Assert.AreEqual($"/maps/api/geocode/json?key={request.Key}&language={request.Language.ToCode()}&latlng={Uri.EscapeDataString(request.Location.ToString())}&location_type={Uri.EscapeDataString(string.Join("|"' request.LocationTypes.Select(x => x.ToString().ToUpper()).AsEnumerable()))}"' uri.PathAndQuery); " is 304.
Long Statement,GoogleApi.UnitTests.Maps.Geocoding.Place,GeocodingPlaceRequestTests,D:\research\architectureSmells\repos\vivet_GoogleApi\.tests\GoogleApi.UnitTests\Maps\Geocoding\Place\GeocodingPlaceRequestTests.cs,GetUriTest,The length of the statement  "            Assert.AreEqual($"/maps/api/geocode/json?key={request.Key}&language={request.Language.ToCode()}&place_id={Uri.EscapeDataString(request.PlaceId)}"' uri.PathAndQuery); " is 165.
Long Statement,GoogleApi.UnitTests.Maps.Geocoding.PlusCode,GeocodingPlusCodeRequestTests,D:\research\architectureSmells\repos\vivet_GoogleApi\.tests\GoogleApi.UnitTests\Maps\Geocoding\PlusCode\GeocodingPlusCodeRequestTests.cs,GetUriWhenPlaceIdTest,The length of the statement  "            Assert.AreEqual($"/api?ekey={request.Key}&language={request.Language.ToCode()}&address={Uri.EscapeDataString(request.PlaceId)}"' uri.PathAndQuery); " is 147.
Long Statement,GoogleApi.UnitTests.Maps.Geocoding.PlusCode,GeocodingPlusCodeRequestTests,D:\research\architectureSmells\repos\vivet_GoogleApi\.tests\GoogleApi.UnitTests\Maps\Geocoding\PlusCode\GeocodingPlusCodeRequestTests.cs,GetUriWhenLocationTest,The length of the statement  "            Assert.AreEqual($"/api?ekey={request.Key}&language={request.Language.ToCode()}&address={Uri.EscapeDataString(request.Location.ToString())}"' uri.PathAndQuery); " is 159.
Long Statement,GoogleApi.UnitTests.Maps.Geocoding.PlusCode,GeocodingPlusCodeRequestTests,D:\research\architectureSmells\repos\vivet_GoogleApi\.tests\GoogleApi.UnitTests\Maps\Geocoding\PlusCode\GeocodingPlusCodeRequestTests.cs,GetUriWhenAddressTest,The length of the statement  "            Assert.AreEqual($"/api?ekey={request.Key}&language={request.Language.ToCode()}&address={Uri.EscapeDataString(request.Address)}"' uri.PathAndQuery); " is 147.
Long Statement,GoogleApi.UnitTests.Maps.Geocoding.PlusCode,GeocodingPlusCodeRequestTests,D:\research\architectureSmells\repos\vivet_GoogleApi\.tests\GoogleApi.UnitTests\Maps\Geocoding\PlusCode\GeocodingPlusCodeRequestTests.cs,GetUriWhenGlobalCodeTest,The length of the statement  "            Assert.AreEqual($"/api?ekey={request.Key}&language={request.Language.ToCode()}&address={Uri.EscapeDataString(request.GlobalCode)}"' uri.PathAndQuery); " is 150.
Long Statement,GoogleApi.UnitTests.Maps.Roads.NearestRoads,NearestRoadsRequestTests,D:\research\architectureSmells\repos\vivet_GoogleApi\.tests\GoogleApi.UnitTests\Maps\Roads\NearestRoads\NearestRoadsRequestTests.cs,GetUriTest,The length of the statement  "            Assert.AreEqual($"/v1/nearestRoads?key={request.Key}&points={Uri.EscapeDataString(string.Join("|"' request.Points))}"' uri.PathAndQuery); " is 137.
Long Statement,GoogleApi.UnitTests.Maps.Roads.SnapToRoad,SnapToRoadRequestTests,D:\research\architectureSmells\repos\vivet_GoogleApi\.tests\GoogleApi.UnitTests\Maps\Roads\SnapToRoad\SnapToRoadRequestTests.cs,GetUriTest,The length of the statement  "            Assert.AreEqual($"/v1/snapToRoads?key={request.Key}&path={Uri.EscapeDataString(string.Join("|"' request.Path))}&interpolate={request.Interpolate.ToString().ToLower()}"' uri.PathAndQuery); " is 187.
Long Statement,GoogleApi.UnitTests.Maps.Roads.SpeedLimits,SpeedLimitsRequestTests,D:\research\architectureSmells\repos\vivet_GoogleApi\.tests\GoogleApi.UnitTests\Maps\Roads\SpeedLimits\SpeedLimitsRequestTests.cs,GetUriTest,The length of the statement  "            Assert.AreEqual($"/v1/speedLimits?key={request.Key}&path={Uri.EscapeDataString(string.Join("|"' request.Path))}"' uri.PathAndQuery); " is 132.
Long Statement,GoogleApi.UnitTests.Maps.Roads.SpeedLimits,SpeedLimitsRequestTests,D:\research\architectureSmells\repos\vivet_GoogleApi\.tests\GoogleApi.UnitTests\Maps\Roads\SpeedLimits\SpeedLimitsRequestTests.cs,GetUriWhenPlaceIdsTest,The length of the statement  "            Assert.AreEqual($"/v1/speedLimits?key={request.Key}&placeId={Uri.EscapeDataString(request.PlaceIds.First())}&placeId={Uri.EscapeDataString(request.PlaceIds.Last())}"' uri.PathAndQuery); " is 185.
Long Statement,GoogleApi.UnitTests.Maps.StaticMaps,StaticMapsRequestTests,D:\research\architectureSmells\repos\vivet_GoogleApi\.tests\GoogleApi.UnitTests\Maps\StaticMaps\StaticMapsRequestTests.cs,GetUriTest,The length of the statement  "            Assert.AreEqual($"/maps/api/staticmap?key={request.Key}&language={request.Language.ToCode()}&center={Uri.EscapeDataString(request.Center.ToString())}&zoom={request.ZoomLevel.ToString()}&size={request.Size.Width}x{request.Size.Height}"' uri.PathAndQuery); " is 254.
Long Statement,GoogleApi.UnitTests.Maps.StaticMaps,StaticMapsRequestTests,D:\research\architectureSmells\repos\vivet_GoogleApi\.tests\GoogleApi.UnitTests\Maps\StaticMaps\StaticMapsRequestTests.cs,GetUriWhenMapTypeTest,The length of the statement  "            Assert.AreEqual($"/maps/api/staticmap?key={request.Key}&language={request.Language.ToCode()}&center={Uri.EscapeDataString(request.Center.ToString())}&zoom={request.ZoomLevel.ToString()}&size={request.Size.Width}x{request.Size.Height}&maptype={request.Type.ToString().ToLower()}"' uri.PathAndQuery); " is 298.
Long Statement,GoogleApi.UnitTests.Maps.StaticMaps,StaticMapsRequestTests,D:\research\architectureSmells\repos\vivet_GoogleApi\.tests\GoogleApi.UnitTests\Maps\StaticMaps\StaticMapsRequestTests.cs,GetUriWhenScaleTest,The length of the statement  "            Assert.AreEqual($"/maps/api/staticmap?key={request.Key}&language={request.Language.ToCode()}&center={Uri.EscapeDataString(request.Center.ToString())}&zoom={request.ZoomLevel.ToString()}&size={request.Size.Width}x{request.Size.Height}&scale={((int)request.Scale.GetValueOrDefault()).ToString()}"' uri.PathAndQuery); " is 314.
Long Statement,GoogleApi.UnitTests.Maps.StaticMaps,StaticMapsRequestTests,D:\research\architectureSmells\repos\vivet_GoogleApi\.tests\GoogleApi.UnitTests\Maps\StaticMaps\StaticMapsRequestTests.cs,GetUriFormatTest,The length of the statement  "            Assert.AreEqual($"/maps/api/staticmap?key={request.Key}&language={request.Language.ToCode()}&center={Uri.EscapeDataString(request.Center.ToString())}&zoom={request.ZoomLevel.ToString()}&size={request.Size.Width}x{request.Size.Height}&format={request.Format.GetValueOrDefault().GetParameterName()}"' uri.PathAndQuery); " is 317.
Long Statement,GoogleApi.UnitTests.Maps.StaticMaps,StaticMapsRequestTests,D:\research\architectureSmells\repos\vivet_GoogleApi\.tests\GoogleApi.UnitTests\Maps\StaticMaps\StaticMapsRequestTests.cs,GetUriWhenRegionTest,The length of the statement  "            Assert.AreEqual($"/maps/api/staticmap?key={request.Key}&language={request.Language.ToCode()}&center={Uri.EscapeDataString(request.Center.ToString())}&zoom={request.ZoomLevel.ToString()}&size={request.Size.Width}x{request.Size.Height}&region={request.Region}"' uri.PathAndQuery); " is 278.
Long Statement,GoogleApi.UnitTests.Maps.StreetView,StreetViewRequestTests,D:\research\architectureSmells\repos\vivet_GoogleApi\.tests\GoogleApi.UnitTests\Maps\StreetView\StreetViewRequestTests.cs,GetUriTest,The length of the statement  "            Assert.AreEqual($"/maps/api/streetview?key={request.Key}&pano={request.PanoramaId}&size={request.Size.Width}x{request.Size.Height}&pitch={request.Pitch}&fov={request.FieldOfView}"' uri.PathAndQuery); " is 199.
Long Statement,GoogleApi.UnitTests.Maps.StreetView,StreetViewRequestTests,D:\research\architectureSmells\repos\vivet_GoogleApi\.tests\GoogleApi.UnitTests\Maps\StreetView\StreetViewRequestTests.cs,GetUriWhenHeadingTest,The length of the statement  "            Assert.AreEqual($"/maps/api/streetview?key={request.Key}&pano={request.PanoramaId}&size={request.Size.Width}x{request.Size.Height}&pitch={request.Pitch}&heading={request.Heading}&fov={request.FieldOfView}"' uri.PathAndQuery); " is 225.
Long Statement,GoogleApi.UnitTests.Maps.StreetView,StreetViewRequestTests,D:\research\architectureSmells\repos\vivet_GoogleApi\.tests\GoogleApi.UnitTests\Maps\StreetView\StreetViewRequestTests.cs,GetUriWhenLocationTest,The length of the statement  "            Assert.AreEqual($"/maps/api/streetview?key={request.Key}&location={Uri.EscapeDataString(request.Location.ToString())}&size={request.Size.Width}x{request.Size.Height}&pitch={request.Pitch}&fov={request.FieldOfView}"' uri.PathAndQuery); " is 234.
Long Statement,GoogleApi.UnitTests.Maps.TimeZone,TimeZoneRequestTests,D:\research\architectureSmells\repos\vivet_GoogleApi\.tests\GoogleApi.UnitTests\Maps\TimeZone\TimeZoneRequestTests.cs,GetUriTest,The length of the statement  "            Assert.AreEqual($"/maps/api/timezone/json?key={request.Key}&language={request.Language.ToCode()}&location={Uri.EscapeDataString(request.Location.ToString())}&timestamp={request.TimeStamp.DateTimeToUnixTimestamp()}"' uri.PathAndQuery); " is 234.
Long Statement,GoogleApi.UnitTests.Places.AutoComplete,AutoCompleteRequstTests,D:\research\architectureSmells\repos\vivet_GoogleApi\.tests\GoogleApi.UnitTests\Places\AutoComplete\AutoCompleteRequstTests.cs,GetUriTest,The length of the statement  "            Assert.AreEqual($"/maps/api/place/autocomplete/json?key={request.Key}&input={request.Input}&language={request.Language.ToCode()}"' uri.PathAndQuery); " is 149.
Long Statement,GoogleApi.UnitTests.Places.AutoComplete,AutoCompleteRequstTests,D:\research\architectureSmells\repos\vivet_GoogleApi\.tests\GoogleApi.UnitTests\Places\AutoComplete\AutoCompleteRequstTests.cs,GetUriWhenOffsetTest,The length of the statement  "            Assert.AreEqual($"/maps/api/place/autocomplete/json?key={request.Key}&input={request.Input}&language={request.Language.ToCode()}&offset={request.Offset}"' uri.PathAndQuery); " is 173.
Long Statement,GoogleApi.UnitTests.Places.AutoComplete,AutoCompleteRequstTests,D:\research\architectureSmells\repos\vivet_GoogleApi\.tests\GoogleApi.UnitTests\Places\AutoComplete\AutoCompleteRequstTests.cs,GetUriWhenSessionTokenTest,The length of the statement  "            Assert.AreEqual($"/maps/api/place/autocomplete/json?key={request.Key}&input={request.Input}&language={request.Language.ToCode()}&sessiontoken={request.SessionToken}"' uri.PathAndQuery); " is 185.
Long Statement,GoogleApi.UnitTests.Places.AutoComplete,AutoCompleteRequstTests,D:\research\architectureSmells\repos\vivet_GoogleApi\.tests\GoogleApi.UnitTests\Places\AutoComplete\AutoCompleteRequstTests.cs,GetUriWhenLocationTest,The length of the statement  "            Assert.AreEqual($"/maps/api/place/autocomplete/json?key={request.Key}&input={request.Input}&language={request.Language.ToCode()}&location={Uri.EscapeDataString(request.Location.ToString())}"' uri.PathAndQuery); " is 210.
