Method,LOC,CC,PC
ListenerAsyncResult:Complete,17,1,2
ListenerAsyncResult:GetContext,5,2,0
ListenerPrefix:ListenerPrefix,4,1,1
ListenerPrefix:ToString,3,1,0
ListenerPrefix:Equals,6,2,1
ListenerPrefix:GetHashCode,3,1,0
ListenerPrefix:Parse,23,4,1
ListenerPrefix:CheckUri,35,10,1
RequestStream:RequestStream,2,1,4
RequestStream:RequestStream,7,1,5
RequestStream:Close,3,1,0
RequestStream:Flush,2,1,0
RequestStream:FillFromBuffer,31,12,3
RequestStream:Read,15,4,3
RequestStream:BeginRead,21,4,5
RequestStream:EndRead,17,6,1
RequestStream:Seek,3,1,2
RequestStream:SetLength,3,1,1
RequestStream:Write,3,1,3
RequestStream:BeginWrite,3,1,5
RequestStream:EndWrite,3,1,1
ResponseStream:ResponseStream,5,1,3
ResponseStream:Close,23,4,0
ResponseStream:GetHeaders,7,2,1
ResponseStream:Flush,2,1,0
ResponseStream:GetChunkSizeBytes,4,1,2
ResponseStream:InternalWrite,9,2,3
ResponseStream:Write,29,6,3
ResponseStream:BeginWrite,23,4,5
ResponseStream:EndWrite,15,4,1
ResponseStream:Read,3,1,3
ResponseStream:BeginRead,3,1,5
ResponseStream:EndRead,3,1,1
ResponseStream:Seek,3,1,2
ResponseStream:SetLength,3,1,1
Utility:MaybeUri,8,3,1
Utility:IsPredefinedScheme,19,2,1
Utility:ToClientString,20,6,1
Utility:QuotedString,6,2,2
Utility:IsToken,9,3,1
WebHeaderCollection:WebHeaderCollection,49,1,0
WebHeaderCollection:WebHeaderCollection,1,1,0
WebHeaderCollection:WebHeaderCollection,15,2,2
WebHeaderCollection:WebHeaderCollection,3,1,1
WebHeaderCollection:Add,9,3,1
WebHeaderCollection:Add,7,3,2
WebHeaderCollection:AddWithoutValidate,11,4,2
WebHeaderCollection:GetValues,13,3,1
WebHeaderCollection:GetValues,8,2,1
WebHeaderCollection:IsRestricted,7,3,1
WebHeaderCollection:IsRestricted,3,1,2
WebHeaderCollection:OnDeserialization,2,1,1
WebHeaderCollection:Remove,7,3,1
WebHeaderCollection:Set,15,6,2
WebHeaderCollection:ToByteArray,3,1,0
WebHeaderCollection:ToString,11,2,0
WebHeaderCollection:GetObjectData,3,1,2
WebHeaderCollection:GetObjectData,8,2,2
WebHeaderCollection:Get,3,1,1
WebHeaderCollection:Get,3,1,1
WebHeaderCollection:GetKey,3,1,1
WebHeaderCollection:Add,3,1,2
WebHeaderCollection:Remove,3,1,1
WebHeaderCollection:Set,3,1,2
WebHeaderCollection:Add,3,1,2
WebHeaderCollection:Remove,3,1,1
WebHeaderCollection:Set,3,1,2
WebHeaderCollection:RequestHeaderToString,88,2,1
WebHeaderCollection:ResponseHeaderToString,66,2,1
WebHeaderCollection:SetInternal,6,2,1
WebHeaderCollection:SetInternal,14,4,2
WebHeaderCollection:RemoveAndAdd,8,2,2
WebHeaderCollection:RemoveInternal,5,2,1
WebHeaderCollection:IsMultiValue,5,2,1
WebHeaderCollection:IsHeaderValue,22,6,1
WebHeaderCollection:IsHeaderName,18,4,1
Base:ComputeHash,8,3,2
Base:UrlEncode,9,3,1
Base:GetQueryParameters,4,1,1
Base:CreateQueryParametersIterator,6,3,1
Base:GenerateSignatureBase,46,7,12
Base:GenerateSignatureUsingHash,4,1,2
Base:GenerateSignature,5,1,12
Base:GenerateSignature,27,2,13
Base:GenerateTimeStamp,5,1,0
Base:GenerateNonce,5,1,0
LoggerAdapter:LogDebug,4,2,2
Extensions:NormalizeRequestParameters,3,1,1
Extensions:NormalizeRequestParameters,3,1,1
Extensions:NormalizeRequestParameters,3,1,2
Extensions:ToDictionary,5,2,1
QueryParameter<T>:QueryParameter,6,2,3
QueryParameter<T>:ToString,4,2,0
QueryParameter<T>:Equals,3,1,1
QueryParameter<T>:CompareTo,3,1,1
QueryParameter<T>:Equals,5,1,1
QueryParameter<T>:CompareTo,4,1,1
QueryParameter<T>:Equals,7,3,1
QueryParameter<T>:GetHashCode,3,1,0
Check:Self,4,2,1
Check:Selector,4,2,1
IEnumerableRocks:Implode,3,1,2
IEnumerableRocks:Implode,3,1,1
IEnumerableRocks:Implode,15,4,3
NoteConvert:ToNoteInfo,62,11,1
NoteConvert:ToNoteData,32,7,1
NoteConvert:ToNoteXml,4,1,1
NoteConvert:NoteUriFromGuid,3,1,1
WebSyncPreferencesWidget:WebSyncPreferencesWidget,29,2,3
WebSyncPreferencesWidget:OnAuthButtonClicked,130,6,2
WebSyncPreferencesWidget:AddRow,17,1,4
WebSyncServer:WebSyncServer,4,1,2
WebSyncServer:BeginSyncTransaction,14,3,0
WebSyncServer:CancelSyncTransaction,5,1,0
WebSyncServer:CommitSyncTransaction,7,2,0
WebSyncServer:DeleteNotes,8,2,1
WebSyncServer:GetAllNoteUUIDs,9,2,0
WebSyncServer:GetNoteUpdatesSince,16,2,1
WebSyncServer:UploadNotes,4,2,1
WebSyncServer:UpdatesAvailableSince,6,1,1
WebSyncServer:VerifyLatestSyncRevision,6,3,1
WebSyncServiceAddin:WebSyncServiceAddin,2,1,0
WebSyncServiceAddin:CreatePreferencesControl,7,1,1
WebSyncServiceAddin:CreateSyncServer,6,1,0
WebSyncServiceAddin:PostSyncCleanup,2,1,0
WebSyncServiceAddin:ResetConfiguration,4,1,0
WebSyncServiceAddin:SaveConfiguration,9,2,0
WebSyncServiceAddin:Initialize,3,1,0
WebSyncServiceAddin:Shutdown,3,1,0
WebSyncServiceAddin:GetConfigSettings,30,1,2
WebSyncServiceAddin:SaveConfigSettings,35,1,2
WebSyncServiceAddin:GetConfigString,3,1,1
ProxiedWebRequest:Create,13,2,1
ProxiedWebRequest:ApplyProxy,25,4,2
ProxiedWebRequest:UseAuthentication,8,2,0
ProxiedWebRequest:GetAuthUser,3,1,0
ProxiedWebRequest:GetAuthPass,3,1,0
ProxyFactory:px_proxy_factory_new,0,1,0
ProxyFactory:px_proxy_factory_get_proxies,0,1,2
ProxyFactory:px_proxy_factory_free,0,1,1
ProxyFactory:ProxyFactory,3,1,0
ProxyFactory:GetProxies,26,3,1
