Implementation smell,Namespace,Class,File,Method,Description
Complex Method,FOVTest,MainWindow,D:\research\architectureSmells\repos1\tomba_dwarrowdelf\Tests\FOVTest\MainWindow.xaml.cs,KeyToDir,Cyclomatic complexity of the method is 9
Long Parameter List,FOVTest,MainWindow,D:\research\architectureSmells\repos1\tomba_dwarrowdelf\Tests\FOVTest\MainWindow.xaml.cs,Calc,The method has 5 parameters. Parameters: viewerLocation' visionRange' visibilityMap' mapSize' blockerDelegate
Magic Number,FOVTest,MainWindow,D:\research\architectureSmells\repos1\tomba_dwarrowdelf\Tests\FOVTest\MainWindow.xaml.cs,MainWindow,The following statement contains a magic number: m_blockerMap[3' 4] = true;
Magic Number,FOVTest,MainWindow,D:\research\architectureSmells\repos1\tomba_dwarrowdelf\Tests\FOVTest\MainWindow.xaml.cs,MainWindow,The following statement contains a magic number: m_blockerMap[3' 7] = true;
Magic Number,FOVTest,MainWindow,D:\research\architectureSmells\repos1\tomba_dwarrowdelf\Tests\FOVTest\MainWindow.xaml.cs,MainWindow,The following statement contains a magic number: m_blockerMap[3' 7] = true;
Magic Number,FOVTest,MainWindow,D:\research\architectureSmells\repos1\tomba_dwarrowdelf\Tests\FOVTest\MainWindow.xaml.cs,MainWindow,The following statement contains a magic number: m_blockerMap[3' 8] = true;
Magic Number,FOVTest,MainWindow,D:\research\architectureSmells\repos1\tomba_dwarrowdelf\Tests\FOVTest\MainWindow.xaml.cs,MainWindow,The following statement contains a magic number: m_blockerMap[3' 8] = true;
Magic Number,FOVTest,MainWindow,D:\research\architectureSmells\repos1\tomba_dwarrowdelf\Tests\FOVTest\MainWindow.xaml.cs,MainWindow,The following statement contains a magic number: m_blockerMap[3' 9] = true;
Magic Number,FOVTest,MainWindow,D:\research\architectureSmells\repos1\tomba_dwarrowdelf\Tests\FOVTest\MainWindow.xaml.cs,MainWindow,The following statement contains a magic number: m_blockerMap[3' 9] = true;
Magic Number,FOVTest,MainWindow,D:\research\architectureSmells\repos1\tomba_dwarrowdelf\Tests\FOVTest\MainWindow.xaml.cs,MainWindow,The following statement contains a magic number: m_blockerMap[4' 7] = true;
Magic Number,FOVTest,MainWindow,D:\research\architectureSmells\repos1\tomba_dwarrowdelf\Tests\FOVTest\MainWindow.xaml.cs,MainWindow,The following statement contains a magic number: m_blockerMap[4' 7] = true;
Magic Number,FOVTest,MainWindow,D:\research\architectureSmells\repos1\tomba_dwarrowdelf\Tests\FOVTest\MainWindow.xaml.cs,MainWindow,The following statement contains a magic number: m_blockerMap[4' 8] = true;
Magic Number,FOVTest,MainWindow,D:\research\architectureSmells\repos1\tomba_dwarrowdelf\Tests\FOVTest\MainWindow.xaml.cs,MainWindow,The following statement contains a magic number: m_blockerMap[4' 8] = true;
Magic Number,FOVTest,MainWindow,D:\research\architectureSmells\repos1\tomba_dwarrowdelf\Tests\FOVTest\MainWindow.xaml.cs,MainWindow,The following statement contains a magic number: m_blockerMap[4' 9] = true;
Magic Number,FOVTest,MainWindow,D:\research\architectureSmells\repos1\tomba_dwarrowdelf\Tests\FOVTest\MainWindow.xaml.cs,MainWindow,The following statement contains a magic number: m_blockerMap[4' 9] = true;
Magic Number,FOVTest,MainWindow,D:\research\architectureSmells\repos1\tomba_dwarrowdelf\Tests\FOVTest\MainWindow.xaml.cs,MainWindow,The following statement contains a magic number: m_blockerMap[5' 7] = true;
Magic Number,FOVTest,MainWindow,D:\research\architectureSmells\repos1\tomba_dwarrowdelf\Tests\FOVTest\MainWindow.xaml.cs,MainWindow,The following statement contains a magic number: m_blockerMap[5' 7] = true;
Magic Number,FOVTest,MainWindow,D:\research\architectureSmells\repos1\tomba_dwarrowdelf\Tests\FOVTest\MainWindow.xaml.cs,MainWindow,The following statement contains a magic number: m_blockerMap[5' 8] = true;
Magic Number,FOVTest,MainWindow,D:\research\architectureSmells\repos1\tomba_dwarrowdelf\Tests\FOVTest\MainWindow.xaml.cs,MainWindow,The following statement contains a magic number: m_blockerMap[5' 8] = true;
Magic Number,FOVTest,MainWindow,D:\research\architectureSmells\repos1\tomba_dwarrowdelf\Tests\FOVTest\MainWindow.xaml.cs,MainWindow,The following statement contains a magic number: m_blockerMap[5' 9] = true;
Magic Number,FOVTest,MainWindow,D:\research\architectureSmells\repos1\tomba_dwarrowdelf\Tests\FOVTest\MainWindow.xaml.cs,MainWindow,The following statement contains a magic number: m_blockerMap[5' 9] = true;
Magic Number,FOVTest,MainWindow,D:\research\architectureSmells\repos1\tomba_dwarrowdelf\Tests\FOVTest\MainWindow.xaml.cs,rect_MouseMove,The following statement contains a magic number: dx = p.X >= 0 ? 0.5 : -0.5;
Magic Number,FOVTest,MainWindow,D:\research\architectureSmells\repos1\tomba_dwarrowdelf\Tests\FOVTest\MainWindow.xaml.cs,rect_MouseMove,The following statement contains a magic number: dx = p.X >= 0 ? 0.5 : -0.5;
Magic Number,FOVTest,MainWindow,D:\research\architectureSmells\repos1\tomba_dwarrowdelf\Tests\FOVTest\MainWindow.xaml.cs,rect_MouseMove,The following statement contains a magic number: dy = p.Y >= 0 ? 0.5 : -0.5;
Magic Number,FOVTest,MainWindow,D:\research\architectureSmells\repos1\tomba_dwarrowdelf\Tests\FOVTest\MainWindow.xaml.cs,rect_MouseMove,The following statement contains a magic number: dy = p.Y >= 0 ? 0.5 : -0.5;
Magic Number,FOVTest,MainWindow,D:\research\architectureSmells\repos1\tomba_dwarrowdelf\Tests\FOVTest\MainWindow.xaml.cs,NewLine,The following statement contains a magic number: p2 = new Point(p2.X * 100' p2.Y * 100);
Magic Number,FOVTest,MainWindow,D:\research\architectureSmells\repos1\tomba_dwarrowdelf\Tests\FOVTest\MainWindow.xaml.cs,NewLine,The following statement contains a magic number: p2 = new Point(p2.X * 100' p2.Y * 100);
Magic Number,FOVTest,MainWindow,D:\research\architectureSmells\repos1\tomba_dwarrowdelf\Tests\FOVTest\MainWindow.xaml.cs,NewLine,The following statement contains a magic number: var translatex = new Func<double' double>(v => (m_visionRange + v) * ts + 0.5 * ts);
Magic Number,FOVTest,MainWindow,D:\research\architectureSmells\repos1\tomba_dwarrowdelf\Tests\FOVTest\MainWindow.xaml.cs,NewLine,The following statement contains a magic number: var translatey = new Func<double' double>(v => (m_visionRange + v) * ts + 0.5 * ts);
Magic Number,FOVTest,MainWindow,D:\research\architectureSmells\repos1\tomba_dwarrowdelf\Tests\FOVTest\MainWindow.xaml.cs,Connect,The following statement contains a magic number: switch (connectionId)              {              case 1:              this.losComboBox = ((System.Windows.Controls.ComboBox)(target));                            #line 23 "..\..\..\MainWindow.xaml"              this.losComboBox.SelectionChanged += new System.Windows.Controls.SelectionChangedEventHandler(this.ComboBox_SelectionChanged);                            #line default              #line hidden              return;              case 2:              this.grid = ((System.Windows.Controls.Canvas)(target));              return;              case 3:              this.canvas = ((System.Windows.Controls.Canvas)(target));              return;              }
Magic Number,FOVTest,MainWindow,D:\research\architectureSmells\repos1\tomba_dwarrowdelf\Tests\FOVTest\MainWindow.xaml.cs,Connect,The following statement contains a magic number: switch (connectionId)              {              case 1:              this.losComboBox = ((System.Windows.Controls.ComboBox)(target));                            #line 23 "..\..\..\MainWindow.xaml"              this.losComboBox.SelectionChanged += new System.Windows.Controls.SelectionChangedEventHandler(this.ComboBox_SelectionChanged);                            #line default              #line hidden              return;              case 2:              this.grid = ((System.Windows.Controls.Canvas)(target));              return;              case 3:              this.canvas = ((System.Windows.Controls.Canvas)(target));              return;              }
Missing Default,FOVTest,MainWindow,D:\research\architectureSmells\repos1\tomba_dwarrowdelf\Tests\FOVTest\MainWindow.xaml.cs,Connect,The following switch statement is missing a default case: switch (connectionId)              {              case 1:              this.losComboBox = ((System.Windows.Controls.ComboBox)(target));                            #line 23 "..\..\..\MainWindow.xaml"              this.losComboBox.SelectionChanged += new System.Windows.Controls.SelectionChangedEventHandler(this.ComboBox_SelectionChanged);                            #line default              #line hidden              return;              case 2:              this.grid = ((System.Windows.Controls.Canvas)(target));              return;              case 3:              this.canvas = ((System.Windows.Controls.Canvas)(target));              return;              }
