Implementation smell,Namespace,Class,File,Method,Description
Long Statement,UnitTests.EntitySchemes,EntityIdMemberTests,D:\research\architectureSmells\repos\danielwertheim_mycouch\source\tests\UnitTests\EntitySchemes\EntityIdMemberTests.cs,When_ModelId_is_defined_in_base_It_can_extract_the_id,The length of the statement  "            var model = new ModelInheritanceModelIdChild { ModelInheritanceModelIdBaseId = "ModelInheritanceModelIdChild:ModelInheritanceModelIdBaseId:1" }; " is 144.
Long Statement,UnitTests.HttpRequestFactories,QueryShowHttpRequestFactoryTests,D:\research\architectureSmells\repos\danielwertheim_mycouch\source\tests\UnitTests\HttpRequestFactories\QueryShowHttpRequestFactoryTests.cs,When_custom_query_parameters_are_specified_It_should_get_included_in_the_querystring,The length of the statement  "                req => req.RelativeUrl.ToTestUriFromRelative().Query.Should().Be("?myint=42&mystring=test&mybool=True&mydatetime=2014-01-01T13%3A14%3A15")); " is 140.
Long Statement,UnitTests.HttpRequestFactories,QueryViewHttpRequestFactoryTests,D:\research\architectureSmells\repos\danielwertheim_mycouch\source\tests\UnitTests\HttpRequestFactories\QueryViewHttpRequestFactoryTests.cs,When_Keys_are_specified_Then_they_should_be_included_in_the_content_as_json_object,The length of the statement  "                req => req.Content.ReadAsStringAsync().Result.Should().Be("{\"keys\":[\"fake_key\"'\"Two\"'1'3.14'true'false'\"2008-07-17T09:21:30.05\"'[\"complex1\"'42]]}")); " is 159.
Long Statement,UnitTests.HttpRequestFactories,QueryViewHttpRequestFactoryTests,D:\research\architectureSmells\repos\danielwertheim_mycouch\source\tests\UnitTests\HttpRequestFactories\QueryViewHttpRequestFactoryTests.cs,When_custom_query_parameters_are_specified_It_should_get_included_in_the_querystring,The length of the statement  "                req => req.RelativeUrl.ToTestUriFromRelative().Query.Should().Be("?myint=42&mystring=test&mybool=True&mydatetime=2014-01-01T13%3A14%3A15")); " is 140.
Long Statement,UnitTests.HttpRequestFactories,QueryViewHttpRequestFactoryTests,D:\research\architectureSmells\repos\danielwertheim_mycouch\source\tests\UnitTests\HttpRequestFactories\QueryViewHttpRequestFactoryTests.cs,When_all_options_except_Keys_are_configured_It_yields_a_query_string_accordingly,The length of the statement  "                req => req.RelativeUrl.ToTestUriFromRelative().Query.Should().Be("?include_docs=true&descending=true&reduce=true&inclusive_end=true&update_seq=true&group=true&group_level=3&stale=update_after&key=%22Key1%22&startkey=%22My%20start%20key%22&startkey_docid=My%20start%20key%20doc%20id&endkey=%22My%20end%20key%22&endkey_docid=My%20end%20key%20doc%20id&limit=10&skip=5&myint=42")); " is 377.
Long Statement,UnitTests.HttpRequestFactories,ReplicateDatabaseHttpRequestFactoryTests,D:\research\architectureSmells\repos\danielwertheim_mycouch\source\tests\UnitTests\HttpRequestFactories\ReplicateDatabaseHttpRequestFactoryTests.cs,When_create_target_is_true_It_generates_request_body_with_create_target_true,The length of the statement  "            r.Content.ReadAsStringAsync().Result.Should().Be("{\"source\":\"fakedb1\"'\"target\":\"fakedb2\"'\"create_target\":true}"); " is 123.
Long Statement,UnitTests.HttpRequestFactories,ReplicateDatabaseHttpRequestFactoryTests,D:\research\architectureSmells\repos\danielwertheim_mycouch\source\tests\UnitTests\HttpRequestFactories\ReplicateDatabaseHttpRequestFactoryTests.cs,When_create_target_is_false_It_generates_request_body_with_create_target_false,The length of the statement  "            r.Content.ReadAsStringAsync().Result.Should().Be("{\"source\":\"fakedb1\"'\"target\":\"fakedb2\"'\"create_target\":false}"); " is 124.
Long Statement,UnitTests.HttpRequestFactories,ReplicateDatabaseHttpRequestFactoryTests,D:\research\architectureSmells\repos\danielwertheim_mycouch\source\tests\UnitTests\HttpRequestFactories\ReplicateDatabaseHttpRequestFactoryTests.cs,When_proxy_is_specified_It_generates_request_body_with_proxy,The length of the statement  "            r.Content.ReadAsStringAsync().Result.Should().Be("{\"source\":\"fakedb1\"'\"target\":\"fakedb2\"'\"proxy\":\"https://myproxy.com\"}"); " is 134.
Long Statement,UnitTests.HttpRequestFactories,ReplicateDatabaseHttpRequestFactoryTests,D:\research\architectureSmells\repos\danielwertheim_mycouch\source\tests\UnitTests\HttpRequestFactories\ReplicateDatabaseHttpRequestFactoryTests.cs,When_doc_ids_are_specified_It_generates_request_body_with_doc_ids,The length of the statement  "            r.Content.ReadAsStringAsync().Result.Should().Be("{\"source\":\"fakedb1\"'\"target\":\"fakedb2\"'\"doc_ids\":[\"d1\"'\"d2\"]}"); " is 128.
Long Statement,UnitTests.HttpRequestFactories,ReplicateDatabaseHttpRequestFactoryTests,D:\research\architectureSmells\repos\danielwertheim_mycouch\source\tests\UnitTests\HttpRequestFactories\ReplicateDatabaseHttpRequestFactoryTests.cs,When_continuous_is_true_It_generates_request_body_with_continuous_true,The length of the statement  "            r.Content.ReadAsStringAsync().Result.Should().Be("{\"source\":\"fakedb1\"'\"target\":\"fakedb2\"'\"continuous\":true}"); " is 120.
Long Statement,UnitTests.HttpRequestFactories,ReplicateDatabaseHttpRequestFactoryTests,D:\research\architectureSmells\repos\danielwertheim_mycouch\source\tests\UnitTests\HttpRequestFactories\ReplicateDatabaseHttpRequestFactoryTests.cs,When_continuous_is_false_It_generates_request_body_with_continuous_false,The length of the statement  "            r.Content.ReadAsStringAsync().Result.Should().Be("{\"source\":\"fakedb1\"'\"target\":\"fakedb2\"'\"continuous\":false}"); " is 121.
Long Statement,UnitTests.HttpRequestFactories,ReplicateDatabaseHttpRequestFactoryTests,D:\research\architectureSmells\repos\danielwertheim_mycouch\source\tests\UnitTests\HttpRequestFactories\ReplicateDatabaseHttpRequestFactoryTests.cs,When_filter_is_specified_It_generates_request_body_with_filter,The length of the statement  "            r.Content.ReadAsStringAsync().Result.Should().Be("{\"source\":\"fakedb1\"'\"target\":\"fakedb2\"'\"filter\":\"mydesigndoc/myfilter\"}"); " is 136.
Long Statement,UnitTests.HttpRequestFactories,ReplicateDatabaseHttpRequestFactoryTests,D:\research\architectureSmells\repos\danielwertheim_mycouch\source\tests\UnitTests\HttpRequestFactories\ReplicateDatabaseHttpRequestFactoryTests.cs,When_query_params_are_specified_It_generates_request_body_with_query_params_object,The length of the statement  "            var qp = new Dictionary<string' object> { { "key1"' "stringvalue" }' { "key2"' 42 }' { "key3"' 3.14 }' { "key4"' new DateTime(2014' 04' 11' 08' 45' 33) } }; " is 156.
Long Statement,UnitTests.Serialization,DocumentSerializationTests,D:\research\architectureSmells\repos\danielwertheim_mycouch\source\tests\UnitTests\Serialization\DocumentSerializationTests.cs,When_serializing_entity_with_specific_DocType_via_meta_It_will_use_that_in_json,The length of the statement  "            var model = new ModelEntityWithMeta { Id = "abc"' Rev = "505e07eb-41a4-4bb1-8a4c-fb6453f9927d"' Value = "Some value." }; " is 120.
Long Statement,UnitTests.Serialization,DocumentSerializationTests,D:\research\architectureSmells\repos\danielwertheim_mycouch\source\tests\UnitTests\Serialization\DocumentSerializationTests.cs,When_serializing_entity_with_specific_DocNamespace_via_meta_It_will_use_that_in_json,The length of the statement  "            var model = new ModelEntityWithMeta { Id = "abc"' Rev = "505e07eb-41a4-4bb1-8a4c-fb6453f9927d"' Value = "Some value." }; " is 120.
Long Statement,UnitTests.Serialization,DocumentSerializationTests,D:\research\architectureSmells\repos\danielwertheim_mycouch\source\tests\UnitTests\Serialization\DocumentSerializationTests.cs,When_serializing_entity_with_specific_DocVersion_via_meta_It_will_use_that_in_json,The length of the statement  "            var model = new ModelEntityWithMeta { Id = "abc"' Rev = "505e07eb-41a4-4bb1-8a4c-fb6453f9927d"' Value = "Some value." }; " is 120.
Long Statement,UnitTests.Serialization,DocumentSerializationTests,D:\research\architectureSmells\repos\danielwertheim_mycouch\source\tests\UnitTests\Serialization\DocumentSerializationTests.cs,When_serializing_child_extending_entity_that_has_specific_docType_via_meta_It_will_use_that_in_json,The length of the statement  "            var model = new ChildModelEntityWithMeta { Id = "abc"' Rev = "505e07eb-41a4-4bb1-8a4c-fb6453f9927d"' Value = "Some value." }; " is 125.
Long Statement,UnitTests.Serialization,ViewQueryResponseRowsDeserializerTests,D:\research\architectureSmells\repos\danielwertheim_mycouch\source\tests\UnitTests\Serialization\ViewQueryResponseRowsDeserializerTests.cs,It_can_populate_complex_keys_in_view_query_response_of_string,The length of the statement  "            ((object[])rows[0].Key).Should().BeEquivalentTo(new object[] { "test1"' (long)1' 3.14' new DateTime(2013' 09' 22' 22' 36' 00) }); " is 129.
Long Statement,UnitTests.Serialization,ViewQueryResponseRowsDeserializerTests,D:\research\architectureSmells\repos\danielwertheim_mycouch\source\tests\UnitTests\Serialization\ViewQueryResponseRowsDeserializerTests.cs,It_can_populate_complex_keys_in_view_query_response_of_string,The length of the statement  "            ((object[])rows[1].Key).Should().BeEquivalentTo(new object[] { "test2"' (long)2' 3.15' new DateTime(2013' 09' 22' 22' 37' 00) }); " is 129.
Long Statement,UnitTests.Serialization,ViewQueryResponseRowsDeserializerTests,D:\research\architectureSmells\repos\danielwertheim_mycouch\source\tests\UnitTests\Serialization\ViewQueryResponseRowsDeserializerTests.cs,It_can_populate_an_albums_view_query_response_of_string,The length of the statement  "            rows[2].Value.Should().Be("[{\"name\":\"Greatest fakes #3.1\"}'{\"name\":\"Greatest fakes #3.2\"}'{\"name\":\"Greatest fakes #3.3\"}]"); " is 136.
Long Statement,UnitTests.Serialization,ViewQueryResponseRowsDeserializerTests,D:\research\architectureSmells\repos\danielwertheim_mycouch\source\tests\UnitTests\Serialization\ViewQueryResponseRowsDeserializerTests.cs,It_can_populate_an_albums_view_query_response_of_string,The length of the statement  "            rows[3].Value.Should().Be("[{\"name\":\"Greatest fakes #4.1\"}'{\"name\":\"Greatest fakes #4.2\"}'{\"name\":\"Greatest fakes #4.3\"}'{\"name\":\"Greatest fakes #4.4\"}]"); " is 171.
Magic Number,UnitTests,IndexParametersConfiguratorTests,D:\research\architectureSmells\repos\danielwertheim_mycouch\source\tests\UnitTests\IndexParametersConfiguratorTests.cs,When_config_of_fields_it_configures_underlying_options_fields,The following statement contains a magic number: _parameters.Fields.Count.Should().Be(2);
Magic Number,UnitTests,QueryConfigurationTests,D:\research\architectureSmells\repos\danielwertheim_mycouch\source\tests\UnitTests\QueryConfigurationTests.cs,When_config_of_Skip_It_configures_underlying_options_Skip,The following statement contains a magic number: const int configuredValue = 10;
Magic Number,UnitTests,QueryConfigurationTests,D:\research\architectureSmells\repos\danielwertheim_mycouch\source\tests\UnitTests\QueryConfigurationTests.cs,When_config_of_Limit_It_configures_underlying_options_Limit,The following statement contains a magic number: const int configuredValue = 10;
Magic Number,UnitTests,QueryConfigurationTests,D:\research\architectureSmells\repos\danielwertheim_mycouch\source\tests\UnitTests\QueryConfigurationTests.cs,When_config_of_Key_of_int_It_configures_underlying_options_Key,The following statement contains a magic number: const int configuredValue = 42;
Magic Number,UnitTests,QueryConfigurationTests,D:\research\architectureSmells\repos\danielwertheim_mycouch\source\tests\UnitTests\QueryConfigurationTests.cs,When_config_of_Key_of_double_It_configures_underlying_options_Key,The following statement contains a magic number: const double configuredValue = 3.14;
Magic Number,UnitTests,QueryConfigurationTests,D:\research\architectureSmells\repos\danielwertheim_mycouch\source\tests\UnitTests\QueryConfigurationTests.cs,When_config_of_Key_of_date_It_configures_underlying_options_Key,The following statement contains a magic number: var configuredValue = new DateTime(2008' 07' 17' 09' 21' 30' 50);
Magic Number,UnitTests,QueryConfigurationTests,D:\research\architectureSmells\repos\danielwertheim_mycouch\source\tests\UnitTests\QueryConfigurationTests.cs,When_config_of_Key_of_date_It_configures_underlying_options_Key,The following statement contains a magic number: var configuredValue = new DateTime(2008' 07' 17' 09' 21' 30' 50);
Magic Number,UnitTests,QueryConfigurationTests,D:\research\architectureSmells\repos\danielwertheim_mycouch\source\tests\UnitTests\QueryConfigurationTests.cs,When_config_of_Key_of_date_It_configures_underlying_options_Key,The following statement contains a magic number: var configuredValue = new DateTime(2008' 07' 17' 09' 21' 30' 50);
Magic Number,UnitTests,QueryConfigurationTests,D:\research\architectureSmells\repos\danielwertheim_mycouch\source\tests\UnitTests\QueryConfigurationTests.cs,When_config_of_Key_of_date_It_configures_underlying_options_Key,The following statement contains a magic number: var configuredValue = new DateTime(2008' 07' 17' 09' 21' 30' 50);
Magic Number,UnitTests,QueryConfigurationTests,D:\research\architectureSmells\repos\danielwertheim_mycouch\source\tests\UnitTests\QueryConfigurationTests.cs,When_config_of_Key_of_date_It_configures_underlying_options_Key,The following statement contains a magic number: var configuredValue = new DateTime(2008' 07' 17' 09' 21' 30' 50);
Magic Number,UnitTests,QueryConfigurationTests,D:\research\architectureSmells\repos\danielwertheim_mycouch\source\tests\UnitTests\QueryConfigurationTests.cs,When_config_of_Key_of_date_It_configures_underlying_options_Key,The following statement contains a magic number: var configuredValue = new DateTime(2008' 07' 17' 09' 21' 30' 50);
Magic Number,UnitTests,QueryConfigurationTests,D:\research\architectureSmells\repos\danielwertheim_mycouch\source\tests\UnitTests\QueryConfigurationTests.cs,When_config_of_Key_of_date_It_configures_underlying_options_Key,The following statement contains a magic number: var configuredValue = new DateTime(2008' 07' 17' 09' 21' 30' 50);
Magic Number,UnitTests,QueryConfigurationTests,D:\research\architectureSmells\repos\danielwertheim_mycouch\source\tests\UnitTests\QueryConfigurationTests.cs,When_config_of_Key_of_complex_It_configures_underlying_options_Key,The following statement contains a magic number: var configuredValue = new object[] {                  "fake key"'                  FooEnum.Two'                  42'                  3.14'                  new DateTime(2008' 07' 17' 09' 21' 30' 50)'                  true              };
Magic Number,UnitTests,QueryConfigurationTests,D:\research\architectureSmells\repos\danielwertheim_mycouch\source\tests\UnitTests\QueryConfigurationTests.cs,When_config_of_Key_of_complex_It_configures_underlying_options_Key,The following statement contains a magic number: var configuredValue = new object[] {                  "fake key"'                  FooEnum.Two'                  42'                  3.14'                  new DateTime(2008' 07' 17' 09' 21' 30' 50)'                  true              };
Magic Number,UnitTests,QueryConfigurationTests,D:\research\architectureSmells\repos\danielwertheim_mycouch\source\tests\UnitTests\QueryConfigurationTests.cs,When_config_of_Key_of_complex_It_configures_underlying_options_Key,The following statement contains a magic number: var configuredValue = new object[] {                  "fake key"'                  FooEnum.Two'                  42'                  3.14'                  new DateTime(2008' 07' 17' 09' 21' 30' 50)'                  true              };
Magic Number,UnitTests,QueryConfigurationTests,D:\research\architectureSmells\repos\danielwertheim_mycouch\source\tests\UnitTests\QueryConfigurationTests.cs,When_config_of_Key_of_complex_It_configures_underlying_options_Key,The following statement contains a magic number: var configuredValue = new object[] {                  "fake key"'                  FooEnum.Two'                  42'                  3.14'                  new DateTime(2008' 07' 17' 09' 21' 30' 50)'                  true              };
Magic Number,UnitTests,QueryConfigurationTests,D:\research\architectureSmells\repos\danielwertheim_mycouch\source\tests\UnitTests\QueryConfigurationTests.cs,When_config_of_Key_of_complex_It_configures_underlying_options_Key,The following statement contains a magic number: var configuredValue = new object[] {                  "fake key"'                  FooEnum.Two'                  42'                  3.14'                  new DateTime(2008' 07' 17' 09' 21' 30' 50)'                  true              };
Magic Number,UnitTests,QueryConfigurationTests,D:\research\architectureSmells\repos\danielwertheim_mycouch\source\tests\UnitTests\QueryConfigurationTests.cs,When_config_of_Key_of_complex_It_configures_underlying_options_Key,The following statement contains a magic number: var configuredValue = new object[] {                  "fake key"'                  FooEnum.Two'                  42'                  3.14'                  new DateTime(2008' 07' 17' 09' 21' 30' 50)'                  true              };
Magic Number,UnitTests,QueryConfigurationTests,D:\research\architectureSmells\repos\danielwertheim_mycouch\source\tests\UnitTests\QueryConfigurationTests.cs,When_config_of_Key_of_complex_It_configures_underlying_options_Key,The following statement contains a magic number: var configuredValue = new object[] {                  "fake key"'                  FooEnum.Two'                  42'                  3.14'                  new DateTime(2008' 07' 17' 09' 21' 30' 50)'                  true              };
Magic Number,UnitTests,QueryConfigurationTests,D:\research\architectureSmells\repos\danielwertheim_mycouch\source\tests\UnitTests\QueryConfigurationTests.cs,When_config_of_Key_of_complex_It_configures_underlying_options_Key,The following statement contains a magic number: var configuredValue = new object[] {                  "fake key"'                  FooEnum.Two'                  42'                  3.14'                  new DateTime(2008' 07' 17' 09' 21' 30' 50)'                  true              };
Magic Number,UnitTests,QueryConfigurationTests,D:\research\architectureSmells\repos\danielwertheim_mycouch\source\tests\UnitTests\QueryConfigurationTests.cs,When_config_of_Key_of_complex_It_configures_underlying_options_Key,The following statement contains a magic number: var configuredValue = new object[] {                  "fake key"'                  FooEnum.Two'                  42'                  3.14'                  new DateTime(2008' 07' 17' 09' 21' 30' 50)'                  true              };
Magic Number,UnitTests,QueryConfigurationTests,D:\research\architectureSmells\repos\danielwertheim_mycouch\source\tests\UnitTests\QueryConfigurationTests.cs,When_config_of_StartKey_of_int_It_configures_underlying_options_Key,The following statement contains a magic number: const int configuredValue = 42;
Magic Number,UnitTests,QueryConfigurationTests,D:\research\architectureSmells\repos\danielwertheim_mycouch\source\tests\UnitTests\QueryConfigurationTests.cs,When_config_of_StartKey_of_double_It_configures_underlying_options_Key,The following statement contains a magic number: const double configuredValue = 3.14;
Magic Number,UnitTests,QueryConfigurationTests,D:\research\architectureSmells\repos\danielwertheim_mycouch\source\tests\UnitTests\QueryConfigurationTests.cs,When_config_of_StartKey_of_date_It_configures_underlying_options_Key,The following statement contains a magic number: var configuredValue = new DateTime(2008' 07' 17' 09' 21' 30' 50);
Magic Number,UnitTests,QueryConfigurationTests,D:\research\architectureSmells\repos\danielwertheim_mycouch\source\tests\UnitTests\QueryConfigurationTests.cs,When_config_of_StartKey_of_date_It_configures_underlying_options_Key,The following statement contains a magic number: var configuredValue = new DateTime(2008' 07' 17' 09' 21' 30' 50);
Magic Number,UnitTests,QueryConfigurationTests,D:\research\architectureSmells\repos\danielwertheim_mycouch\source\tests\UnitTests\QueryConfigurationTests.cs,When_config_of_StartKey_of_date_It_configures_underlying_options_Key,The following statement contains a magic number: var configuredValue = new DateTime(2008' 07' 17' 09' 21' 30' 50);
Magic Number,UnitTests,QueryConfigurationTests,D:\research\architectureSmells\repos\danielwertheim_mycouch\source\tests\UnitTests\QueryConfigurationTests.cs,When_config_of_StartKey_of_date_It_configures_underlying_options_Key,The following statement contains a magic number: var configuredValue = new DateTime(2008' 07' 17' 09' 21' 30' 50);
Magic Number,UnitTests,QueryConfigurationTests,D:\research\architectureSmells\repos\danielwertheim_mycouch\source\tests\UnitTests\QueryConfigurationTests.cs,When_config_of_StartKey_of_date_It_configures_underlying_options_Key,The following statement contains a magic number: var configuredValue = new DateTime(2008' 07' 17' 09' 21' 30' 50);
Magic Number,UnitTests,QueryConfigurationTests,D:\research\architectureSmells\repos\danielwertheim_mycouch\source\tests\UnitTests\QueryConfigurationTests.cs,When_config_of_StartKey_of_date_It_configures_underlying_options_Key,The following statement contains a magic number: var configuredValue = new DateTime(2008' 07' 17' 09' 21' 30' 50);
Magic Number,UnitTests,QueryConfigurationTests,D:\research\architectureSmells\repos\danielwertheim_mycouch\source\tests\UnitTests\QueryConfigurationTests.cs,When_config_of_StartKey_of_date_It_configures_underlying_options_Key,The following statement contains a magic number: var configuredValue = new DateTime(2008' 07' 17' 09' 21' 30' 50);
Magic Number,UnitTests,QueryConfigurationTests,D:\research\architectureSmells\repos\danielwertheim_mycouch\source\tests\UnitTests\QueryConfigurationTests.cs,When_config_of_StartKey_of_complex_It_configures_underlying_options_Key,The following statement contains a magic number: var configuredValue = new object[] {                  "fake key"'                  FooEnum.Two'                  42'                  3.14'                  new DateTime(2008' 07' 17' 09' 21' 30' 50)'                  true              };
Magic Number,UnitTests,QueryConfigurationTests,D:\research\architectureSmells\repos\danielwertheim_mycouch\source\tests\UnitTests\QueryConfigurationTests.cs,When_config_of_StartKey_of_complex_It_configures_underlying_options_Key,The following statement contains a magic number: var configuredValue = new object[] {                  "fake key"'                  FooEnum.Two'                  42'                  3.14'                  new DateTime(2008' 07' 17' 09' 21' 30' 50)'                  true              };
Magic Number,UnitTests,QueryConfigurationTests,D:\research\architectureSmells\repos\danielwertheim_mycouch\source\tests\UnitTests\QueryConfigurationTests.cs,When_config_of_StartKey_of_complex_It_configures_underlying_options_Key,The following statement contains a magic number: var configuredValue = new object[] {                  "fake key"'                  FooEnum.Two'                  42'                  3.14'                  new DateTime(2008' 07' 17' 09' 21' 30' 50)'                  true              };
Magic Number,UnitTests,QueryConfigurationTests,D:\research\architectureSmells\repos\danielwertheim_mycouch\source\tests\UnitTests\QueryConfigurationTests.cs,When_config_of_StartKey_of_complex_It_configures_underlying_options_Key,The following statement contains a magic number: var configuredValue = new object[] {                  "fake key"'                  FooEnum.Two'                  42'                  3.14'                  new DateTime(2008' 07' 17' 09' 21' 30' 50)'                  true              };
Magic Number,UnitTests,QueryConfigurationTests,D:\research\architectureSmells\repos\danielwertheim_mycouch\source\tests\UnitTests\QueryConfigurationTests.cs,When_config_of_StartKey_of_complex_It_configures_underlying_options_Key,The following statement contains a magic number: var configuredValue = new object[] {                  "fake key"'                  FooEnum.Two'                  42'                  3.14'                  new DateTime(2008' 07' 17' 09' 21' 30' 50)'                  true              };
Magic Number,UnitTests,QueryConfigurationTests,D:\research\architectureSmells\repos\danielwertheim_mycouch\source\tests\UnitTests\QueryConfigurationTests.cs,When_config_of_StartKey_of_complex_It_configures_underlying_options_Key,The following statement contains a magic number: var configuredValue = new object[] {                  "fake key"'                  FooEnum.Two'                  42'                  3.14'                  new DateTime(2008' 07' 17' 09' 21' 30' 50)'                  true              };
Magic Number,UnitTests,QueryConfigurationTests,D:\research\architectureSmells\repos\danielwertheim_mycouch\source\tests\UnitTests\QueryConfigurationTests.cs,When_config_of_StartKey_of_complex_It_configures_underlying_options_Key,The following statement contains a magic number: var configuredValue = new object[] {                  "fake key"'                  FooEnum.Two'                  42'                  3.14'                  new DateTime(2008' 07' 17' 09' 21' 30' 50)'                  true              };
Magic Number,UnitTests,QueryConfigurationTests,D:\research\architectureSmells\repos\danielwertheim_mycouch\source\tests\UnitTests\QueryConfigurationTests.cs,When_config_of_StartKey_of_complex_It_configures_underlying_options_Key,The following statement contains a magic number: var configuredValue = new object[] {                  "fake key"'                  FooEnum.Two'                  42'                  3.14'                  new DateTime(2008' 07' 17' 09' 21' 30' 50)'                  true              };
