Architecture smell,Project,Namespace,Cause,Responsible Classes
Unstable Dependency,Rebel.Framework.Persistence,Rebel.Framework.Persistence.Model.IO,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): Rebel.Framework.Persistence,Rebel.Framework.Persistence.Model.IO.IAttributeTypeRegistry' Rebel.Framework.Persistence.Model.IO.AttributeTypeRegistry
Unstable Dependency,Rebel.Framework.Persistence,Rebel.Framework.Persistence.Model.Attribution,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): Rebel.Framework.Persistence.Model.Attribution.MetaData,Rebel.Framework.Persistence.Model.Attribution.AttributeDefinition' Rebel.Framework.Persistence.Model.Attribution.AttributeType
Ambiguous Interface,Rebel.Framework.Persistence,Rebel.Framework.Persistence.Model.Constants,The tool detected the smell in this component because the component provides only a single' general entry-point via the following class: FixedGroupDefinitions,Rebel.Framework.Persistence.Model.Constants.FixedGroupDefinitions
Feature Concentration,Rebel.Framework.Persistence,Rebel.Framework.Persistence,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [AttributeTypeRegistry' IAttributeTypeRegistry' DefaultAttributeTypeRegistry]' [RelationSerializer]' [PersistenceProviderConstants' PersistenceExtensions]. LCC (Lack of Component Cohesion) = 0.5,Rebel.Framework.Persistence.PersistenceProviderConstants' Rebel.Framework.Persistence.PersistenceExtensions' Rebel.Framework.Persistence.RelationSerializer
Feature Concentration,Rebel.Framework.Persistence,Rebel.Framework.Persistence.Model,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [AbstractSchemaPart' AbstractSchemaPart<T>' AbstractEntity' TypedEntity' CompositeTypedEntity' IEntity' IRelatableEntity]' [PackageDefinition]' [PersistenceMetadata]' [EntityCollection<T>]. LCC (Lack of Component Cohesion) = 0.4,Rebel.Framework.Persistence.Model.PackageDefinition' Rebel.Framework.Persistence.Model.PersistenceMetadata' Rebel.Framework.Persistence.Model.EntityCollection<T>
Feature Concentration,Rebel.Framework.Persistence,Rebel.Framework.Persistence.Model.Associations,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [IReadonlyRelation' IRelationById' Relation<TSource'TDestination>' RelationMetaDataCollection' AbstractRelationType' RelationMetaDatum' IRelation' Relation' RelationType]' [RelationLoadStatus]. LCC (Lack of Component Cohesion) = 0.2,Rebel.Framework.Persistence.Model.Associations.RelationLoadStatus
Feature Concentration,Rebel.Framework.Persistence,Rebel.Framework.Persistence.Model.Constants.AttributeTypes,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [BytesAttributeType]' [DictionaryItemTranslationsAttributeType]' [FileUploadAttributeType]' [UserGroupUsersAttributeType]' [ApplicationsListPickerAttributeType]' [BoolAttributeType]' [ContentPickerAttributeType]' [MediaPickerAttributeType]' [ReadOnlyAttributeType]' [DateTimeAttributeType]' [StringAttributeType]' [IntegerAttributeType]' [NodeNameAttributeType]' [SelectedTemplateAttributeType]' [TextAttributeType]. LCC (Lack of Component Cohesion) = 1,Rebel.Framework.Persistence.Model.Constants.AttributeTypes.DictionaryItemTranslationsAttributeType' Rebel.Framework.Persistence.Model.Constants.AttributeTypes.FileUploadAttributeType' Rebel.Framework.Persistence.Model.Constants.AttributeTypes.UserGroupUsersAttributeType' Rebel.Framework.Persistence.Model.Constants.AttributeTypes.ApplicationsListPickerAttributeType' Rebel.Framework.Persistence.Model.Constants.AttributeTypes.BoolAttributeType' Rebel.Framework.Persistence.Model.Constants.AttributeTypes.ContentPickerAttributeType' Rebel.Framework.Persistence.Model.Constants.AttributeTypes.MediaPickerAttributeType' Rebel.Framework.Persistence.Model.Constants.AttributeTypes.ReadOnlyAttributeType' Rebel.Framework.Persistence.Model.Constants.AttributeTypes.DateTimeAttributeType' Rebel.Framework.Persistence.Model.Constants.AttributeTypes.StringAttributeType' Rebel.Framework.Persistence.Model.Constants.AttributeTypes.IntegerAttributeType' Rebel.Framework.Persistence.Model.Constants.AttributeTypes.NodeNameAttributeType' Rebel.Framework.Persistence.Model.Constants.AttributeTypes.SelectedTemplateAttributeType' Rebel.Framework.Persistence.Model.Constants.AttributeTypes.TextAttributeType
Feature Concentration,Rebel.Framework.Persistence,Rebel.Framework.Persistence.Model.Constants.SerializationTypes,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [BoolSerializationType]' [ByteArraySerializationType]' [DateTimeSerializationType]' [IntegerSerializationType]' [DecimalSerializationType]' [GeneralSerializationType]' [LongStringSerializationType]' [StringSerializationType]. LCC (Lack of Component Cohesion) = 1,Rebel.Framework.Persistence.Model.Constants.SerializationTypes.ByteArraySerializationType' Rebel.Framework.Persistence.Model.Constants.SerializationTypes.DateTimeSerializationType' Rebel.Framework.Persistence.Model.Constants.SerializationTypes.IntegerSerializationType' Rebel.Framework.Persistence.Model.Constants.SerializationTypes.DecimalSerializationType' Rebel.Framework.Persistence.Model.Constants.SerializationTypes.GeneralSerializationType' Rebel.Framework.Persistence.Model.Constants.SerializationTypes.LongStringSerializationType' Rebel.Framework.Persistence.Model.Constants.SerializationTypes.StringSerializationType
Feature Concentration,Rebel.Framework.Persistence,Rebel.Framework.Persistence.Model.Constants,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [FixedEntities]' [FixedHiveIds' RootEntitySchema' FixedSchemaTypes]' [FixedLocales' DefaultAttributeLocale]' [FixedGroupDefinitions]' [FixedRelationTypes]' [FixedSchemas]' [FixedStatusTypes]. LCC (Lack of Component Cohesion) = 0.7,Rebel.Framework.Persistence.Model.Constants.FixedLocales' Rebel.Framework.Persistence.Model.Constants.DefaultAttributeLocale' Rebel.Framework.Persistence.Model.Constants.FixedEntities' Rebel.Framework.Persistence.Model.Constants.FixedGroupDefinitions' Rebel.Framework.Persistence.Model.Constants.FixedRelationTypes' Rebel.Framework.Persistence.Model.Constants.FixedSchemas' Rebel.Framework.Persistence.Model.Constants.FixedStatusTypes
Feature Concentration,Rebel.Framework.Persistence,Rebel.Framework.Persistence.Model.Versioning,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [EntitySnapshot<T>]' [IVersionableEntity]' [IRevision' Revision<T>' RevisionData' Branch' Changeset]' [RevisionCollection<T>]. LCC (Lack of Component Cohesion) = 0.5,Rebel.Framework.Persistence.Model.Versioning.EntitySnapshot<T>' Rebel.Framework.Persistence.Model.Versioning.IVersionableEntity' Rebel.Framework.Persistence.Model.Versioning.RevisionCollection<T>
Scattered Functionality,Rebel.Framework.Persistence,Rebel.Framework.Persistence.Model.Attribution.MetaData,The tool detected the smell in this component because a set of two or more components realizes the same high-level architectural concern. Following components realize the same concern: Rebel.Framework' Rebel.Framework.Persistence.Model,Rebel.Framework.Mandate' Rebel.Framework.Persistence.Model.AbstractEntity
Scattered Functionality,Rebel.Framework.Persistence,Rebel.Framework.Persistence.Model.Constants.Schemas,The tool detected the smell in this component because a set of two or more components realizes the same high-level architectural concern. Following components realize the same concern: Rebel.Framework' Rebel.Framework.Persistence.Model.Attribution.MetaData,Rebel.Framework.StringExtensions' Rebel.Framework.Persistence.Model.Attribution.MetaData.EntitySchema' Rebel.Framework.HiveId
Scattered Functionality,Rebel.Framework.Persistence,Rebel.Framework.Persistence.Model.Constants.Schemas,The tool detected the smell in this component because a set of two or more components realizes the same high-level architectural concern. Following components realize the same concern: Rebel.Framework.Persistence' Rebel.Framework' Rebel.Framework.Persistence.Model.Attribution.MetaData,Rebel.Framework.Persistence.IAttributeTypeRegistry' Rebel.Framework.StringExtensions' Rebel.Framework.Persistence.Model.Attribution.MetaData.EntitySchema' Rebel.Framework.HiveId
