Long Statement,CrmAzureTextAnalysis,HtmlTools,F:\newReposMay17\lucasalexander_Crm-Sample-Code\CrmAzureTextAnalysis\CrmAzureTextAnalysis\HtmlTools.cs,StripHTML,The length of the statement  "		result = System.Text.RegularExpressions.Regex.Replace (result' @"<[^>]*>"' string.Empty' System.Text.RegularExpressions.RegexOptions.IgnoreCase); " is 145.
Long Statement,CrmAzureTextAnalysis,HtmlTools,F:\newReposMay17\lucasalexander_Crm-Sample-Code\CrmAzureTextAnalysis\CrmAzureTextAnalysis\HtmlTools.cs,StripHTML,The length of the statement  "		result = System.Text.RegularExpressions.Regex.Replace (result' @" "' " "' System.Text.RegularExpressions.RegexOptions.IgnoreCase); " is 130.
Long Statement,CrmAzureTextAnalysis,HtmlTools,F:\newReposMay17\lucasalexander_Crm-Sample-Code\CrmAzureTextAnalysis\CrmAzureTextAnalysis\HtmlTools.cs,StripHTML,The length of the statement  "		result = System.Text.RegularExpressions.Regex.Replace (result' @"&bull;"' " * "' System.Text.RegularExpressions.RegexOptions.IgnoreCase); " is 137.
Long Statement,CrmAzureTextAnalysis,HtmlTools,F:\newReposMay17\lucasalexander_Crm-Sample-Code\CrmAzureTextAnalysis\CrmAzureTextAnalysis\HtmlTools.cs,StripHTML,The length of the statement  "		result = System.Text.RegularExpressions.Regex.Replace (result' @"&lsaquo;"' "<"' System.Text.RegularExpressions.RegexOptions.IgnoreCase); " is 137.
Long Statement,CrmAzureTextAnalysis,HtmlTools,F:\newReposMay17\lucasalexander_Crm-Sample-Code\CrmAzureTextAnalysis\CrmAzureTextAnalysis\HtmlTools.cs,StripHTML,The length of the statement  "		result = System.Text.RegularExpressions.Regex.Replace (result' @"&rsaquo;"' ">"' System.Text.RegularExpressions.RegexOptions.IgnoreCase); " is 137.
Long Statement,CrmAzureTextAnalysis,HtmlTools,F:\newReposMay17\lucasalexander_Crm-Sample-Code\CrmAzureTextAnalysis\CrmAzureTextAnalysis\HtmlTools.cs,StripHTML,The length of the statement  "		result = System.Text.RegularExpressions.Regex.Replace (result' @"&trade;"' "(tm)"' System.Text.RegularExpressions.RegexOptions.IgnoreCase); " is 139.
Long Statement,CrmAzureTextAnalysis,HtmlTools,F:\newReposMay17\lucasalexander_Crm-Sample-Code\CrmAzureTextAnalysis\CrmAzureTextAnalysis\HtmlTools.cs,StripHTML,The length of the statement  "		result = System.Text.RegularExpressions.Regex.Replace (result' @"&frasl;"' "/"' System.Text.RegularExpressions.RegexOptions.IgnoreCase); " is 136.
Long Statement,CrmAzureTextAnalysis,HtmlTools,F:\newReposMay17\lucasalexander_Crm-Sample-Code\CrmAzureTextAnalysis\CrmAzureTextAnalysis\HtmlTools.cs,StripHTML,The length of the statement  "		result = System.Text.RegularExpressions.Regex.Replace (result' @"&lt;"' "<"' System.Text.RegularExpressions.RegexOptions.IgnoreCase); " is 133.
Long Statement,CrmAzureTextAnalysis,HtmlTools,F:\newReposMay17\lucasalexander_Crm-Sample-Code\CrmAzureTextAnalysis\CrmAzureTextAnalysis\HtmlTools.cs,StripHTML,The length of the statement  "		result = System.Text.RegularExpressions.Regex.Replace (result' @"&gt;"' ">"' System.Text.RegularExpressions.RegexOptions.IgnoreCase); " is 133.
Long Statement,CrmAzureTextAnalysis,HtmlTools,F:\newReposMay17\lucasalexander_Crm-Sample-Code\CrmAzureTextAnalysis\CrmAzureTextAnalysis\HtmlTools.cs,StripHTML,The length of the statement  "		result = System.Text.RegularExpressions.Regex.Replace (result' @"&copy;"' "(c)"' System.Text.RegularExpressions.RegexOptions.IgnoreCase); " is 137.
Long Statement,CrmAzureTextAnalysis,HtmlTools,F:\newReposMay17\lucasalexander_Crm-Sample-Code\CrmAzureTextAnalysis\CrmAzureTextAnalysis\HtmlTools.cs,StripHTML,The length of the statement  "		result = System.Text.RegularExpressions.Regex.Replace (result' @"&reg;"' "(r)"' System.Text.RegularExpressions.RegexOptions.IgnoreCase); " is 136.
Long Statement,CrmAzureTextAnalysis,HtmlTools,F:\newReposMay17\lucasalexander_Crm-Sample-Code\CrmAzureTextAnalysis\CrmAzureTextAnalysis\HtmlTools.cs,StripHTML,The length of the statement  "		result = System.Text.RegularExpressions.Regex.Replace (result' @"&(.{2'6});"' string.Empty' System.Text.RegularExpressions.RegexOptions.IgnoreCase); " is 148.
Long Statement,CrmAzureTextAnalysis,HtmlTools,F:\newReposMay17\lucasalexander_Crm-Sample-Code\CrmAzureTextAnalysis\CrmAzureTextAnalysis\HtmlTools.cs,StripHTML,The length of the statement  "		result = System.Text.RegularExpressions.Regex.Replace (result' "(\r)( )+(\r)"' "\r\r"' System.Text.RegularExpressions.RegexOptions.IgnoreCase); " is 143.
Long Statement,CrmAzureTextAnalysis,HtmlTools,F:\newReposMay17\lucasalexander_Crm-Sample-Code\CrmAzureTextAnalysis\CrmAzureTextAnalysis\HtmlTools.cs,StripHTML,The length of the statement  "		result = System.Text.RegularExpressions.Regex.Replace (result' "(\t)( )+(\t)"' "\t\t"' System.Text.RegularExpressions.RegexOptions.IgnoreCase); " is 143.
Long Statement,CrmAzureTextAnalysis,HtmlTools,F:\newReposMay17\lucasalexander_Crm-Sample-Code\CrmAzureTextAnalysis\CrmAzureTextAnalysis\HtmlTools.cs,StripHTML,The length of the statement  "		result = System.Text.RegularExpressions.Regex.Replace (result' "(\t)( )+(\r)"' "\t\r"' System.Text.RegularExpressions.RegexOptions.IgnoreCase); " is 143.
Long Statement,CrmAzureTextAnalysis,HtmlTools,F:\newReposMay17\lucasalexander_Crm-Sample-Code\CrmAzureTextAnalysis\CrmAzureTextAnalysis\HtmlTools.cs,StripHTML,The length of the statement  "		result = System.Text.RegularExpressions.Regex.Replace (result' "(\r)( )+(\t)"' "\r\t"' System.Text.RegularExpressions.RegexOptions.IgnoreCase); " is 143.
Long Statement,CrmAzureTextAnalysis,HtmlTools,F:\newReposMay17\lucasalexander_Crm-Sample-Code\CrmAzureTextAnalysis\CrmAzureTextAnalysis\HtmlTools.cs,StripHTML,The length of the statement  "		result = System.Text.RegularExpressions.Regex.Replace (result' "(\r)(\t)+(\r)"' "\r\r"' System.Text.RegularExpressions.RegexOptions.IgnoreCase); " is 144.
Long Statement,CrmAzureTextAnalysis,HtmlTools,F:\newReposMay17\lucasalexander_Crm-Sample-Code\CrmAzureTextAnalysis\CrmAzureTextAnalysis\HtmlTools.cs,StripHTML,The length of the statement  "		result = System.Text.RegularExpressions.Regex.Replace (result' "(\r)(\t)+"' "\r\t"' System.Text.RegularExpressions.RegexOptions.IgnoreCase); " is 140.
