Architecture smell,Project,Namespace,Cause,Responsible Classes,Participating Classes
Cyclic Dependency,GEDCOM X Model,Gedcomx.Model.Util,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: Gedcomx.Model.Util' Gx.Agent' Gx.Common' Gx.Links,Gedcomx.Model.Util.JsonHypermediaLinksConverter' Gedcomx.Model.Util.JsonIdentifiersConverter' Gx.Agent.Address' Gx.Agent.Agent' Gx.Common.Attribution' Gx.Common.EvidenceReference' Gx.Links.HypermediaEnabledData,Gedcomx.Model.Util.JsonHypermediaLinksConverter' Gedcomx.Model.Util.JsonIdentifiersConverter' Gx.Agent.Address' Gx.Agent.Agent' Gx.Common.Attribution' Gx.Common.EvidenceReference' Gx.Links.HypermediaEnabledData
Cyclic Dependency,GEDCOM X Model,Gedcomx.Model,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: Gedcomx.Model' Gx.Links,Gedcomx.Model.ISupportsLinks' Gedcomx.Model.VocabElement' Gx.Links.HypermediaEnabledData,Gedcomx.Model.ISupportsLinks' Gedcomx.Model.VocabElement' Gx.Links.HypermediaEnabledData
Cyclic Dependency,GEDCOM X Model,Gedcomx.Model,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: Gedcomx.Model' Gx.Links' Gedcomx.Model.Util,Gedcomx.Model.ISupportsLinks' Gedcomx.Model.VocabElement' Gx.Links.HypermediaEnabledData' Gedcomx.Model.Util.JsonHypermediaLinksConverter' Gedcomx.Model.Util.JsonIdentifiersConverter,Gedcomx.Model.ISupportsLinks' Gedcomx.Model.VocabElement' Gx.Links.HypermediaEnabledData' Gedcomx.Model.Util.JsonHypermediaLinksConverter' Gedcomx.Model.Util.JsonIdentifiersConverter
Cyclic Dependency,GEDCOM X Model,Gedcomx.Model,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: Gedcomx.Model' Gx.Links' Gx.Common' Gx.Links,Gedcomx.Model.ISupportsLinks' Gedcomx.Model.VocabElement' Gx.Links.HypermediaEnabledData' Gx.Common.Attribution' Gx.Common.EvidenceReference,Gedcomx.Model.ISupportsLinks' Gedcomx.Model.VocabElement' Gx.Links.HypermediaEnabledData' Gx.Common.Attribution' Gx.Common.EvidenceReference
Cyclic Dependency,GEDCOM X Model,Gedcomx.Model,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: Gedcomx.Model' Gx.Links' Gx.Agent' Gx.Common' Gx.Links,Gedcomx.Model.ISupportsLinks' Gedcomx.Model.VocabElement' Gx.Links.HypermediaEnabledData' Gx.Agent.Address' Gx.Agent.Agent' Gx.Common.Attribution' Gx.Common.EvidenceReference,Gedcomx.Model.ISupportsLinks' Gedcomx.Model.VocabElement' Gx.Links.HypermediaEnabledData' Gx.Agent.Address' Gx.Agent.Agent' Gx.Common.Attribution' Gx.Common.EvidenceReference
Unstable Dependency,GEDCOM X Model,Gx.Agent,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): Gx.Conclusion,Gx.Agent.Identifier,Gx.Agent.Identifier
Unstable Dependency,GEDCOM X Model,Gx.Source,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): Gx.Conclusion,Gx.Source.DateInfo' Gx.Source.PlaceReference' Gx.Source.Identifier,Gx.Source.DateInfo' Gx.Source.PlaceReference' Gx.Source.Identifier
Unstable Dependency,GEDCOM X Model,Gx.Common,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): Gx.Agent' Gedcomx.Model.Rt,Gx.Common.Agent' Gx.Common.IGedcomxModelVisitor,Gx.Common.Agent' Gx.Common.IGedcomxModelVisitor
Unstable Dependency,GEDCOM X Model,Gx.Records,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): Gedcomx.Model.Rt' Gx.Conclusion' Gx,Gx.Records.IGedcomxModelVisitor' Gx.Records.Conclusion' Gx.Records.Gedcomx,Gx.Records.IGedcomxModelVisitor' Gx.Records.Conclusion' Gx.Records.Gedcomx
Unstable Dependency,GEDCOM X Model,Gx.Links,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): Gx.Common' Gedcomx.Model,Gx.Links.ExtensibleData' Gx.Links.ISupportsLinks,Gx.Links.ExtensibleData' Gx.Links.ISupportsLinks
Unstable Dependency,GEDCOM X Model,Gedcomx.Model.Rt,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): Gx.Source' Gx.Conclusion' Gx,Gedcomx.Model.Rt.SourceCitation' Gedcomx.Model.Rt.SourceDescription' Gedcomx.Model.Rt.SourceReference' Gedcomx.Model.Rt.Conclusion' Gedcomx.Model.Rt.DateInfo' Gedcomx.Model.Rt.Document' Gedcomx.Model.Rt.Event' Gedcomx.Model.Rt.EventRole' Gedcomx.Model.Rt.Fact' Gedcomx.Model.Rt.Gender' Gedcomx.Model.Rt.Name' Gedcomx.Model.Rt.NameForm' Gedcomx.Model.Rt.NamePart' Gedcomx.Model.Rt.Person' Gedcomx.Model.Rt.PlaceDescription' Gedcomx.Model.Rt.PlaceReference' Gedcomx.Model.Rt.Relationship' Gedcomx.Model.Rt.Subject' Gedcomx.Model.Rt.Gedcomx,Gedcomx.Model.Rt.SourceCitation' Gedcomx.Model.Rt.SourceDescription' Gedcomx.Model.Rt.SourceReference' Gedcomx.Model.Rt.Conclusion' Gedcomx.Model.Rt.DateInfo' Gedcomx.Model.Rt.Document' Gedcomx.Model.Rt.Event' Gedcomx.Model.Rt.EventRole' Gedcomx.Model.Rt.Fact' Gedcomx.Model.Rt.Gender' Gedcomx.Model.Rt.Name' Gedcomx.Model.Rt.NameForm' Gedcomx.Model.Rt.NamePart' Gedcomx.Model.Rt.Person' Gedcomx.Model.Rt.PlaceDescription' Gedcomx.Model.Rt.PlaceReference' Gedcomx.Model.Rt.Relationship' Gedcomx.Model.Rt.Subject' Gedcomx.Model.Rt.Gedcomx
Unstable Dependency,GEDCOM X Model,Gedcomx.Model.Util,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): Gx.Links' Gx.Conclusion,Gedcomx.Model.Util.Link' Gedcomx.Model.Util.Identifier,Gedcomx.Model.Util.Link' Gedcomx.Model.Util.Identifier
Feature Concentration,GEDCOM X Model,Gx.Source,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [DiscussionReference]' [CitationField' SourceCitation' SourceDescription' SourceReference' Coverage' Tag]. LCC (Lack of Component Cohesion) = 0.29,Gx.Source.DiscussionReference,Gx.Source.DiscussionReference' Gx.Source.CitationField' Gx.Source.Coverage' Gx.Source.Tag' Gx.Source.SourceCitation' Gx.Source.SourceDescription' Gx.Source.SourceReference
Feature Concentration,GEDCOM X Model,Gx.Types,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [FactQualifierType]' [NamePartQualifierType]' [ConfidenceLevel]' [DocumentType]' [EventRoleType]' [EventType' EventTypeQNameUtil]' [FacetType]' [FactType]' [FieldType]' [FieldValueType]' [GenderType]' [IdentifierType]' [NamePartType]' [NameType]' [RelationshipType]' [ResourceType]' [RecordType]. LCC (Lack of Component Cohesion) = 0.94,Gx.Types.FactQualifierType' Gx.Types.NamePartQualifierType' Gx.Types.ConfidenceLevel' Gx.Types.DocumentType' Gx.Types.EventRoleType' Gx.Types.FacetType' Gx.Types.FactType' Gx.Types.FieldType' Gx.Types.FieldValueType' Gx.Types.GenderType' Gx.Types.IdentifierType' Gx.Types.NamePartType' Gx.Types.NameType' Gx.Types.RelationshipType' Gx.Types.ResourceType' Gx.Types.RecordType,Gx.Types.FactQualifierType' Gx.Types.NamePartQualifierType' Gx.Types.ConfidenceLevel' Gx.Types.DocumentType' Gx.Types.EventRoleType' Gx.Types.EventType' Gx.Types.EventTypeQNameUtil' Gx.Types.FacetType' Gx.Types.FactType' Gx.Types.FieldType' Gx.Types.FieldValueType' Gx.Types.GenderType' Gx.Types.IdentifierType' Gx.Types.NamePartType' Gx.Types.NameType' Gx.Types.RelationshipType' Gx.Types.ResourceType' Gx.Types.RecordType
Feature Concentration,GEDCOM X Model,Gx.Common,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [IAttributable' Attribution' EvidenceReference' ExtensibleData' Note' ResourceReference]' [Qualifier]' [TextValue]. LCC (Lack of Component Cohesion) = 0.38,Gx.Common.Qualifier' Gx.Common.TextValue,Gx.Common.IAttributable' Gx.Common.Attribution' Gx.Common.EvidenceReference' Gx.Common.ExtensibleData' Gx.Common.Note' Gx.Common.Qualifier' Gx.Common.ResourceReference' Gx.Common.TextValue
Feature Concentration,GEDCOM X Model,Gx.Records,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [Collection' CollectionContent]' [Facet' FacetValue]' [Field' FieldValue]' [FieldDescriptor' RecordDescriptor' FieldValueDescriptor]' [RecordSet]. LCC (Lack of Component Cohesion) = 0.5,Gx.Records.Collection' Gx.Records.CollectionContent' Gx.Records.Facet' Gx.Records.FacetValue' Gx.Records.Field' Gx.Records.FieldValue' Gx.Records.RecordSet,Gx.Records.Collection' Gx.Records.CollectionContent' Gx.Records.Facet' Gx.Records.FacetValue' Gx.Records.Field' Gx.Records.FieldDescriptor' Gx.Records.FieldValue' Gx.Records.RecordDescriptor' Gx.Records.RecordSet' Gx.Records.FieldValueDescriptor
Scattered Functionality,GEDCOM X Model,Gedcomx.Model.Rt,The tool detected the smell in this component because a set of two or more components realizes the same high-level architectural concern. Following components realize the same concern: Gx.Source' Gx.Common,Gx.Source.SourceReference' Gx.Common.Note' Gx.Source.SourceCitation' Gx.Common.EvidenceReference,Gx.Source.SourceReference' Gx.Common.Note' Gx.Source.SourceCitation' Gx.Common.EvidenceReference
Scattered Functionality,GEDCOM X Model,Gedcomx.Model.Rt,The tool detected the smell in this component because a set of two or more components realizes the same high-level architectural concern. Following components realize the same concern: Gx.Conclusion' Gx.Records,Gx.Conclusion.Fact' Gx.Records.Field' Gx.Conclusion.Gender' Gx.Conclusion.Name' Gx.Conclusion.DateInfo' Gx.Conclusion.PlaceReference' Gx.Conclusion.NamePart,Gx.Conclusion.Fact' Gx.Records.Field' Gx.Conclusion.Gender' Gx.Conclusion.Name' Gx.Conclusion.DateInfo' Gx.Conclusion.PlaceReference' Gx.Conclusion.NamePart
