Implementation smell,Namespace,Class,File,Method,Description
Long Method,Sample.Droid,Resource,D:\research\architectureSmells\repos\aritchie_acrmvvmcross\Sample.Droid\Resources\Resource.Designer.cs,UpdateIdValues,The method has 101 lines of code.
Long Identifier,Sample.Droid,Styleable,D:\research\architectureSmells\repos\aritchie_acrmvvmcross\Sample.Droid\Resources\Resource.Designer.cs,,The length of the parameter MvxListView_MvxDropDownItemTemplate is 35.
Long Statement,Sample.Droid,Resource,D:\research\architectureSmells\repos\aritchie_acrmvvmcross\Sample.Droid\Resources\Resource.Designer.cs,UpdateIdValues,The length of the statement  "			global::Acr.MvvmCross.Plugins.UserDialogs.Droid.Resource.Id.textViewStatus = global::Sample.Droid.Resource.Id.textViewStatus; " is 125.
Long Statement,Sample.Droid,Resource,D:\research\architectureSmells\repos\aritchie_acrmvvmcross\Sample.Droid\Resources\Resource.Designer.cs,UpdateIdValues,The length of the statement  "			global::Acr.MvvmCross.Plugins.UserDialogs.Droid.Resource.Layout.loadingimage = global::Sample.Droid.Resource.Layout.loadingimage; " is 129.
Long Statement,Sample.Droid,Resource,D:\research\architectureSmells\repos\aritchie_acrmvvmcross\Sample.Droid\Resources\Resource.Designer.cs,UpdateIdValues,The length of the statement  "			global::Acr.MvvmCross.Plugins.UserDialogs.Droid.Resource.Layout.loadingprogress = global::Sample.Droid.Resource.Layout.loadingprogress; " is 135.
Long Statement,Sample.Droid,Resource,D:\research\architectureSmells\repos\aritchie_acrmvvmcross\Sample.Droid\Resources\Resource.Designer.cs,UpdateIdValues,The length of the statement  "			global::Acr.MvvmCross.Plugins.UserDialogs.Droid.Resource.String.ApplicationName = global::Sample.Droid.Resource.String.ApplicationName; " is 135.
Long Statement,Sample.Droid,Resource,D:\research\architectureSmells\repos\aritchie_acrmvvmcross\Sample.Droid\Resources\Resource.Designer.cs,UpdateIdValues,The length of the statement  "			global::Acr.MvvmCross.Plugins.UserDialogs.Droid.Resource.String.library_name = global::Sample.Droid.Resource.String.library_name; " is 129.
Long Statement,Sample.Droid,Resource,D:\research\architectureSmells\repos\aritchie_acrmvvmcross\Sample.Droid\Resources\Resource.Designer.cs,UpdateIdValues,The length of the statement  "			global::Acr.MvvmCross.Plugins.UserDialogs.Droid.Resource.Styleable.ProgressWheel = global::Sample.Droid.Resource.Styleable.ProgressWheel; " is 137.
Long Statement,Sample.Droid,Resource,D:\research\architectureSmells\repos\aritchie_acrmvvmcross\Sample.Droid\Resources\Resource.Designer.cs,UpdateIdValues,The length of the statement  "			global::Acr.MvvmCross.Plugins.UserDialogs.Droid.Resource.Styleable.ProgressWheel_ahBarColor = global::Sample.Droid.Resource.Styleable.ProgressWheel_ahBarColor; " is 159.
Long Statement,Sample.Droid,Resource,D:\research\architectureSmells\repos\aritchie_acrmvvmcross\Sample.Droid\Resources\Resource.Designer.cs,UpdateIdValues,The length of the statement  "			global::Acr.MvvmCross.Plugins.UserDialogs.Droid.Resource.Styleable.ProgressWheel_ahBarLength = global::Sample.Droid.Resource.Styleable.ProgressWheel_ahBarLength; " is 161.
Long Statement,Sample.Droid,Resource,D:\research\architectureSmells\repos\aritchie_acrmvvmcross\Sample.Droid\Resources\Resource.Designer.cs,UpdateIdValues,The length of the statement  "			global::Acr.MvvmCross.Plugins.UserDialogs.Droid.Resource.Styleable.ProgressWheel_ahBarWidth = global::Sample.Droid.Resource.Styleable.ProgressWheel_ahBarWidth; " is 159.
Long Statement,Sample.Droid,Resource,D:\research\architectureSmells\repos\aritchie_acrmvvmcross\Sample.Droid\Resources\Resource.Designer.cs,UpdateIdValues,The length of the statement  "			global::Acr.MvvmCross.Plugins.UserDialogs.Droid.Resource.Styleable.ProgressWheel_ahCircleColor = global::Sample.Droid.Resource.Styleable.ProgressWheel_ahCircleColor; " is 165.
Long Statement,Sample.Droid,Resource,D:\research\architectureSmells\repos\aritchie_acrmvvmcross\Sample.Droid\Resources\Resource.Designer.cs,UpdateIdValues,The length of the statement  "			global::Acr.MvvmCross.Plugins.UserDialogs.Droid.Resource.Styleable.ProgressWheel_ahDelayMillis = global::Sample.Droid.Resource.Styleable.ProgressWheel_ahDelayMillis; " is 165.
Long Statement,Sample.Droid,Resource,D:\research\architectureSmells\repos\aritchie_acrmvvmcross\Sample.Droid\Resources\Resource.Designer.cs,UpdateIdValues,The length of the statement  "			global::Acr.MvvmCross.Plugins.UserDialogs.Droid.Resource.Styleable.ProgressWheel_ahRadius = global::Sample.Droid.Resource.Styleable.ProgressWheel_ahRadius; " is 155.
Long Statement,Sample.Droid,Resource,D:\research\architectureSmells\repos\aritchie_acrmvvmcross\Sample.Droid\Resources\Resource.Designer.cs,UpdateIdValues,The length of the statement  "			global::Acr.MvvmCross.Plugins.UserDialogs.Droid.Resource.Styleable.ProgressWheel_ahRimColor = global::Sample.Droid.Resource.Styleable.ProgressWheel_ahRimColor; " is 159.
Long Statement,Sample.Droid,Resource,D:\research\architectureSmells\repos\aritchie_acrmvvmcross\Sample.Droid\Resources\Resource.Designer.cs,UpdateIdValues,The length of the statement  "			global::Acr.MvvmCross.Plugins.UserDialogs.Droid.Resource.Styleable.ProgressWheel_ahRimWidth = global::Sample.Droid.Resource.Styleable.ProgressWheel_ahRimWidth; " is 159.
Long Statement,Sample.Droid,Resource,D:\research\architectureSmells\repos\aritchie_acrmvvmcross\Sample.Droid\Resources\Resource.Designer.cs,UpdateIdValues,The length of the statement  "			global::Acr.MvvmCross.Plugins.UserDialogs.Droid.Resource.Styleable.ProgressWheel_ahSpinSpeed = global::Sample.Droid.Resource.Styleable.ProgressWheel_ahSpinSpeed; " is 161.
Long Statement,Sample.Droid,Resource,D:\research\architectureSmells\repos\aritchie_acrmvvmcross\Sample.Droid\Resources\Resource.Designer.cs,UpdateIdValues,The length of the statement  "			global::Acr.MvvmCross.Plugins.UserDialogs.Droid.Resource.Styleable.ProgressWheel_ahText = global::Sample.Droid.Resource.Styleable.ProgressWheel_ahText; " is 151.
Long Statement,Sample.Droid,Resource,D:\research\architectureSmells\repos\aritchie_acrmvvmcross\Sample.Droid\Resources\Resource.Designer.cs,UpdateIdValues,The length of the statement  "			global::Acr.MvvmCross.Plugins.UserDialogs.Droid.Resource.Styleable.ProgressWheel_ahTextColor = global::Sample.Droid.Resource.Styleable.ProgressWheel_ahTextColor; " is 161.
Long Statement,Sample.Droid,Resource,D:\research\architectureSmells\repos\aritchie_acrmvvmcross\Sample.Droid\Resources\Resource.Designer.cs,UpdateIdValues,The length of the statement  "			global::Acr.MvvmCross.Plugins.UserDialogs.Droid.Resource.Styleable.ProgressWheel_ahTextSize = global::Sample.Droid.Resource.Styleable.ProgressWheel_ahTextSize; " is 159.
Long Statement,Sample.Droid,Resource,D:\research\architectureSmells\repos\aritchie_acrmvvmcross\Sample.Droid\Resources\Resource.Designer.cs,UpdateIdValues,The length of the statement  "			global::AndroidHUD.Resource.Styleable.ProgressWheel_ahBarColor = global::Sample.Droid.Resource.Styleable.ProgressWheel_ahBarColor; " is 130.
Long Statement,Sample.Droid,Resource,D:\research\architectureSmells\repos\aritchie_acrmvvmcross\Sample.Droid\Resources\Resource.Designer.cs,UpdateIdValues,The length of the statement  "			global::AndroidHUD.Resource.Styleable.ProgressWheel_ahBarLength = global::Sample.Droid.Resource.Styleable.ProgressWheel_ahBarLength; " is 132.
Long Statement,Sample.Droid,Resource,D:\research\architectureSmells\repos\aritchie_acrmvvmcross\Sample.Droid\Resources\Resource.Designer.cs,UpdateIdValues,The length of the statement  "			global::AndroidHUD.Resource.Styleable.ProgressWheel_ahBarWidth = global::Sample.Droid.Resource.Styleable.ProgressWheel_ahBarWidth; " is 130.
Long Statement,Sample.Droid,Resource,D:\research\architectureSmells\repos\aritchie_acrmvvmcross\Sample.Droid\Resources\Resource.Designer.cs,UpdateIdValues,The length of the statement  "			global::AndroidHUD.Resource.Styleable.ProgressWheel_ahCircleColor = global::Sample.Droid.Resource.Styleable.ProgressWheel_ahCircleColor; " is 136.
Long Statement,Sample.Droid,Resource,D:\research\architectureSmells\repos\aritchie_acrmvvmcross\Sample.Droid\Resources\Resource.Designer.cs,UpdateIdValues,The length of the statement  "			global::AndroidHUD.Resource.Styleable.ProgressWheel_ahDelayMillis = global::Sample.Droid.Resource.Styleable.ProgressWheel_ahDelayMillis; " is 136.
Long Statement,Sample.Droid,Resource,D:\research\architectureSmells\repos\aritchie_acrmvvmcross\Sample.Droid\Resources\Resource.Designer.cs,UpdateIdValues,The length of the statement  "			global::AndroidHUD.Resource.Styleable.ProgressWheel_ahRadius = global::Sample.Droid.Resource.Styleable.ProgressWheel_ahRadius; " is 126.
Long Statement,Sample.Droid,Resource,D:\research\architectureSmells\repos\aritchie_acrmvvmcross\Sample.Droid\Resources\Resource.Designer.cs,UpdateIdValues,The length of the statement  "			global::AndroidHUD.Resource.Styleable.ProgressWheel_ahRimColor = global::Sample.Droid.Resource.Styleable.ProgressWheel_ahRimColor; " is 130.
Long Statement,Sample.Droid,Resource,D:\research\architectureSmells\repos\aritchie_acrmvvmcross\Sample.Droid\Resources\Resource.Designer.cs,UpdateIdValues,The length of the statement  "			global::AndroidHUD.Resource.Styleable.ProgressWheel_ahRimWidth = global::Sample.Droid.Resource.Styleable.ProgressWheel_ahRimWidth; " is 130.
Long Statement,Sample.Droid,Resource,D:\research\architectureSmells\repos\aritchie_acrmvvmcross\Sample.Droid\Resources\Resource.Designer.cs,UpdateIdValues,The length of the statement  "			global::AndroidHUD.Resource.Styleable.ProgressWheel_ahSpinSpeed = global::Sample.Droid.Resource.Styleable.ProgressWheel_ahSpinSpeed; " is 132.
Long Statement,Sample.Droid,Resource,D:\research\architectureSmells\repos\aritchie_acrmvvmcross\Sample.Droid\Resources\Resource.Designer.cs,UpdateIdValues,The length of the statement  "			global::AndroidHUD.Resource.Styleable.ProgressWheel_ahText = global::Sample.Droid.Resource.Styleable.ProgressWheel_ahText; " is 122.
Long Statement,Sample.Droid,Resource,D:\research\architectureSmells\repos\aritchie_acrmvvmcross\Sample.Droid\Resources\Resource.Designer.cs,UpdateIdValues,The length of the statement  "			global::AndroidHUD.Resource.Styleable.ProgressWheel_ahTextColor = global::Sample.Droid.Resource.Styleable.ProgressWheel_ahTextColor; " is 132.
Long Statement,Sample.Droid,Resource,D:\research\architectureSmells\repos\aritchie_acrmvvmcross\Sample.Droid\Resources\Resource.Designer.cs,UpdateIdValues,The length of the statement  "			global::AndroidHUD.Resource.Styleable.ProgressWheel_ahTextSize = global::Sample.Droid.Resource.Styleable.ProgressWheel_ahTextSize; " is 130.
Long Statement,Sample.Droid,Resource,D:\research\architectureSmells\repos\aritchie_acrmvvmcross\Sample.Droid\Resources\Resource.Designer.cs,UpdateIdValues,The length of the statement  "			global::ZXing.Mobile.Resource.Layout.zxingscanneractivitylayout = global::Sample.Droid.Resource.Layout.zxingscanneractivitylayout; " is 130.
Long Statement,Sample.Droid,Resource,D:\research\architectureSmells\repos\aritchie_acrmvvmcross\Sample.Droid\Resources\Resource.Designer.cs,UpdateIdValues,The length of the statement  "			global::ZXing.Mobile.Resource.Layout.zxingscannerfragmentlayout = global::Sample.Droid.Resource.Layout.zxingscannerfragmentlayout; " is 130.
