Project,Namespace,Ca types,Ce types
RiotSharp,RiotSharp.Endpoints.StaticDataEndpoint.LanguageStrings,RiotSharp.Endpoints.Interfaces.Static.IStaticLanguageEndpoint' RiotSharp.Endpoints.StaticDataEndpoint.LanguageStrings.Cache.LanguageStringsStaticWrapper' RiotSharp.Endpoints.StaticDataEndpoint.StaticEndpointProvider,RiotSharp.Caching.ICache' RiotSharp.Endpoints.Interfaces.Static.IStaticLanguageEndpoint' RiotSharp.Endpoints.StaticDataEndpoint.StaticEndpointBase' RiotSharp.Endpoints.StaticDataEndpoint.LanguageStrings.Cache.LanguageStringsStaticWrapper' RiotSharp.Http.Interfaces.IRequester' RiotSharp.Misc.Language
RiotSharp,RiotSharp.Endpoints.StaticDataEndpoint.Map.Cache,RiotSharp.Endpoints.StaticDataEndpoint.Map.StaticMapEndpoint,RiotSharp.Endpoints.StaticDataEndpoint.Map.MapsStatic' RiotSharp.Misc.Language
RiotSharp,RiotSharp.Endpoints.StaticDataEndpoint.Map,RiotSharp.Endpoints.StaticDataEndpoint.Map.Cache.MapsStaticWrapper' RiotSharp.Endpoints.Interfaces.Static.IStaticMapEndpoint' RiotSharp.Endpoints.StaticDataEndpoint.StaticEndpointProvider,RiotSharp.Endpoints.StaticDataEndpoint.ImageStatic' RiotSharp.Caching.ICache' RiotSharp.Endpoints.Interfaces.Static.IStaticMapEndpoint' RiotSharp.Endpoints.StaticDataEndpoint.StaticEndpointBase' RiotSharp.Endpoints.StaticDataEndpoint.Map.Cache.MapsStaticWrapper' RiotSharp.Http.Interfaces.IRequester' RiotSharp.Misc.Language
RiotSharp,RiotSharp.Endpoints.StaticDataEndpoint.Mastery.Cache,RiotSharp.Endpoints.StaticDataEndpoint.Mastery.StaticMasteryEndpoint,RiotSharp.Endpoints.StaticDataEndpoint.Mastery.MasteryListStatic' RiotSharp.Misc.Language
RiotSharp,RiotSharp.Endpoints.StaticDataEndpoint.Mastery,RiotSharp.Endpoints.Interfaces.Static.IStaticMasteryEndpoint' RiotSharp.Endpoints.StaticDataEndpoint.Mastery.Cache.MasteryListStaticWrapper' RiotSharp.Endpoints.StaticDataEndpoint.StaticEndpointProvider,RiotSharp.Endpoints.StaticDataEndpoint.ImageStatic' RiotSharp.Caching.ICache' RiotSharp.Endpoints.Interfaces.Static.IStaticMasteryEndpoint' RiotSharp.Endpoints.StaticDataEndpoint.StaticEndpointBase' RiotSharp.Endpoints.StaticDataEndpoint.Mastery.Cache.MasteryListStaticWrapper' RiotSharp.Http.Interfaces.IRequester' RiotSharp.Misc.Language
RiotSharp,RiotSharp.Endpoints.StaticDataEndpoint.ProfileIcons.Cache,RiotSharp.Endpoints.StaticDataEndpoint.ProfileIcons.StaticProfileIconEndpoint,RiotSharp.Endpoints.StaticDataEndpoint.ProfileIcons.ProfileIconListStatic' RiotSharp.Misc.Language
RiotSharp,RiotSharp.Endpoints.StaticDataEndpoint.ProfileIcons,RiotSharp.Endpoints.Interfaces.Static.IStaticProfileIconEndpoint' RiotSharp.Endpoints.StaticDataEndpoint.ProfileIcons.Cache.ProfileIconsStaticWrapper' RiotSharp.Endpoints.StaticDataEndpoint.StaticEndpointProvider,RiotSharp.Endpoints.StaticDataEndpoint.ImageStatic' RiotSharp.Caching.ICache' RiotSharp.Endpoints.Interfaces.Static.IStaticProfileIconEndpoint' RiotSharp.Endpoints.StaticDataEndpoint.StaticEndpointBase' RiotSharp.Endpoints.StaticDataEndpoint.ProfileIcons.Cache.ProfileIconsStaticWrapper' RiotSharp.Http.Interfaces.IRequester' RiotSharp.Misc.Language
RiotSharp,RiotSharp.Endpoints.StaticDataEndpoint.Realm.Cache,RiotSharp.Endpoints.StaticDataEndpoint.Realm.StaticRealmEndpoint,RiotSharp.Endpoints.StaticDataEndpoint.Realm.RealmStatic
RiotSharp,RiotSharp.Endpoints.StaticDataEndpoint.Realm,RiotSharp.Endpoints.Interfaces.Static.IStaticRealmEndpoint' RiotSharp.Endpoints.StaticDataEndpoint.Realm.Cache.RealmStaticWrapper' RiotSharp.Endpoints.StaticDataEndpoint.StaticEndpointProvider,RiotSharp.Caching.ICache' RiotSharp.Endpoints.Interfaces.Static.IStaticRealmEndpoint' RiotSharp.Endpoints.StaticDataEndpoint.StaticEndpointBase' RiotSharp.Endpoints.StaticDataEndpoint.Realm.Cache.RealmStaticWrapper' RiotSharp.Http.Interfaces.IRequester' RiotSharp.Misc.Region
RiotSharp,RiotSharp.Endpoints.StaticDataEndpoint.ReforgedRune.Cache,RiotSharp.Endpoints.StaticDataEndpoint.ReforgedRune.StaticReforgedRuneEndpoint,RiotSharp.Endpoints.StaticDataEndpoint.ReforgedRune.ReforgedRunePathStatic' RiotSharp.Misc.Language
RiotSharp,RiotSharp.Endpoints.StaticDataEndpoint.ReforgedRune,RiotSharp.Endpoints.Interfaces.Static.IStaticReforgedRuneEndpoint' RiotSharp.Endpoints.StaticDataEndpoint.ReforgedRune.Cache.ReforgedRuneListStaticWrapper' RiotSharp.Endpoints.StaticDataEndpoint.StaticEndpointProvider,RiotSharp.Caching.ICache' RiotSharp.Endpoints.Interfaces.Static.IStaticReforgedRuneEndpoint' RiotSharp.Endpoints.StaticDataEndpoint.StaticEndpointBase' RiotSharp.Endpoints.StaticDataEndpoint.ReforgedRune.Cache.ReforgedRuneListStaticWrapper' RiotSharp.Http.Interfaces.IRequester' RiotSharp.Misc.Language
RiotSharp,RiotSharp.Endpoints.StaticDataEndpoint.Rune.Cache,RiotSharp.Endpoints.StaticDataEndpoint.Rune.StaticRuneEndpoint,RiotSharp.Endpoints.StaticDataEndpoint.Rune.RuneListStatic' RiotSharp.Misc.Language
RiotSharp,RiotSharp.Endpoints.StaticDataEndpoint.Rune,RiotSharp.Endpoints.Interfaces.Static.IStaticRuneEndpoint' RiotSharp.Endpoints.StaticDataEndpoint.Rune.Cache.RuneListStaticWrapper' RiotSharp.Endpoints.StaticDataEndpoint.StaticEndpointProvider,RiotSharp.Endpoints.StaticDataEndpoint.ImageStatic' RiotSharp.Endpoints.StaticDataEndpoint.MetadataStatic' RiotSharp.Endpoints.StaticDataEndpoint.StatsStatic' RiotSharp.Endpoints.StaticDataEndpoint.Item.GoldStatic' RiotSharp.Caching.ICache' RiotSharp.Endpoints.Interfaces.Static.IStaticRuneEndpoint' RiotSharp.Endpoints.StaticDataEndpoint.StaticEndpointBase' RiotSharp.Endpoints.StaticDataEndpoint.Rune.Cache.RuneListStaticWrapper' RiotSharp.Http.Interfaces.IRequester' RiotSharp.Misc.Language
RiotSharp,RiotSharp.Endpoints.StaticDataEndpoint.SummonerSpell.Cache,RiotSharp.Endpoints.StaticDataEndpoint.SummonerSpell.StaticSummonerSpellEndpoint,RiotSharp.Endpoints.StaticDataEndpoint.SummonerSpell.SummonerSpellListStatic' RiotSharp.Misc.Language
