Project,Cyclic Dependency,Unstable Dependency,Ambiguous Interface,God Component,Feature Concentration,Scattered Functionality,Dense Structure,Imperative Abstraction,Unnecessary Abstraction,Multifaceted Abstraction,Unutilized Abstraction,Duplicate Abstraction,Deficient Encapsulation,Unexloited Encapsulation,Broken Modularization,Insufficient Modularization,Hub-like Modularization,Cyclically-dependent Modularization,Wide Hierarchy,Deep Hierarchy,Multipath Hierarchy,Cyclic Hierarchy,Rebellious Hierarchy,Unfactored Hierarchy,Missing Hierarchy,Broken Hierarchy,Long Method,Complex Method,Long Parameter List,Long Identifier,Long Statement,Complex Conditional,Virtual Method Call from Constructor,Empty Catch Block,Magic Number,Duplicate Code,Missing Default,LOC
Aaronontheweb_lighthouse-akka,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,74
Aaronontheweb_mvc-utilities,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,0,3,2,0,0,24,0,0,922
Aaronontheweb_qdfeed,0,2,0,0,0,0,0,0,8,0,12,0,2,0,4,0,0,0,0,0,0,0,2,2,0,0,0,4,0,0,20,0,0,0,0,0,4,2196
aaubry_YamlDotNet,0,0,0,0,1,0,0,1,5,0,7,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,451
Abc-Arbitrage_Zebus,1,6,0,2,11,2,0,0,35,0,85,8,4,0,1,8,0,7,0,0,0,0,30,0,0,0,0,7,12,1,67,2,0,1,387,0,0,9320
abeham_SimSharp,0,0,0,1,1,0,0,3,1,0,14,9,0,0,0,2,0,11,0,0,0,0,0,1,0,11,0,2,1,0,17,1,2,0,153,0,0,3701
abjerner_Skybrud.Social,3,2,0,0,1,0,0,1,2,0,3,2,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,4,3,0,13,1,0,0,7,0,2,4147
aBothe_D_Parser,22,11,0,4,6,5,1,4,19,0,31,16,95,0,4,46,4,176,11,0,4,5,9,11,0,9,55,219,102,6,265,43,0,6,462,0,59,42687
aBothe_D-IDE,3,3,0,0,8,0,0,6,8,0,24,11,28,0,6,5,0,19,0,0,0,0,1,0,0,5,18,50,30,0,90,7,0,30,343,0,9,18690
aBothe_Mono-D,8,10,0,0,9,1,1,6,11,0,64,10,38,3,2,4,0,26,0,0,0,0,4,0,4,3,8,64,14,2,211,10,14,9,743,0,20,17901
aca20031_hsbot,0,0,0,0,1,0,0,0,1,0,2,0,0,0,0,1,0,11,0,0,0,0,0,0,0,0,2,8,3,0,53,0,0,4,157,0,1,3068
acken_AutoTest.Net,2,7,0,6,16,0,0,20,36,2,113,19,27,1,12,25,0,87,6,0,4,4,20,14,1,24,19,96,17,0,321,15,0,7,2111,0,17,64148
acken_FSWatcher,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,6,0,0,1,22,0,0,697
acron0_AsanaNet,0,0,0,0,0,0,0,1,3,0,4,0,0,0,0,0,0,6,0,0,0,0,0,0,0,5,0,3,1,0,13,0,0,2,1,0,0,1813
ActiveForums_ActiveForums,1,2,0,2,1,2,0,17,19,2,60,83,22,0,22,20,0,23,2,0,0,0,0,13,1,2,41,145,179,0,1020,26,0,38,1220,3,43,39990
activescott_lessmsi,0,0,0,0,3,0,0,1,2,0,4,9,3,0,0,3,0,10,0,0,0,0,0,0,0,0,3,17,3,0,66,2,0,1,286,0,3,5161
adamabdelhamed_PowerArgs,1,2,0,3,2,0,0,9,44,0,57,9,11,5,4,10,0,67,5,0,7,1,7,1,5,38,0,42,30,9,252,11,0,7,322,0,0,29355
adammhaile_Elpis,0,2,0,0,7,0,0,3,25,0,41,17,23,1,7,20,0,15,0,0,0,0,8,0,0,0,4,39,11,1,62,14,0,16,796,2,12,26861
AdamsLair_winforms,0,0,0,0,3,2,0,0,6,0,11,2,1,0,1,15,0,43,0,0,0,0,1,5,0,1,8,56,20,0,297,18,2,2,1398,1,2,15693
adamyeager_PushbulletSharp,0,2,0,0,2,0,0,3,24,0,5,5,0,0,11,3,0,0,0,0,0,0,0,2,0,0,1,9,0,0,33,0,0,0,8,0,1,4760
AdaptiveConsulting_ReactGraph,1,2,1,1,2,0,0,2,21,0,41,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,6,6,0,20,2,0,0,10,0,1,3063
AdaTheDev_Ordnance-Survey-Code-Point-Data-Importer,0,0,0,0,0,0,0,0,4,0,3,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,4,1,16,0,0,0,102,0,0,967
AddictedCS_soundfingerprinting,0,5,0,0,7,0,0,2,8,0,19,0,0,0,4,0,0,0,0,0,0,0,2,0,0,1,0,4,19,1,60,1,0,0,196,0,1,30479
ademar_EppLib.NET,0,0,0,1,2,0,0,0,25,0,6,1,21,0,4,0,0,0,2,0,0,0,0,2,0,8,3,25,16,0,13,0,0,0,15,0,2,5118
AdmiralCurtiss_WfcPatcher,0,0,0,0,1,0,0,0,0,0,1,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,2,6,6,0,3,0,0,0,161,0,2,1399
adrianaisemberg_CLAP,0,1,0,1,2,0,0,1,14,0,35,1,1,0,5,5,0,5,1,0,0,0,2,0,0,2,0,6,27,0,38,0,0,0,9,0,0,4682
Adrotator_adrotatorv2,0,2,0,0,5,0,0,10,8,0,30,6,11,0,8,22,0,6,2,0,0,0,11,2,0,0,11,27,2,24,173,0,0,42,380,32,11,16026
aegif_CmisSync,12,18,1,7,22,8,0,56,133,2,34,192,112,8,30,48,0,50,12,0,4,6,32,86,20,18,10,136,199,21,600,11,6,36,1106,0,13,130709
aelij_ReSharperPlugins,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,107
aerospike_aerospike-client-csharp,0,0,0,2,1,0,0,18,8,3,3,62,30,0,6,25,1,65,2,0,0,1,4,17,0,3,10,50,103,0,183,8,2,6,1527,0,10,32488
Afr0_Project-Dollhouse,4,15,6,4,17,0,0,30,79,3,70,60,256,2,32,30,3,250,5,0,0,21,2,15,1,25,41,184,80,11,338,22,4,11,5855,5,114,107413
afrogeek_SharpNative,1,2,0,1,2,0,0,10,6,0,11,13,29,0,0,14,1,214,0,0,0,0,2,0,0,2,20,72,15,5,491,22,0,14,110,1,17,14141
agbell_attribute-based-caching,0,0,0,0,1,0,0,0,3,0,5,0,4,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,5,0,1,548
agileharbor_messageVault,0,4,0,0,7,1,0,1,8,0,21,4,16,0,6,0,0,4,0,0,0,0,2,0,0,2,3,19,21,0,16,0,0,0,265,0,1,6313
AgileWizard_agilewizard,0,0,0,0,3,1,0,0,6,0,22,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,8,0,0,0,11,0,0,1888
ahives_HareDu,0,1,0,0,3,0,0,0,22,0,25,6,0,0,10,0,0,0,2,0,0,0,0,3,0,0,0,0,4,0,56,0,0,0,0,0,0,2908
ajryan_RptToXml,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,4,0,0,15,0,0,1,2,0,0,892
ajryan_WinHaste,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,110
akavache_Akavache,0,0,0,3,1,0,0,0,24,0,51,10,2,0,1,14,0,16,0,0,0,0,3,0,0,2,1,14,56,0,132,6,0,4,457,0,2,14881
akilb_NGitHub,0,4,0,0,1,0,1,0,15,0,6,3,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,2,47,0,6,0,0,0,0,0,0,2210
akkadotnet_akka.net,0,1,1,0,4,0,0,0,20,0,19,0,4,0,1,0,0,0,0,0,0,0,1,0,5,0,1,1,0,0,32,0,0,0,120,0,0,3151
akshay2000_XBMCRemoteRT,0,6,0,0,15,1,0,2,34,0,99,34,6,0,20,4,0,0,0,0,0,0,0,0,1,6,0,19,0,0,100,3,1,14,204,0,6,14313
alanning_MongoProviders,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,10,5,0,30,1,0,0,4,0,2,2737
albertjan_PipeToCom,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,8,0,0,6,98,0,0,810
AlchemyAPI_alchemyapi_csharp,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,0,0,1,0,0,0,0,10,0,0,0,11,0,0,0,0,0,0,11,0,0,2205
Alex141_CalcBinding,0,0,0,0,1,0,0,4,3,0,16,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,1,6,2,0,6,0,0,0,3,0,0,2191
alexander-makarov_ExpandCollapsePanel,0,0,1,0,1,0,0,1,2,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,27,1,0,1,208,0,0,1754
AlexanderByndyu_ByndyuSoft.Infrastructure,0,0,0,0,1,0,0,0,1,0,14,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,16,0,0,0,0,0,0,287
alexandernyquist_Harvest,0,0,0,0,1,0,0,0,1,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,28,0,0,810
AlexCuse_RazorReport,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,22,0,0,485
alexdemers_csharp-resque,1,1,0,0,1,0,0,0,4,0,8,0,3,0,0,0,0,11,0,0,0,0,1,0,0,0,0,1,0,0,4,0,0,0,8,0,1,695
alexiscn_social_share,0,2,1,0,1,0,0,1,9,0,10,3,3,0,4,0,0,0,0,0,0,1,0,0,0,1,3,14,11,0,15,0,1,5,127,0,0,2322
AlexPoint_OpenNlp,2,8,0,3,7,3,1,10,3,2,29,74,15,3,10,40,1,95,2,0,5,6,21,12,7,15,25,140,46,5,254,38,14,3,4876,3,14,59737
alextsui05_VimAddin,0,0,0,0,0,0,0,0,0,0,10,11,0,0,0,3,0,14,0,0,0,0,0,0,0,0,5,19,3,0,25,8,1,0,64,1,20,4888
alisabzevari_ngval,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,3,0,0,0,0,0,0,64
Alkalinee_Hurricane,28,21,1,0,13,0,1,8,72,0,96,21,10,3,28,3,0,10,1,0,0,0,2,13,1,22,4,47,19,14,164,6,0,14,418,0,15,22217
amarmesic_windows-phone-navigation-drawer,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,38,0,1,570
AmbitEnergyLabs_Nano,2,1,0,0,2,0,0,1,6,0,24,0,30,0,5,6,0,13,0,0,0,0,3,0,0,1,1,9,8,6,73,5,0,11,24,0,1,7329
americommerce_ac-rest-api,0,0,0,0,0,0,0,0,6,0,9,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,4,0,0,437
amibar_SmartThreadPool,5,5,0,0,7,0,0,12,17,0,45,22,0,0,0,27,0,25,0,0,0,0,16,0,0,5,7,30,84,5,207,0,0,16,988,0,5,32688
AmirKarimi_Xoqal,0,0,0,0,1,0,0,0,6,0,11,13,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,11,0,0,946
amirrajan_Oak,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105
anagram4wander_VirtualizingObservableCollection,0,0,0,1,1,0,0,0,10,2,6,1,0,0,0,4,0,0,0,0,0,0,1,0,1,2,0,6,8,2,15,1,0,5,16,0,1,3421
AnalyticalGraphicsInc_czml-writer,0,1,0,1,0,0,0,4,2,2,5,12,0,0,3,93,0,21,2,0,0,0,1,29,0,0,2,16,30,4,246,3,0,0,346,0,2,49398
andanteyk_ElectronicObserver,27,11,1,1,9,15,1,21,13,1,14,41,7,2,7,38,0,39,6,0,0,0,3,6,0,17,65,181,31,16,1246,39,2,20,11486,1,66,64337
AndersMalmgren_FreePIE,0,0,0,0,1,0,0,0,5,0,7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,152
AndersMalmgren_SignalR.EventAggregatorProxy,0,0,1,0,0,0,0,0,5,0,16,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,0,0,0,0,0,0,893
andreazevedo_petstore-ddd-csharp,0,2,0,0,1,0,0,0,12,0,21,2,0,0,8,0,0,1,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,1,2,0,0,2813
AndresTraks_BulletSharp,0,0,0,0,1,0,0,6,16,0,10,2,27,0,1,2,0,19,1,0,0,0,2,0,0,4,8,35,14,1,100,2,1,2,1067,0,3,28672
andrewconnell_SPOAuthFiddlerExt,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,1,0,0,0,81,0,0,759
andrewdavey_cassette,2,4,1,1,13,0,0,9,18,0,45,7,2,0,5,10,1,26,3,0,0,0,13,3,0,9,2,25,21,10,190,8,0,7,407,0,7,19048
andrewdavey_postal,0,0,0,0,4,0,0,4,1,0,18,0,8,0,0,0,0,28,0,0,0,0,0,0,0,1,0,8,0,0,24,0,0,0,4,0,0,4278
AndreyAkinshin_InteropDotNet,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,21,0,0,0,6,0,0,683
AndreyNikiforov_vault2git,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,6,0,0,0,3,0,0,673
andyedinborough_aenetmail,1,1,0,0,1,0,0,0,2,0,2,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,14,7,0,12,1,1,2,110,0,1,2857
andyfmiller_LtiLibrary,0,4,0,0,6,0,0,1,35,0,33,6,2,0,14,0,0,1,1,0,0,0,1,0,1,1,1,4,11,0,86,1,0,0,5,0,3,7706
andykorth_opentk,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,0,0,199
AnguisCaptor_SecureSocketProtocol,36,12,0,2,8,4,1,4,7,0,31,53,22,1,2,23,0,22,2,0,0,3,12,13,0,7,24,118,96,0,181,10,1,8,4576,0,20,34884
Anime4000_IFME,0,0,0,0,0,0,0,2,10,0,4,1,20,0,11,2,0,0,0,0,0,0,0,0,0,0,1,8,0,0,64,0,0,1,497,0,0,3515
Anna-Rx_Anna,1,1,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,5,0,0,1,7,0,0,516
AnthonyCarl_ServiceStack.PartialResponse,0,0,0,0,1,0,0,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,10,0,0,0,0,0,0,500
antmicro_Migrant,6,2,0,0,3,0,0,1,7,0,17,43,0,0,0,8,0,8,0,0,0,2,1,0,3,0,4,24,26,12,81,1,0,0,47,0,7,6812
anurse_MicroRazorHost,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,2,0,1,0,1,0,0,318
anycmd_anycmd,3,5,2,5,20,3,0,28,208,0,100,64,2,0,15,12,0,45,18,0,3,2,33,74,6,180,44,135,80,0,285,10,29,0,667,0,31,51654
apache_lucenenet,7,33,0,13,53,25,1,87,55,0,172,1240,35,48,12,134,2,265,22,0,10,41,111,525,6,69,148,800,541,5,1245,163,294,98,23061,11,215,375874
apetrovskiy_STUPS,30,30,0,21,34,2,0,30,280,5,396,47,38,8,88,88,5,139,53,0,0,31,57,22,5,54,96,259,89,8,1881,48,9,578,1817,9,46,149017
aphistic_libnbt,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,3,1,0,0,0,0,2,0,0,0,4,0,0,1,0,0,0,14,0,1,1436
Apokee_Ketchup,0,0,0,0,1,0,0,0,1,0,11,1,0,0,1,3,0,1,0,0,0,0,2,4,0,0,2,22,0,1,28,1,0,0,324,0,14,6028
appfirst_statsd_clients,0,0,0,0,0,0,0,0,1,0,4,0,3,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,4,0,3,0,0,1,5,0,0,446
appharbor_appharbor-cli,0,0,1,1,2,0,0,0,3,0,11,0,2,0,0,0,0,0,1,0,0,0,0,0,0,2,0,1,0,0,21,0,0,6,20,0,0,1567
appharbor_AppHarbor.Web.Security,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,1,0,0,0,2,0,0,0,0,0,2,1,0,3,0,0,1,10,0,0,624
appium_appium-dotnet-driver,0,2,0,0,5,1,0,1,14,0,26,1,0,1,11,6,0,1,1,0,2,0,14,0,0,2,0,2,11,0,17,1,0,1,6,0,0,6648
arashnorouzi_Moon-APNS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,2,1,0,0,85,0,0,514
ArcEarth_LightNovelClientWindows,7,6,4,6,14,2,0,9,162,5,296,113,20,0,90,32,0,24,12,0,0,0,2,0,2,180,6,63,12,0,196,10,0,35,445,0,4,44591
ArcticEcho_Phamhilator,0,0,0,0,1,0,0,1,2,0,10,12,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,4,0,26,2,0,2,68,0,1,2367
aritchie_acr-xamarin-forms,0,0,0,0,1,0,0,0,2,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,4,0,2,558
ArmenAg_Improvisation,0,2,0,0,3,0,0,0,7,0,23,1,9,0,0,0,0,0,0,0,0,0,2,0,0,0,3,6,2,0,79,0,0,0,418,0,8,5095
ArxOne_MrAdvice,3,8,0,0,8,0,0,8,32,0,69,3,5,0,1,7,0,15,0,0,0,1,8,6,0,3,0,21,58,2,209,1,0,4,19,0,1,14679
ashmind_net-feature-tests,0,2,0,0,8,0,0,2,21,0,36,0,0,0,3,3,0,2,1,0,0,0,15,0,0,0,0,3,4,0,81,0,0,3,12,0,0,7467
asik_FixedMath.Net,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,45,0,0,412438
aspnet_DNX,0,0,0,0,0,0,0,0,5,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22
aspnet_XRE,0,0,0,0,0,0,0,0,5,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22
aspnetwebstack_aspnetwebstack,23,38,1,6,34,12,1,52,73,6,196,44,1,6,18,51,0,132,10,0,4,6,15,29,6,28,14,196,369,24,1699,31,5,43,440,0,54,117487
asposecells_Aspose_Cells_NET,1,5,3,1,41,0,0,10,33,1,671,157,13,0,2,5,0,8,0,0,0,0,1,1,0,0,23,50,26,1,781,0,0,15,4340,0,12,51150
asposewords_Aspose_Words_NET,1,1,0,4,16,0,0,15,30,0,330,27,12,0,6,18,0,5,2,0,0,0,1,2,0,89,14,53,11,0,489,6,0,15,1343,3,12,40252
Astn_JSON-RPC.NET,0,0,0,0,0,0,0,0,0,0,7,0,2,0,2,0,0,5,0,0,0,0,0,0,0,0,1,3,1,1,17,1,0,2,34,0,0,1527
Athari_CsCss,1,2,0,1,2,0,0,2,5,0,14,5,7,0,3,5,0,9,0,0,0,0,0,0,0,0,17,100,20,1,81,32,0,0,387,4,7,25487
Athari_XnaConvert,0,0,0,0,1,0,0,0,2,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,523
atheken_NoRM,2,8,0,2,5,1,1,5,32,0,20,3,0,1,4,5,0,2,2,0,0,0,2,1,1,21,1,18,13,1,46,2,0,1,156,0,9,12732
atnet_devfw,7,13,0,0,17,2,0,10,42,1,133,51,76,0,13,12,0,16,0,0,2,0,16,11,0,4,8,104,65,0,384,24,0,14,977,0,19,94978
atsushieno_mono-reactive,0,11,0,0,19,0,0,0,37,0,191,5,0,0,0,41,0,26,4,0,2,0,18,6,0,0,28,28,144,0,1172,520,0,0,858,0,12,46849
AttackPattern_CSharpAnalytics,0,4,0,0,8,0,0,7,10,0,43,7,0,16,12,0,0,5,0,0,0,0,0,1,0,34,0,20,31,0,78,7,0,9,106,0,5,16506
AustinWise_m2net,0,0,0,0,2,0,0,2,0,0,4,1,3,0,0,3,0,6,0,0,0,0,0,0,0,0,0,6,5,0,12,0,0,6,47,0,2,2082
AutoFixture_AutoFixture,0,2,0,3,7,0,0,22,3,0,52,12,0,0,0,5,0,19,6,0,0,0,4,14,2,2,1,23,2,5,200,7,0,0,239,0,4,29382
AutoMapper_AutoMapper,0,0,0,1,2,0,0,0,33,0,55,9,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,21,0,0,1,114,0,0,3178
AutomatedArchitecture_SirenOfShame,24,17,4,2,8,1,0,16,72,2,30,19,29,0,11,16,1,40,6,0,0,0,10,0,0,0,45,46,36,59,906,5,3,7,5087,0,22,41827
avatar29A_MusicBrainz,4,2,0,0,3,0,0,0,56,0,8,2,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,3,22,0,6,0,0,0,1,0,0,3203
AvengerDr_Odyssey,0,0,0,0,0,0,0,0,3,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7,0,0,8,0,0,1,24,0,1,1362
AvilanceLtd_StarryboundServer,3,4,0,1,1,4,1,5,0,0,7,3,18,0,0,2,0,33,1,0,0,0,2,4,0,0,5,20,7,0,80,5,0,15,671,0,4,6082
awhatley_jquery-tmpl.net,1,1,0,0,0,0,0,2,0,0,1,0,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,6,1,0,0,0,0,1,707
ayende_rhino-etl,1,3,0,0,1,0,0,2,2,0,31,0,3,0,0,1,0,1,0,0,0,0,2,0,0,12,0,10,2,0,37,0,0,0,10,0,0,6038
ayende_rhino-licensing,0,3,0,0,2,2,0,2,14,0,27,0,0,0,2,0,0,0,0,0,0,1,0,0,0,1,0,3,3,1,18,0,0,3,32,0,1,2750
ayende_XmcdParser,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0,0,0,51,0,0,400
Azure_Azure-Media-Services-Explorer,0,0,0,1,0,0,0,12,37,1,14,160,89,0,23,25,0,120,0,0,0,0,0,0,0,0,111,129,64,16,2326,25,0,52,1442,1,15,77402
Azure_azure-mobile-services,2,2,0,2,6,0,0,9,15,0,49,5,5,3,17,13,0,61,0,0,0,0,5,1,0,7,0,33,35,1,231,10,0,5,32,0,8,21898
Azure_azure-mobile-services-resourcebroker,0,0,0,0,0,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,1,3,0,7,0,0,0,3,0,0,934
