Project,Unnecessary Abstraction,Imperative Abstraction,Multifaceted Abstraction,Unutilized Abstraction,Duplicate Abstraction,Deficient Encapsulation,Unexloited Encapsulation,Broken Modularization,Insufficient Modularization,Hub-like Modularization,Cyclically-dependent Modularization,Wide Hierarchy,Deep Hierarchy,Multipath Hierarchy,Cyclic Hierarchy,Rebellious Hierarchy,Unfactored Hierarchy,Missing Hierarchy,Broken Hierarchy
aftabahmedsajid_XenCenter-Complete-dependencies-,164,15,42,110,174,191,3,174,63,1,187,7,0,0,5,12,15,29,28
agbell_attribute-based-caching,3,0,0,5,0,4,0,1,0,0,0,0,0,0,0,1,0,0,0
AgileCommunityInTaiwan_20140819Dojo,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
agray_eStoreAdmin,167,5,9,74,157,1,0,128,20,0,1,3,0,0,2,1,11,0,11
agray_ScottyFoundOut,5,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
agross_RxTimout,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
agungsetiawan_Elshanum-Kasir,8,0,0,6,4,0,0,7,0,0,0,0,0,0,0,0,0,0,0
agushuley_kmhl,1,7,0,7,9,0,0,0,1,0,34,0,0,0,1,12,6,0,22
agusk_crud-mysql-cs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
agustinsantos_CuckooFilter,0,1,2,12,4,3,0,0,0,0,0,0,0,0,0,2,2,0,0
Ahimoth_MicroCash-Thin-Client,8,1,0,5,0,6,0,2,1,0,0,0,0,0,0,0,0,0,0
ahmad-amiri_PRO-IMU,2,0,1,3,0,3,0,1,0,0,0,0,0,0,0,0,0,0,1
ahmadosama_SQLCDCApp,2,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
ahrenstein_SecurePassGenLite,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
ahzf_ExifLibrary,0,2,1,7,1,2,0,0,4,0,3,1,0,0,2,0,0,0,1
aidangarnish_65hours,6,0,0,19,0,0,0,1,0,0,0,0,0,0,0,1,0,0,4
AirVPN_hash-calculator,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ajaxx_XLR8.CGLib,0,2,1,3,1,0,0,0,0,0,7,0,0,0,0,0,0,0,0
ajlopez_AjSharp,10,0,4,7,2,0,18,0,4,0,24,5,0,0,2,14,2,8,8
ajmal744_Auditing,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AK1986_Torch,3,3,0,1,0,0,0,1,0,0,0,1,0,0,0,2,2,0,0
akitching_QuotaNotify,0,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
akurdyukov_NCrash,5,2,2,6,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0
akurdyukov_pdbtasks,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
akutruff_Couchbase.Net,0,1,2,3,0,4,0,1,2,0,3,2,0,0,0,0,1,0,3
ALabrada_FakeChmCreator,3,0,0,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
AlannaMuir_open-hardware-monitor,47,25,22,92,34,31,1,34,13,0,67,1,0,3,13,30,24,0,17
alanrushforth_Add-802.11-to-Packt.Net,1,18,1,21,35,7,12,0,4,0,47,4,0,0,8,0,26,0,14
AlbertoLeon_CSharpMan.Collections,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
albertoruibal_carballo_cs,25,7,13,43,15,15,0,2,27,0,34,0,0,0,1,3,8,0,8
alcexhim_Glue,5,1,0,6,1,0,0,4,0,0,3,0,0,0,0,0,0,0,0
alejtech_Xing.NET,1,0,0,2,1,0,0,0,3,0,0,0,0,0,0,0,0,0,1
AlekseyZhelo_gromov-colony,2,0,1,0,0,9,0,0,0,0,3,0,0,0,0,0,0,0,0
alexandernyquist_RedisService,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AlexaProjects_Alexa,0,1,0,0,38,6,0,0,2,0,5,0,0,0,0,0,0,0,0
alexBraidwood_fridaychallenges,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
alexdemers_csharp-resque,4,0,1,4,0,3,0,0,0,0,14,0,0,0,0,1,0,0,0
AlexMerle_read-reco,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Alexx-G_musicDownloader,10,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AlfredYang1986_EleniGeorge,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
algz_WeightCenterDesignAndEstimate,3,6,10,8,85,21,0,14,25,0,68,0,0,0,0,0,0,0,0
alinaish_Lastfm,3,0,1,4,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1
alinddicu_Game.of.Life,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alkalinee_FilmManager,5,1,1,18,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
AllGram_vebba_verkefni,9,0,0,5,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
Allockse_SharpPlant,1,0,2,8,0,0,0,3,3,0,18,0,0,0,0,1,0,0,1
Amichai_CustomData,2,2,0,4,0,1,0,3,0,0,0,0,0,0,0,1,0,0,0
amido_Amido.Azure.Storage.TableStorage,0,0,0,5,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
AmirIKM_GamiAsService,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AnCh7_WealthLabDataConverter,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
AncientKemet_UnityProject,66,16,56,174,44,318,14,14,60,0,230,6,0,0,6,32,0,0,24
andibadra_ANDT,21,15,28,35,42,47,2,7,29,1,145,0,0,0,8,14,10,0,4
andrea4296_GameOfLife,1,0,0,0,0,6,0,1,0,0,1,0,0,0,0,0,0,0,4
andreasjacobsen93_XamarinThirdpartySamples,122,34,19,333,43,20,4,7,58,1,84,3,0,0,15,34,28,0,20
andreazevedo_JsonConfig,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
andreipopescu_DependencyGraph,28,11,10,24,40,100,1,7,25,1,88,1,0,0,3,3,31,0,4
andressbarajas_Integral,6,3,0,7,18,0,0,5,0,0,11,0,0,0,7,3,1,0,0
andrew-codechimp_CommandFortunes,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
AndrewWhitaker_sql-formatter,1,0,0,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0
andrey-ko_cool-ctrl,1,0,0,3,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0
AndreyAkinshin_CultureInfoExplorer,2,1,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
andreymir_DeployReports,28,0,1,0,14,0,0,33,3,0,0,0,0,0,0,0,0,0,0
andy123456789088_UiDesigner,1,0,1,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0
AndyTather_panda-video-converter,3,0,3,2,20,7,0,3,6,0,0,1,0,0,0,0,0,0,0
andythecoderman_BetterCloud_Exercise,1,0,0,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
angelcolmenares_Aicl.DbToSS,1,11,1,2,12,2,0,0,0,0,0,0,0,0,0,0,0,0,1
AngeloG_ClipUpload,3,4,18,10,9,19,0,0,3,0,29,0,0,0,0,1,1,1,9
angelovescio_HistoryNav,39,0,3,75,0,66,0,21,5,0,1,0,0,0,0,0,0,0,0
AngularAgility_AngularAgility.NET,19,0,0,37,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
anjing_protobuf-net,7,2,5,12,2,2,0,4,16,0,103,1,0,0,2,3,0,0,2
Anonsubmission_DSV,0,57,0,192,45,8,2,17,46,0,0,11,0,9,5,17,32,10,35
antgit_Prison,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
antgraf_gnomorialauncher,1,2,3,4,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0
anthem001_UIKitDemo,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AnthonyCarl_MatasanoCryptoChallenges,2,0,1,5,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
antmicro_GgiSharp,0,0,1,1,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0
antonydenyer_chirpy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
antonydenyer_NTimeAgo,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
anurse_MicroRazorHost,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AOT-DEP-PADI_ChromeLauncher,2,1,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0
apavelm_YetAnotherPlanPhi,0,0,0,11,0,0,0,5,0,0,2,0,0,0,0,0,0,0,0
ApocalypticOctopus_ReactiveAfterthought,289,28,28,226,311,7,2,103,69,4,393,8,23,52,5,30,7,0,25
appccelerate_NugetPackagesTest,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
appsfire_Appsfire-Android-Unity-plugin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
aprajapati_WPToReader,2,1,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
aprice_mathutils,0,0,0,8,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0
AqD_ClevoECView,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
aquaseal_simv.info,3,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
aquiladev_Coding4Fun.VisualStudioSync,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
aquiladev_zero.api,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arakh_TopApps,9,0,0,13,0,0,0,4,0,0,0,1,0,0,0,0,0,0,12
arashnorouzi_Moon-APNS,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arcanz_DS3500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
arevikh_MacGym,1,0,1,5,11,0,0,0,1,0,12,0,0,0,0,0,0,0,3
ariel1974_iTestOutlookAddIn,19,16,9,9,41,3,0,8,9,0,26,0,0,0,0,0,0,0,0
Arkitektum_GIS.Lib.SerializeUtil,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
arnaldoccn_elemental-rush,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ArslanBilal_Process-Scheduling-Algorithms,18,1,0,36,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
artgo_CefSharp,57,0,8,58,1,33,0,22,2,0,22,0,0,0,0,0,0,0,4
ArthasZRZ_Coke-Tower-Part-time-Work,4,0,1,8,5,22,0,0,1,0,9,0,0,0,0,0,0,0,0
artl93_tincan,2,0,2,7,0,6,0,1,0,0,0,0,0,1,0,1,0,0,0
ArtyrKorop_WalletInspector2,3,0,0,5,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0
ArusSoft_dotNet-Application-WinTerminal,1,0,0,2,1,3,0,2,2,0,0,0,0,0,0,0,0,0,0
ashmind_FluentConsole,5,0,0,8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Ashna_Shayan-Dental,16,38,21,23,102,1,0,5,15,1,2,0,0,0,0,0,0,1,0
ashokkn_QBSilk4NetWhiteFramework,1,0,0,16,18,21,0,8,10,0,0,0,0,0,0,1,0,0,0
ashutoshraina_Showdown,5,0,0,11,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
asiemer_IntroToCQRS,3,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
asikaria_SourceIP,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
asik_Settlers-2-Remake,6,4,0,5,0,23,0,0,0,0,10,0,0,0,0,0,0,0,0
Asky314159_jrayfm-controlboard,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Asky314159_wordslide,3,4,2,1,8,3,0,0,3,0,1,0,0,0,0,0,0,0,1
asparrowhawk_LoggingWithCastleWindsor,17,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AstroDigitalVideo_ADVLib,5,0,1,8,3,15,0,4,4,0,1,0,0,0,0,0,0,0,0
AtricoSoftware_Atrico.Lib.Assertions,8,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
atsoftware_ps2pdf,2,1,0,1,0,3,0,2,0,0,1,0,0,0,0,0,0,0,0
austhomp_TranslationExamples,5,1,0,4,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
avadev_AvaTax-Calc-DirectSOAP-csharp,15,2,1,0,43,0,0,24,2,0,0,1,0,0,0,0,0,0,0
aventum-solutions_iban-api-net,1,0,0,3,7,0,0,0,0,0,0,0,0,0,0,2,2,0,0
avilay_dynamic_proxy,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
avogab_dooHTM,5,1,3,1,1,0,0,1,2,0,20,0,0,0,0,2,0,0,1
Avtomati_ExcelImporter,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
awaisathar_EightQueensDemo,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
AwkwardDev_StrawberryTools,8,4,1,20,4,32,0,4,3,0,4,0,0,0,0,0,3,1,0
AYLIEN_aylien_textapi_csharp,12,0,0,16,1,0,0,5,0,0,0,1,0,0,0,0,1,0,0
AyrA_BinSend,6,0,1,3,0,10,0,0,0,0,16,0,0,0,0,0,0,0,0
AyrA_BitMarket,6,2,0,0,3,11,0,0,1,0,15,0,0,0,0,0,0,0,0
AyrA_ProcessKiller,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
azavea_net-omgeo-reprojection,0,0,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AzureADSamples_NativeClient-Headless-DotNet,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AzureADSamples_NativeClient-WindowsPhone8.1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Azure_azure-sdk-for-dotnet-samples,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
b95678_ss,0,0,0,25,56,0,0,12,17,0,0,0,0,0,0,2,0,0,0
b9chris_LibJpeg.Net,4,1,8,2,6,4,0,5,8,1,92,0,0,0,1,3,3,0,2
babb517_Robotic-Arm-Controller,3,1,1,28,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
back37_MTK-FirmwareAdapter-Tool,1,2,3,1,7,4,0,0,3,0,1,0,0,0,0,0,0,0,0
Backman_Dreamhackathon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bacnam7287_Lina.AnCo.WindowsPhone,1,0,0,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Badreddine-DLAILA_Yammer-OAuth-SDK,4,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bambit_BGallery,21,16,16,32,11,4,1,21,19,2,172,2,0,0,2,5,23,3,21
bambit_EPPlus,57,23,15,29,38,3,1,3,23,2,340,4,0,0,14,1,9,0,15
Banane9_SharpQuadTrees,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
bandwidthcom_csharp-bandwidth-examples,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bankova_HighQualityCode,3,1,2,26,36,4,0,1,25,0,1,0,0,0,0,4,21,0,0
Barabicus_RTSCameraProject,8,12,18,45,0,100,0,10,8,0,26,0,0,0,0,0,0,0,6
barometz_Sampler,3,1,1,1,1,3,0,1,4,0,0,0,0,0,0,0,0,0,0
baronem_concise-sharp,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bberak_SqlBulkCopyExample,3,0,0,3,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0
bbvch_sensorlegacy,5,0,1,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1
bbyars_RestMvc,0,0,0,5,0,0,0,0,2,0,0,0,0,0,4,0,0,0,5
bchristie_BundleBuilder.UrlResolver,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bcostea_spectral-spring,3,0,0,5,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1
bdb-opensource_SyntaxBox,23,5,20,27,28,56,0,16,20,0,55,0,0,0,0,3,1,0,0
bedefaced_5tweaker,13,2,2,13,1,13,0,4,5,0,2,0,0,0,0,7,0,0,6
bedefaced_sipdotnet,0,0,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
beginor_owin-samples,2,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
bendyline_Tooler,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BenGGolden_Sitecore.Mvc.Areas,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
benharrison_tIMS,0,3,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
benitazz_ReportSource,5,2,3,17,11,0,0,3,3,0,1,0,0,0,0,1,3,0,0
benlakey_press_sharp,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
benneeh_wScreenshot,37,4,2,87,13,6,0,3,1,0,3,0,0,0,0,2,0,0,0
benoit74_nzy3d-api,7,1,10,25,123,52,0,10,16,0,26,0,0,6,0,6,6,0,5
berniegao_projects,27,45,20,47,177,2,1,3,24,0,6,1,0,1,0,5,35,3,3
bernoulli-metrics_bernoulli-sharp,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bestlion_tpscabinet,0,0,1,1,0,6,0,0,0,0,1,0,0,0,0,0,0,0,0
betselection_betsoftware-framework,0,0,2,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Beyonders_Beyond-Beyaan,4,1,5,0,6,17,0,1,13,0,98,1,0,0,0,4,1,0,1
beyondtheline_MarysGun,0,2,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bgoodearl_MVC5NgDemo_ADFS,1,0,0,3,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
bgrebil_WebApi.Formatting.JsonMask,0,1,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
bgripka_AppConfig,4,0,0,26,0,1,0,1,0,0,0,0,0,0,0,1,0,0,5
bi-tm_openABAP,3,0,2,3,0,20,0,1,4,0,2,0,0,0,0,0,0,0,1
biagio90_Lab1Final,0,0,2,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
biagio90_Lab2,0,0,2,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BietteMaxime_SftpChecker,7,0,0,6,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2
BigBearGCU_SniffingItOut,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bing-ads-sdk_BingAds-dotNet-SDK,78,21,4,202,390,383,2,68,20,0,29,2,0,0,0,2,51,0,4
biofractal_Patch-Runner,0,0,0,6,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
biohazard999_Xpand.ExpressApp.Win.Para.WindowsIntegration,15,0,0,12,2,2,1,3,0,0,2,0,0,0,0,1,0,0,0
bitmarker_TCPlayer,9,0,4,2,23,0,0,1,6,0,3,0,0,0,0,0,2,0,0
bittercoder_BitbucketComments,17,0,0,5,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0
bizzehdee_System.Drawing.PSD,0,0,0,1,5,1,0,0,0,0,1,0,0,0,0,0,0,0,1
bjango_iStat-Server-for-Windows,6,1,3,2,1,12,0,3,5,0,8,0,0,0,0,1,0,0,1
bkcandra_Cognate,4,0,0,15,0,2,0,9,0,0,2,0,0,0,0,1,0,0,0
bkloppenborg_ssp4-control-software,1,1,1,2,0,1,0,0,2,0,3,0,0,0,0,0,0,0,0
bl0rq_ExampleCode,14,0,1,67,4,0,0,0,1,0,5,2,0,0,0,0,0,0,6
bl1nkr_ninjr,0,1,0,9,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0
BlackBerets_Circular,4,0,0,2,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
BladeCarrier_GraveRobot,6,1,4,1,0,39,0,4,1,0,20,0,0,0,0,3,9,0,0
Blecki_conv-compiler,0,1,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0
Blecki_Passages,0,1,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0
blesh_ALE,2,0,0,8,0,7,0,1,0,0,3,0,0,0,0,0,0,0,2
Blind-Striker_supremefiction,9,0,4,4,3,1,0,3,2,0,6,0,0,0,0,1,0,0,0
blindrenderer_YouThumb,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Blizarre_FractalExplorer,2,1,1,1,1,3,0,2,0,0,0,0,0,0,0,0,0,0,0
Blizzardo1_BlizzetaZero,1,0,1,4,4,6,0,1,4,0,16,0,0,0,0,0,0,0,0
blocvox_graymatter,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
blrchen_azure-restful-dotnet-api,34,0,0,56,1,0,0,29,0,0,0,2,0,0,0,3,0,0,7
BlueMountainCapital_riemann-health-windows,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bluexray_Left4Framework,16,2,3,65,26,15,0,4,10,0,6,0,0,3,0,10,2,0,1
Blumster_TNL.NET,5,0,6,1,4,6,0,2,13,0,24,0,0,0,0,0,0,0,8
BlythMeister_BingImageDowload,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
bob2000_test,3,0,0,6,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
bobhy_WPLogging,2,0,1,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
bobpace_Quartz,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bomret_LiveMarkdownPreview,2,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bomret_Sourcery,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bongiozzo_sharedgoals,4,0,0,13,0,0,0,2,0,0,1,0,0,0,0,1,0,0,0
borfudin_svmnet,3,2,1,7,6,3,0,0,3,0,1,0,0,0,0,1,0,0,0
borfudin_visionnet,2,10,4,36,52,7,0,2,11,0,23,2,0,0,10,6,45,0,9
boriphuth_Onion-Arch,4,0,0,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
BostonSymphOrch_HENRY-archives,3,25,26,17,37,3,0,3,7,0,0,0,0,0,0,0,0,0,0
boswald008_DinosaursGame,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BoutemineOualid_WfdbCsharpWrapper,0,0,1,4,12,0,0,0,2,0,19,0,0,0,0,0,0,0,0
BowenZhuang_MyoProject,4,0,7,2,9,6,0,0,1,0,1,0,0,0,0,0,0,0,0
box_box-windows-metadata-sdk-v2,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
boynux_Sympathy,7,0,1,10,0,1,0,0,0,0,0,0,0,0,0,3,0,2,0
brad-ross-35_jfl,0,2,1,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,4
bradurani_coverpage,4,0,0,6,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0
BrainCrumbz_NAudio-WavToWma,2,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
brandon75f_PrintHost,2,7,23,10,33,92,0,0,34,1,232,0,0,0,0,1,3,0,1
BredStik_DistributedMediator,7,0,0,10,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
