Project,No of Types,NOF,NOM,NOP,NOPF,NOPM,LOC,WMC,NC,DIT,LCOM,FAN-OUT,FAN-IN
Afr0_Simslib,89,424,193,134,161,128,7968,876,12,12,17.41,123,123
aftabahmedsajid_XenCenter-Complete-dependencies-,1180,4105,6913,11852,1267,3450,175187,12524,401,715,193.85,3101,3101
agbell_attribute-based-caching,14,18,30,10,5,22,505,54,5,5,1.25,5,5
AgileCommunityInTaiwan_20140819Dojo,2,0,3,0,0,2,19,3,0,0,0,1,1
agray_eStoreAdmin,546,1804,1298,1827,37,901,42511,2532,171,181,69.71,744,744
agray_ScottyFoundOut,7,1,7,8,1,7,113,22,3,3,0.4,3,3
agross_RxTimout,13,15,34,6,0,22,340,36,0,0,2.58,18,18
agungsetiawan_Elshanum-Kasir,29,33,87,64,6,83,1697,123,0,0,1.66,35,35
agushuley_kmhl,107,158,504,134,4,255,6725,934,62,85,41.56,262,262
agusk_crud-mysql-cs,2,1,8,0,0,7,159,16,0,0,0,1,1
agustinsantos_CuckooFilter,26,50,128,4,8,94,2079,332,13,18,7.57,17,17
Ahimoth_MicroCash-Thin-Client,30,97,123,64,20,72,2706,297,0,0,7.32,29,29
ahmad-amiri_PRO-IMU,15,57,105,33,10,59,1837,186,1,1,6.07,12,12
ahmadosama_SQLCDCApp,10,9,51,20,0,18,1248,210,1,1,0.88,15,15
ahrenstein_SecurePassGenLite,8,11,15,3,7,4,355,32,0,0,0.62,6,6
ahzf_ExifLibrary,96,51,236,119,8,214,6424,469,29,32,5.02,165,165
aidangarnish_65hours,27,5,53,33,0,35,516,58,14,14,1.17,12,12
AirVPN_hash-calculator,4,3,19,6,0,5,221,31,0,0,0,1,1
ajaxx_XLR8.CGLib,11,41,55,21,0,33,1200,133,3,3,4.08,11,11
ajlopez_AjSharp,237,364,909,300,2,639,10250,1835,173,173,90.7,744,744
ajmal744_Auditing,20,13,28,19,0,21,308,34,8,8,3.44,23,23
AK1986_Torch,34,52,57,37,7,45,1216,200,20,21,5.09,58,58
akitching_QuotaNotify,4,17,18,9,1,8,398,50,0,0,3.01,4,4
akurdyukov_NCrash,51,64,164,104,7,77,3514,399,15,15,5.84,89,89
akurdyukov_pdbtasks,11,17,42,18,0,21,718,110,3,3,1.83,17,17
akutruff_Couchbase.Net,63,141,293,42,43,189,3622,599,31,26,11.48,108,108
ALabrada_FakeChmCreator,16,19,56,35,0,34,1068,93,10,8,3.93,16,16
AlannaMuir_open-hardware-monitor,493,1394,2056,1419,370,1141,55964,6565,211,254,127.62,1348,1348
alanrushforth_Add-802.11-to-Packt.Net,171,316,584,509,208,489,19637,1259,96,116,31.05,325,325
AlbertoLeon_CSharpMan.Collections,2,6,6,0,0,4,95,8,0,0,0.86,1,1
albertoruibal_carballo_cs,140,698,986,35,284,858,24926,2280,38,40,33.31,212,212
alcexhim_Glue,19,52,47,47,0,30,1321,131,0,0,4.75,25,25
alejtech_Xing.NET,7,6,85,13,4,68,1727,155,2,3,0.6,4,4
AlekseyZhelo_gromov-colony,16,74,76,9,21,56,1025,193,1,1,6.14,26,26
alexandernyquist_RedisService,2,3,5,0,0,4,69,9,0,0,0.5,1,1
AlexaProjects_Alexa,9,94,58,30,4,19,5767,652,0,0,0,21,21
alexBraidwood_fridaychallenges,5,1,15,3,0,10,202,31,1,1,1,2,2
alexdemers_csharp-resque,16,20,63,12,8,57,670,141,2,2,3.46,23,23
AlexMerle_read-reco,16,8,64,36,0,49,884,169,2,2,1.8,35,35
Alexx-G_musicDownloader,22,39,59,27,0,11,1309,129,6,6,3.86,47,47
AlfredYang1986_EleniGeorge,2,4,15,0,1,10,231,34,0,0,0,1,1
algz_WeightCenterDesignAndEstimate,95,293,1031,183,39,385,27339,4039,13,5,27.91,304,760
alinaish_Lastfm,15,33,56,24,1,23,1035,94,2,2,3.11,13,13
alinddicu_Game.of.Life,4,2,16,5,0,11,187,36,0,0,0.5,5,5
Alkalinee_FilmManager,36,93,94,108,7,69,2299,247,8,8,9.31,29,29
AllGram_vebba_verkefni,20,13,31,40,0,19,542,39,3,3,1.51,21,21
Allockse_SharpPlant,28,109,194,123,48,132,4462,445,5,5,9.97,68,68
Amichai_CustomData,17,22,39,75,1,15,909,78,0,0,3.91,25,25
amido_Amido.Azure.Storage.TableStorage,18,5,98,12,0,66,982,114,6,4,1.41,17,17
AmirIKM_GamiAsService,0,0,0,0,0,0,0,0,0,0,0,0,0
AnCh7_WealthLabDataConverter,26,15,80,24,0,42,1184,201,13,13,2.56,34,34
AncientKemet_UnityProject,652,2280,3412,632,1218,2436,66972,10604,256,282,244.3,1310,1310
andibadra_ANDT,324,1154,2432,979,233,1364,57999,7606,89,99,116.36,650,650
andrea4296_GameOfLife,12,20,30,16,11,20,434,53,4,6,2.73,16,16
andreasjacobsen93_XamarinThirdpartySamples,1046,1724,4782,1909,830,3404,112646,9588,282,332,189.17,3260,3330
andreazevedo_JsonConfig,8,7,28,2,0,12,362,69,1,1,1.5,6,6
andreipopescu_DependencyGraph,224,826,1400,404,356,1065,30915,4016,51,54,62.74,940,940
andressbarajas_Integral,72,129,372,70,59,167,5846,680,25,32,18.61,193,193
andrew-codechimp_CommandFortunes,2,0,1,5,0,0,36,2,0,0,0,1,1
AndrewWhitaker_sql-formatter,5,15,8,2,5,5,999,74,0,0,0,5,5
andrey-ko_cool-ctrl,10,25,18,4,18,10,316,34,1,1,2.5,8,8
AndreyAkinshin_CultureInfoExplorer,16,3,35,22,0,21,606,83,0,0,0,18,18
andreymir_DeployReports,147,466,563,386,0,359,9844,825,15,15,1,156,156
andy123456789088_UiDesigner,8,22,50,5,2,15,1202,257,0,0,1.39,5,5
AndyTather_panda-video-converter,39,88,205,292,23,86,6140,704,18,18,5.08,29,29
andythecoderman_BetterCloud_Exercise,9,38,32,18,3,17,587,72,4,4,1.1,8,8
angelcolmenares_Aicl.DbToSS,29,83,50,137,6,48,5353,370,1,1,11.58,31,31
AngeloG_ClipUpload,81,389,589,129,143,356,13205,1967,13,14,34.38,119,119
angelovescio_HistoryNav,106,510,172,21,365,58,5573,581,0,0,7.02,38,38
AngularAgility_AngularAgility.NET,66,8,120,55,0,91,1612,203,14,13,1.37,70,70
anjing_protobuf-net,91,241,570,266,7,303,17524,2282,46,49,28.92,371,371
Anonsubmission_DSV,1414,1927,6783,2758,146,3848,110205,13722,655,669,299.28,3957,3957
antgit_Prison,3,3,4,1,2,3,62,10,0,0,0.44,2,2
antgraf_gnomorialauncher,31,71,173,85,0,47,2863,552,6,6,9.37,53,53
anthem001_UIKitDemo,3,2,5,0,0,4,67,5,0,0,0,1,1
AnthonyCarl_MatasanoCryptoChallenges,11,24,27,12,3,19,830,89,1,1,2.54,8,8
antmicro_GgiSharp,5,38,28,20,29,8,326,57,0,0,1.99,4,4
antonydenyer_chirpy,15,7,22,11,0,19,229,24,4,4,0,21,21
antonydenyer_NTimeAgo,6,4,13,21,1,9,287,17,1,1,0,6,6
anurse_MicroRazorHost,6,4,31,10,0,22,316,49,0,0,1.9,7,7
AOT-DEP-PADI_ChromeLauncher,9,15,62,22,5,46,1138,143,0,0,2.94,9,9
apavelm_YetAnotherPlanPhi,27,2,22,93,0,19,1474,36,0,0,0,21,21
ApocalypticOctopus_ReactiveAfterthought,1171,3729,5162,6769,50,2909,138979,12887,935,1275,452.44,5232,5262
appccelerate_NugetPackagesTest,11,0,16,0,0,15,209,18,0,0,0,11,11
appsfire_Appsfire-Android-Unity-plugin,0,0,0,0,0,0,0,0,0,0,0,0,0
aprajapati_WPToReader,11,21,39,14,3,14,852,103,0,0,4.51,16,16
aprice_mathutils,11,10,79,29,10,79,1126,102,0,0,2.65,4,4
AqD_ClevoECView,5,22,33,4,1,10,356,49,0,0,0.87,3,3
aquaseal_simv.info,13,4,22,16,0,10,494,29,0,0,0.92,11,11
aquiladev_Coding4Fun.VisualStudioSync,13,10,28,8,1,18,256,41,6,6,0.93,6,6
aquiladev_zero.api,6,9,12,5,1,4,236,21,0,0,1.57,4,4
Arakh_TopApps,30,73,70,92,2,36,1346,91,12,12,14.08,25,25
arashnorouzi_Moon-APNS,6,17,23,17,0,14,525,64,0,0,0.81,6,6
Arcanz_DS3500,0,0,0,0,0,0,0,0,0,0,0,0,0
arevikh_MacGym,16,47,162,49,0,37,1289,180,3,3,9,28,28
ariel1974_iTestOutlookAddIn,70,207,583,327,6,109,9987,1251,0,0,24.44,152,152
Arkitektum_GIS.Lib.SerializeUtil,2,1,8,1,0,7,102,12,0,0,1,1,1
arnaldoccn_elemental-rush,0,0,0,0,0,0,0,0,0,0,0,0,0
ArslanBilal_Process-Scheduling-Algorithms,50,16,96,31,0,64,1728,152,3,3,3.43,23,23
artgo_CefSharp,229,440,629,417,162,389,10710,1017,50,49,30.75,314,314
ArthasZRZ_Coke-Tower-Part-time-Work,46,107,223,18,68,164,3657,563,0,0,11.4,80,80
artl93_tincan,34,79,128,16,17,72,1349,228,12,12,9.94,46,46
ArtyrKorop_WalletInspector2,14,4,71,35,1,50,586,85,1,1,0.93,16,16
ArusSoft_dotNet-Application-WinTerminal,16,11,82,28,4,13,1120,248,0,0,1.91,18,18
ashmind_FluentConsole,10,4,8,20,0,6,320,12,1,1,0.88,1,1
Ashna_Shayan-Dental,221,577,1838,1024,3,327,29200,3029,1,1,81.23,728,728
ashokkn_QBSilk4NetWhiteFramework,29,86,264,81,78,259,8321,1166,0,0,2.9,39,39
ashutoshraina_Showdown,11,0,0,37,0,0,191,0,0,0,0,0,0
asiemer_IntroToCQRS,14,6,28,3,0,24,226,37,3,3,0.6,5,5
asikaria_SourceIP,4,2,12,0,0,7,136,18,0,0,0.62,2,2
asik_Settlers-2-Remake,46,90,113,10,39,65,2830,379,0,0,6.71,81,81
Asky314159_jrayfm-controlboard,7,20,33,10,0,11,602,105,0,0,1.56,5,5
Asky314159_wordslide,29,91,234,129,11,67,4186,705,5,5,11.44,48,48
asparrowhawk_LoggingWithCastleWindsor,61,19,120,29,0,82,1568,157,9,9,4.7,41,41
AstroDigitalVideo_ADVLib,33,186,312,69,119,95,3830,693,1,1,6.73,42,42
AtricoSoftware_Atrico.Lib.Assertions,71,25,127,26,0,91,1130,144,58,114,2.26,75,75
atsoftware_ps2pdf,12,21,27,16,9,11,577,58,1,1,1.27,16,16
austhomp_TranslationExamples,48,62,163,93,0,93,3461,280,1,1,19.46,73,73
avadev_AvaTax-Calc-DirectSOAP-csharp,79,288,87,278,0,57,4683,153,16,18,4,160,160
aventum-solutions_iban-api-net,26,16,79,30,0,54,2214,159,10,7,5.91,63,63
avilay_dynamic_proxy,8,15,14,1,3,10,271,28,1,1,1.09,9,9
avogab_dooHTM,38,156,147,90,4,87,3157,579,10,10,11.37,76,76
Avtomati_ExcelImporter,8,2,24,5,0,20,232,32,2,2,0.75,8,8
awaisathar_EightQueensDemo,7,9,27,12,2,11,374,49,0,0,2.08,4,4
AwkwardDev_StrawberryTools,174,240,442,167,92,306,10353,1389,25,25,18.82,203,203
AYLIEN_aylien_textapi_csharp,37,8,70,138,0,37,1764,154,15,15,1.53,77,77
AyrA_BinSend,30,53,118,22,34,56,2075,352,0,0,5.88,62,62
AyrA_BitMarket,34,47,138,53,26,84,3226,496,2,2,7.9,64,64
AyrA_ProcessKiller,5,13,31,2,1,12,403,51,0,0,2.14,5,5
azavea_net-omgeo-reprojection,3,25,31,0,12,25,585,42,0,0,2.7,2,2
AzureADSamples_NativeClient-Headless-DotNet,2,9,12,0,1,2,288,47,0,0,0,1,1
AzureADSamples_NativeClient-WindowsPhone8.1,2,11,14,0,0,5,299,33,0,0,1.64,1,1
Azure_azure-sdk-for-dotnet-samples,2,4,4,5,0,2,73,8,0,0,1,1,1
b95678_ss,54,25,291,264,0,282,13981,1519,0,0,5.57,103,103
b9chris_LibJpeg.Net,79,627,524,165,37,255,19171,2665,17,17,33.09,325,325
babb517_Robotic-Arm-Controller,51,119,229,369,38,151,8904,449,4,4,10.16,33,33
back37_MTK-FirmwareAdapter-Tool,11,76,142,51,3,36,3862,702,0,0,4.37,14,14
Backman_Dreamhackathon,0,0,0,0,0,0,0,0,0,0,0,0,0
bacnam7287_Lina.AnCo.WindowsPhone,5,10,39,9,1,3,669,70,0,0,2.59,2,2
Badreddine-DLAILA_Yammer-OAuth-SDK,10,4,19,13,0,18,581,63,0,0,0.7,6,6
bambit_BGallery,289,481,1438,1346,40,697,47560,4174,98,122,39.6,974,974
bambit_EPPlus,391,805,1551,1047,38,408,44725,4647,294,311,99.92,1073,1073
Banane9_SharpQuadTrees,4,3,37,13,0,21,529,61,2,2,1.3,7,7
bandwidthcom_csharp-bandwidth-examples,4,1,8,3,0,1,239,12,0,0,0,1,1
bankova_HighQualityCode,100,166,1010,122,32,738,25508,2525,27,30,24.66,121,121
Barabicus_RTSCameraProject,174,710,968,226,310,522,13396,2276,68,80,50.98,302,302
barometz_Sampler,34,70,143,61,23,77,3682,513,10,9,10.65,43,43
baronem_concise-sharp,13,5,67,0,0,48,304,68,4,4,0.57,10,10
bberak_SqlBulkCopyExample,15,6,74,23,0,42,804,98,5,8,1.77,17,17
bbvch_sensorlegacy,19,17,33,13,0,24,498,60,4,5,6.75,13,13
bbyars_RestMvc,21,23,117,53,9,102,1294,139,6,6,3.72,20,20
bchristie_BundleBuilder.UrlResolver,2,6,8,0,0,3,198,20,0,0,0.96,1,1
bcostea_spectral-spring,23,20,55,17,1,29,787,85,4,4,3.96,15,15
bdb-opensource_SyntaxBox,156,720,982,381,322,520,22799,2717,21,26,46.4,340,340
bedefaced_5tweaker,75,133,339,120,41,184,6207,909,30,33,12.3,95,95
bedefaced_sipdotnet,4,24,62,11,0,21,835,139,0,0,3.06,4,4
beginor_owin-samples,14,12,19,3,10,18,246,27,0,0,0,8,8
bendyline_Tooler,8,4,20,4,0,15,318,85,2,2,2.5,6,6
BenGGolden_Sitecore.Mvc.Areas,11,7,22,5,1,15,454,29,2,2,2.17,17,17
benharrison_tIMS,14,31,76,43,0,32,1233,139,0,0,5.98,20,20
benitazz_ReportSource,54,87,239,87,18,136,7025,652,12,10,7.67,58,58
benlakey_press_sharp,5,4,21,20,0,5,289,38,0,0,0.95,6,6
benneeh_wScreenshot,164,216,596,136,59,217,10178,983,10,16,29.59,151,151
benoit74_nzy3d-api,192,3906,1050,319,105,833,46133,2092,89,86,54.51,430,430
berniegao_projects,312,586,2206,561,17,1005,70947,4059,98,96,118.56,654,654
bernoulli-metrics_bernoulli-sharp,6,1,8,11,0,4,173,23,0,0,0.5,5,5
bestlion_tpscabinet,12,42,50,17,18,18,1098,141,0,0,3.29,12,12
betselection_betsoftware-framework,3,61,27,12,0,14,1611,135,0,0,1.95,2,2
Beyonders_Beyond-Beyaan,93,733,651,469,88,504,21655,3894,19,19,33.41,429,429
beyondtheline_MarysGun,21,93,50,2,0,28,1001,112,0,0,7.17,2,2
bgoodearl_MVC5NgDemo_ADFS,7,0,18,12,0,10,184,20,1,1,0,3,3
bgrebil_WebApi.Formatting.JsonMask,6,13,75,2,0,17,1328,180,1,1,1.44,4,4
bgripka_AppConfig,54,26,216,89,1,158,2919,437,9,9,7.44,28,28
bi-tm_openABAP,41,146,209,1,76,138,3480,881,18,21,18.64,78,78
biagio90_Lab1Final,28,52,150,12,8,112,2592,444,0,0,5.96,34,34
biagio90_Lab2,28,52,150,12,8,112,2592,444,0,0,5.96,34,34
BietteMaxime_SftpChecker,22,15,54,23,5,46,997,123,2,2,1.38,30,30
BigBearGCU_SniffingItOut,0,0,0,0,0,0,0,0,0,0,0,0,0
bing-ads-sdk_BingAds-dotNet-SDK,1123,3949,2849,2035,2167,1422,96093,4418,289,345,421.63,2798,2798
biofractal_Patch-Runner,14,2,21,0,1,16,285,33,5,5,1,9,9
biohazard999_Xpand.ExpressApp.Win.Para.WindowsIntegration,32,13,77,51,1,44,1264,192,4,6,2.34,30,30
bitmarker_TCPlayer,57,83,324,195,0,161,4932,692,28,28,12.41,113,113
bittercoder_BitbucketComments,32,14,52,46,0,24,821,70,14,23,2.87,44,44
bizzehdee_System.Drawing.PSD,14,16,61,39,1,50,1422,179,3,3,1.95,30,30
bjango_iStat-Server-for-Windows,37,153,306,72,49,185,5790,574,2,2,14.01,59,59
bkcandra_Cognate,24,6,20,131,6,18,1009,20,0,0,0,11,11
bkloppenborg_ssp4-control-software,15,70,89,55,1,53,1736,195,0,0,3.95,18,18
bl0rq_ExampleCode,111,69,307,39,5,245,2987,439,58,55,15.26,71,71
bl1nkr_ninjr,33,28,188,9,0,149,3358,276,0,0,2.3,41,41
BlackBerets_Circular,8,14,27,2,9,4,495,77,0,0,1.7,9,9
BladeCarrier_GraveRobot,54,279,262,6,181,194,4716,671,19,31,20.05,162,162
Blecki_conv-compiler,6,23,39,1,17,22,637,159,0,0,1.3,8,8
Blecki_Passages,9,16,26,0,14,15,495,91,1,1,1.87,12,12
blesh_ALE,40,62,156,113,37,115,2664,221,12,12,9.87,52,52
Blind-Striker_supremefiction,74,134,278,139,5,144,5522,595,14,12,14.57,131,131
blindrenderer_YouThumb,4,8,14,4,0,2,341,50,0,0,0.86,1,1
Blizarre_FractalExplorer,12,41,47,8,16,22,800,82,0,0,3.23,18,18
Blizzardo1_BlizzetaZero,24,78,156,60,38,128,2588,218,0,0,7.35,47,47
blocvox_graymatter,10,8,28,6,0,17,296,41,0,0,0.8,14,14
blrchen_azure-restful-dotnet-api,86,17,126,447,0,100,3846,236,32,32,2.85,64,64
BlueMountainCapital_riemann-health-windows,6,2,13,6,0,7,523,46,0,0,0,7,7
bluexray_Left4Framework,212,297,1165,337,86,777,13899,2086,79,62,29.03,328,328
Blumster_TNL.NET,61,168,453,130,107,377,5865,884,17,26,13.12,149,149
BlythMeister_BingImageDowload,9,14,31,0,2,2,445,89,0,0,1,15,15
bob2000_test,16,11,20,6,1,11,265,32,1,1,0.5,6,6
bobhy_WPLogging,12,30,55,19,8,24,1539,155,0,0,3.27,11,11
bobpace_Quartz,7,8,17,2,0,16,118,18,1,1,1.08,3,3
Bomret_LiveMarkdownPreview,28,22,47,17,1,29,514,64,8,8,2.56,27,27
Bomret_Sourcery,6,3,39,0,0,31,248,64,3,3,0.66,3,3
bongiozzo_sharedgoals,35,6,48,53,2,38,911,57,4,3,1.5,36,36
borfudin_svmnet,35,93,188,45,16,126,4734,955,7,10,10.26,83,83
borfudin_visionnet,151,364,942,375,16,723,32403,5042,68,90,47.11,340,340
boriphuth_Onion-Arch,20,7,55,21,0,27,423,65,6,4,1.04,17,17
BostonSymphOrch_HENRY-archives,64,409,891,526,22,133,11925,1005,3,3,31.1,82,82
boswald008_DinosaursGame,0,0,0,0,0,0,0,0,0,0,0,0,0
BoutemineOualid_WfdbCsharpWrapper,27,51,248,114,5,209,3770,392,0,0,9.18,65,65
BowenZhuang_MyoProject,24,140,136,40,64,40,2699,430,0,0,7.94,23,23
box_box-windows-metadata-sdk-v2,7,9,15,6,0,13,304,21,0,0,1.87,6,6
boynux_Sympathy,27,35,93,30,1,60,1239,213,5,6,8.86,38,38
brad-ross-35_jfl,17,39,95,15,33,59,1903,384,11,12,2.83,18,18
bradurani_coverpage,8,0,4,52,0,3,254,4,0,0,0,4,4
BrainCrumbz_NAudio-WavToWma,12,11,21,4,0,3,447,51,0,0,1,5,5
brandon75f_PrintHost,141,1011,1603,281,533,851,30432,4805,8,8,63.76,468,468
BredStik_DistributedMediator,28,8,34,10,0,22,508,45,2,2,0.25,25,25
brendanmckenzie_simplecms,13,0,16,14,0,14,340,31,2,2,0,5,5
BrentKnowles_Addin_Random,7,21,41,15,1,28,930,99,2,2,5.01,7,7
brentrossen_AzureDistributedService,6,17,18,9,2,7,382,40,0,0,1.63,7,7
briandorey_ModernUI-Pick-and-Place-Controller-Software,26,93,208,16,26,113,2845,340,0,0,10.35,28,28
BrianLima_Helix,6,11,38,10,1,5,564,54,0,0,2.82,4,4
BrickStreetSoftware_brickstapi-dotnetclient,20,52,47,160,46,45,2048,100,1,1,2,16,16
bridgedotnet_Bridge,1481,2479,8161,1206,2295,7069,119248,12508,594,667,209.92,2794,2794
BrightcoveOS_Video-Cloud-SharePoint-2010-Integration,94,113,175,222,54,135,5544,468,5,5,12.37,111,111
briguy202_PrototypeApplication,7,3,21,8,0,2,370,31,0,0,0,3,3
BrokenEvent_ObfuscarMappingParser,35,100,263,158,1,102,4271,688,5,7,13.27,107,107
brooke_grogre,0,0,0,0,0,0,0,0,0,0,0,0,0
Brozingaron_Glyph,0,0,0,0,0,0,0,0,0,0,0,0,0
brpeanut_OpenMario,27,31,87,40,11,78,1922,145,13,16,11.56,49,49
BS-Pro_Multi-Fingerprint-Authenticator,7,3,25,3,0,4,178,25,0,0,0,3,3
bshishov_NetComponentEntitySystem,19,31,91,4,5,74,782,158,5,5,3.23,30,30
bubbafat_RescueMe,1,0,2,0,0,2,18,3,0,0,0,0,0
BunnyRabbit2_TVSeriesRenamer,4,7,21,6,0,1,412,73,0,0,0.84,1,1
butlersoftware_aftermath,36,35,131,58,1,85,2221,276,6,6,6.55,43,43
buunguyen_memento,12,7,43,20,0,20,696,90,5,5,1.91,14,14
buzzlebutt_TinyGossip,13,1,23,17,0,15,249,31,4,4,0,11,11
bwight_CloudInit.NET,27,24,72,30,1,31,1572,176,6,6,8.49,26,26
bwilso65_password-keeper,3,3,6,0,0,4,257,48,0,0,0.75,2,2
Byt3-Hub_PAWNEdit,7,17,33,3,5,18,981,149,0,0,2.61,13,13
ByteCarrot_Masslog,110,48,244,179,2,135,2793,381,44,41,6.49,129,129
byteit101_ZomB-Dashboard-System,268,781,1395,587,182,688,24788,3404,116,100,87.17,482,482
c0nfused_Web-Remote-Input,19,35,73,17,1,36,1879,262,0,0,5.45,32,32
c4mprod_UnityCBMAT,8,44,90,0,36,68,1952,166,0,0,1.84,4,4
cainianhua_CodeGenerator,36,59,202,45,0,139,5740,652,16,12,5.3,24,24
cajuuh_denguewars,184,624,488,478,28,256,14438,1266,30,34,45.04,232,232
Calabonga_MvcConfig,12,8,47,31,0,16,801,83,5,6,0.75,6,6
CalypsoSys_Babalu_rProxy,27,140,162,84,7,57,3330,469,10,10,9.04,65,65
camillos_Microsructure3DReconstructor,26,70,124,63,15,80,3264,479,0,0,8.51,52,52
camiloripi_Analisis_Y_Dise-o_Teleton,50,259,587,367,0,235,10514,790,0,0,39.3,93,93
CamTechConsultants_protobuf-net,985,1416,4551,1834,37,2536,129502,14209,318,346,213.29,2604,2604
CanyonCounty_CC.MT.Public.Sheriff,52,13,137,75,0,87,3281,325,7,7,4.26,65,65
caojianagbocn_NScreenCapture,29,91,165,65,24,57,3438,478,0,0,7.71,31,31
caoxianglin_newsellinggas,58,98,277,54,19,177,4595,522,14,14,10.62,42,42
caoyue_Qzzz,18,7,46,23,1,32,546,65,1,1,1,25,25
carlcallewaert_buildandveryplay,56,160,214,80,56,164,4544,596,32,42,16.12,94,94
carllindelof_sensu-client,55,121,184,96,11,90,2787,340,20,20,14.81,88,88
carlospeix_ConfUi,65,27,268,79,0,148,1966,352,44,41,7.62,60,60
CarlosX_GunBoundWC,6,11,34,0,2,17,654,80,0,0,1,8,8
carlosyy_SIISAConc,143,80,384,343,2,375,8561,847,0,0,3.23,162,162
cartman005_UBTalker,59,95,343,79,13,228,6566,807,11,13,18.99,85,85
casperbang_ER301.NET,23,22,77,8,5,42,1326,146,6,6,5.89,20,20
CatenaLogic_AzureStorageSync,18,12,33,9,0,26,464,74,0,0,0.83,20,20
cathode_zsm,7,0,9,18,0,7,392,67,0,0,0,9,9
catyguan_bma.dotnet.common,49,147,416,47,11,332,5132,744,13,13,16.17,104,104
CBelford_MnemonicAssignmentCalculator,7,20,37,21,0,7,776,118,0,0,2,6,6
cbharath_XTTSource,180,626,221,194,558,163,7205,444,0,0,5.75,303,303
cbradley857_barda,17,38,117,11,9,31,1937,277,0,0,4.71,21,21
cbuahin_OpenMI,301,706,1654,686,34,1054,33821,3787,238,297,84.96,1021,1021
ccarlonr_Xamarin,2,3,13,1,0,2,167,19,0,0,1.39,0,0
cchamplin_Sprite,7,24,26,5,0,21,2015,40,1,1,1.91,10,10
cdaapi_cdaapi_core,130,311,688,124,46,496,7854,1200,103,117,43.26,301,301
cdaapi_cdaapi_everest_CDA,260,63,1013,546,11,878,27376,1883,237,275,17.37,882,882
Cecer1_-IHI-HabboHandlers,2,0,8,0,0,3,62,9,0,0,0,0,0
Cecer1_-IHI-MessengerManager,7,2,21,10,0,11,270,42,0,0,0.4,5,5
Cecer1_-IHI-StandardOut,2,2,5,0,0,1,120,25,0,0,0,1,1
cecozab1_DentistApp,14,5,37,46,0,22,461,48,3,3,1,12,12
Celarix_FileToBitmap,24,33,72,10,6,35,1161,208,14,14,5.05,37,37
CfoxQUB_DesktopApplication,61,362,772,153,8,459,11216,1885,2,2,43.28,173,173
