Number of analyzed projects,Total LOC,Total types,Total namespaces,Total implementation smells detected,Total design smells detected,Total architecture smells detected
3,10252,61,7,164,78,9
12,14210,181,21,291,198,21
2,807,3,2,1,2,0
2,587,12,4,161,7,0
2,2114,52,4,78,48,2
4,8248,145,17,144,121,10
32,31140,392,73,899,257,42
11,445803,3343,116,5014,3941,455
2,550,4,2,28,1,0
0,0,0,0,0,0,0
12,28515,197,56,328,171,24
20,63589,671,56,716,352,44
1,377,8,4,21,5,0
1,8872,106,6,1485,158,15
25,190324,1859,164,2491,1168,274
38,82042,640,69,6448,691,20
46,436289,8140,123,9444,12083,285
3,10742,52,3,824,84,1
2,8342,115,5,85,152,10
3,10335,95,7,226,173,21
11,451852,2226,107,6127,3641,500
46,159303,1340,98,2827,1922,104
10,57992,597,21,1050,903,21
4,8623,150,11,239,237,7
1,1113,9,1,11,18,1
7,12796,149,12,340,241,10
30,44226,321,40,755,466,27
38,80422,687,54,1567,785,28
9,27850,315,23,476,333,36
1,3128,33,3,60,84,5
4,10062,120,9,187,156,11
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
6,40889,343,28,807,505,77
54,15841,244,54,908,187,10
2,351,7,2,16,9,0
4,196627,1282,36,3823,1686,170
64,401586,5299,324,1349,5932,281
12,652978,2436,48,15181,7353,99
88,745671,5994,558,16221,6004,599
4,90442,292,38,1376,843,30
1,743,3,1,54,4,0
3,3528,33,6,393,46,3
8,131096,1360,24,2381,1693,49
16,3007,67,20,73,48,3
1,6029,24,1,39,44,0
2,2506,40,7,29,19,0
1,485,4,3,11,3,0
12,5123,87,18,60,71,3
5,601,20,3,9,10,4
2,7297,99,9,415,137,25
7,148757,1859,236,12834,1855,219
1,0,0,0,0,0,0
44,128068,1474,110,6778,1111,141
3,8649,159,18,625,100,4
1,4227,68,8,126,36,6
0,0,0,0,0,0,0
2,2054,27,2,16,20,0
37,55656,694,81,1605,575,104
4,3197,45,8,21,27,4
2,6059,68,5,152,67,2
1,3638,39,1,62,32,1
1,15869,176,17,216,266,9
2,4492,35,8,24,20,2
2,3046,40,6,4,26,1
1,214,3,1,2,3,0
2,679,16,4,15,9,1
2,7761,98,19,77,59,27
2,1564,26,4,16,21,2
1,791,12,3,8,17,0
1,12130,155,15,108,128,22
1,10739,241,9,214,222,10
1,1964,29,3,14,11,5
2,3156,34,5,125,21,3
3,9381,54,3,127,70,0
1,14784,182,5,224,82,4
3,17782,164,14,153,174,24
6,21110,668,22,172,1210,25
3,2327,25,5,43,17,0
2,6722,116,16,82,74,37
21,449299,4143,112,5756,4195,367
2,266,4,2,13,0,0
1,6399,36,2,103,53,2
8,12687,139,14,230,91,50
18,11351,134,27,202,113,10
1,239,7,1,0,9,1
5,23025,149,20,380,160,29
8,35369,254,34,365,322,48
51,30196,876,81,353,1457,30
18,31169,394,85,573,254,39
18,31169,394,85,573,254,39
2,10226,140,9,83,119,12
11,14105,143,41,223,70,33
1,4048,132,9,22,71,17
20,153203,1410,218,1942,876,343
33,10735,255,84,939,163,15
22,2575,71,22,100,34,0
2,339,11,3,4,9,1
1,95,1,1,0,0,0
1,3383,61,2,12,24,1
1,577,12,1,0,6,1
2,2448,53,9,87,23,6
4,18163,248,5,131,181,4
0,0,0,0,0,0,0
62,17635,416,167,195,313,14
0,0,0,0,0,0,0
6,19331,254,24,939,196,32
2,11870,143,15,97,94,28
1,6400,36,6,787,109,8
1,1117,26,8,7,8,6
5,68086,263,58,14349,472,122
23,51574,562,124,930,484,80
1,2999,31,3,69,19,4
1,2655,26,6,40,18,12
30,166092,2423,232,1839,1819,420
6,13914,151,18,141,151,12
33,93858,1611,130,1348,1063,126
2,1761,16,4,20,16,0
38,10381,213,54,93,151,9
1,298,3,1,3,3,0
1,0,0,0,0,0,0
1,87,2,1,0,2,0
2,4528,53,15,68,37,2
1,0,0,0,0,0,0
1,224,5,2,1,4,0
1,7261,39,7,1851,75,19
1,2498,10,1,6,14,1
14,93863,501,38,529,606,72
3,45967,243,22,239,333,10
5,638,17,5,17,10,1
0,0,0,0,0,0,0
4,7721,32,5,246,81,10
1,5049,22,1,230,47,0
8,90522,961,71,4202,519,92
1,1790,15,4,79,11,0
4,1706,52,5,18,12,2
9,4153,47,19,146,27,6
27,39235,771,90,767,543,83
19,187264,1088,36,9521,1788,15
1,5314,20,2,1241,25,0
1,2991,22,2,150,30,0
44,20300,456,88,143,216,43
8,4885,45,8,17,28,1
2,80,2,2,0,0,0
2,3062,20,4,795,36,0
1,501,6,1,2,3,0
1,103,2,1,0,0,0
2,6581,101,12,37,57,24
3,6028,57,7,65,57,4
1,22029,134,2,719,209,1
0,0,0,0,0,0,0
7,24379,135,8,963,170,5
2,2306,14,2,1,16,1
2,0,0,0,0,0,0
62,73501,507,79,374,448,52
1,2395,26,4,108,22,0
1,0,0,0,0,0,0
22,32784,227,46,1544,184,9
1,0,0,0,0,0,0
28,12940,302,41,217,214,26
4,8099,131,7,117,85,6
2,4467,20,5,123,74,0
10,163338,2649,33,3641,2698,68
1,5234,43,1,305,29,1
6,10132,204,31,1172,83,40
8,2339,50,18,207,21,5
2,410,7,2,1,3,0
1,7019,80,6,192,41,14
6,7837,65,10,352,88,2
1,7658,95,8,58,59,13
4,40510,202,26,2869,237,15
4,6254,58,6,256,27,3
23,125418,1559,111,3340,1480,210
3,4474,96,17,31,59,16
1,0,0,0,0,0,0
5,226366,2534,104,3126,2265,580
1,10923,150,20,65,89,53
3,2716,42,8,16,35,5
7,17254,174,23,357,143,10
30,134047,795,107,5988,1335,78
8,428,12,4,6,14,0
2,793,43,1,20,24,1
3,998,16,3,96,16,1
1,6032,55,4,59,38,4
7,79545,1005,36,14221,1434,140
1,1001,7,2,3,3,0
1,0,0,0,0,0,0
2,989,15,3,16,7,1
3,3710,69,12,38,29,4
1,3792,46,1,3,83,1
0,0,0,0,0,0,0
4,5365,114,21,136,73,5
23,39653,429,28,570,481,31
8,4343,65,18,150,28,6
3,6940,38,19,82,32,10
3,8953,140,25,400,148,31
2,2111,26,7,58,18,3
50,105521,1539,107,731,1856,130
1,62,1,1,1,1,0
1,696,13,2,7,10,1
2,145,1,1,1,0,0
2,48,1,1,0,1,0
1,0,0,0,0,0,0
3,0,0,0,0,0,0
4,0,0,0,0,0,0
1,0,0,0,0,0,0
8,2874,51,18,5,59,3
1,2578,31,4,9,30,2
1,0,0,0,0,0,0
4,0,0,0,0,0,0
1,514,10,1,0,10,1
5,0,0,0,0,0,0
2,2956,47,15,6,55,3
1,39,1,1,0,1,0
6,16644,207,16,94,265,19
4,27064,308,44,990,245,76
1,8753,105,1,369,151,1
7,86305,506,56,5072,555,155
2,9363,58,7,475,76,1
5,42,2,1,1,1,0
71,5501,53,25,81,31,1
5,5576,35,5,37,45,5
8,42921,227,34,797,576,17
1,1646,31,1,31,7,1
7,13413,184,15,581,146,11
4,7452,278,14,336,380,24
18,18060,187,27,531,117,8
1,59487,1289,1,3628,3840,1
0,0,0,0,0,0,0
0,0,0,0,0,0,0
1,2998,17,3,71,7,4
1,3912,17,5,86,18,1
5,7180,36,15,23,23,1
2,3156,26,4,23,12,2
0,0,0,0,0,0,0
2,1680,51,1,4,16,1
10,7876,151,39,66,67,13
3,11023,241,72,120,177,30
1,125,2,1,17,1,0
1,385,8,1,0,5,1
3,15825,151,8,307,275,8
1,809,16,3,9,19,1
1,6254,40,8,87,26,2
1,1718,15,2,170,13,1
5,494,9,1,69,6,1
5,5092,168,27,202,216,19
1,1103,16,6,5,10,3
16,26171,169,38,315,237,7
2,19636,164,12,262,233,11
2,0,0,0,0,0,0
2,7691,89,11,350,103,38
5,62403,280,11,388,155,26
18,34600,310,28,426,195,18
5,96167,1195,85,2319,1122,86
2,748,20,3,1,6,0
4,0,0,0,0,0,0
3,1521,8,4,413,23,0
4,0,0,0,0,0,0
2,327,41,5,0,64,4
30,84018,765,44,2662,546,34
9,96678,383,32,3359,780,22
1,2389,6,1,40,10,0
27,27143,277,76,3495,180,50
2,3253,25,2,240,15,0
1,29861,166,11,1123,325,23
2,6794,117,15,112,152,15
7,6118,62,10,93,41,2
14,40648,421,23,481,338,16
5,463,7,3,4,5,0
3,134,3,1,0,3,0
6,421,11,3,67,6,0
1,0,0,0,0,0,0
2,0,0,0,0,0,0
31,1199157,7934,159,29421,8904,539
85,56513,741,229,2608,629,51
2,2570,39,8,94,21,7
2,332,18,4,5,9,2
1,2151,75,4,1,20,3
3,2323,46,7,22,12,4
1,126713,803,6,466,1214,6
1,2802,24,5,32,32,5
1,674,13,4,21,11,0
1,6319,37,5,36,50,13
1,2802,24,5,32,32,5
1,6319,37,5,36,50,13
1,2580,23,4,18,26,6
0,0,0,0,0,0,0
1,8,1,1,0,2,0
349,423855,3732,435,7916,3373,108
3,387,7,3,2,6,0
1,431,7,2,95,4,0
3,3317,34,9,73,49,23
1,326,5,1,5,3,0
4,7618,86,12,61,76,5
3,6521,83,6,53,79,3
3,5040,64,2,136,85,1
0,0,0,0,0,0,0
3,11023,241,72,120,177,30
3,11023,241,72,120,177,30
0,0,0,0,0,0,0
0,0,0,0,0,0,0
1,3082,23,3,37,15,4
2,11984,82,18,159,62,14
5,1163464,8289,457,92837,8130,1378
6,2260,31,10,13,15,0
2,7993,129,18,112,170,28
17,11549,143,32,198,96,31
3,1423,14,4,165,10,1
14,42059,375,64,558,285,52
1,2901,50,6,48,44,10
1,33106,724,62,171,510,67
12,37567,718,78,209,554,70
17,21368,218,65,102,179,10
46,58850,341,70,3531,367,36
2,19300,153,9,147,226,15
4,94380,880,60,948,757,71
13,7784,55,18,770,58,0
3,1744,26,6,14,23,5
1,49678,289,13,989,482,46
2,0,0,0,0,0,0
1,597,8,3,1,8,0
125,70286,1501,442,806,1239,109
27,73612,927,186,1689,632,117
2,31575,220,23,1739,387,43
2,270,5,3,0,4,0
1,204,1,1,3,1,0
1,121,3,2,0,2,0
2,2188,34,8,36,36,3
1,0,0,0,0,0,0
1,1182,24,4,5,6,8
4,4333,34,5,259,37,4
2,20794,153,26,280,136,30
1,853,8,3,181,4,0
7,12717,120,15,134,126,5
1,0,0,0,0,0,0
1,624,12,1,22,13,0
8,13863,146,25,225,166,14
13,31953,255,65,933,202,7
1,3756,47,6,34,74,6
1,291,1,1,42,0,0
5,1126,13,4,12,4,0
1,1635,26,3,8,28,5
2,4331,105,14,54,33,23
2,17744,102,2,698,208,4
3,10600,88,6,24,120,0
1,72006,209,5,20571,648,17
2,15781,80,10,765,185,50
1,19558,224,9,2142,357,10
2,4066,95,9,62,62,4
3,9550,137,13,204,59,32
7,3538,120,12,36,142,10
1536,2795,117,55,7,145,0
2,571,13,2,16,11,1
3,9550,137,13,204,59,32
1,0,0,0,0,0,0
1,0,0,0,0,0,0
14,36657,794,118,532,717,103
8,56214,798,37,600,822,91
4,1619,23,5,11,11,0
2,4011,102,9,23,75,16
1,2751,83,7,13,64,4
3,3832,32,6,134,36,1
5,18718,208,31,965,98,9
6,21645,368,20,816,296,26
1,709,15,5,4,16,0
1,48,2,1,0,5,0
1,426,8,1,5,1,1
0,0,0,0,0,0,0
1,120,4,1,1,3,0
1,402,11,1,7,3,0
1,655,8,1,9,5,1
4,0,0,0,0,0,0
1,1307,15,4,23,7,3
3,15198,140,6,470,95,8
1,21,1,1,0,1,0
3,11359,129,11,125,169,28
1,2902,23,7,20,12,2
17,138565,1026,135,4141,973,309
1,3150,31,1,66,54,2
1,3231,24,2,862,24,0
3,21944,165,8,497,232,5
3,63676,514,8,1526,662,13
6,51027,603,17,365,991,28
6,51027,603,17,365,991,28
5,46325,402,50,535,317,103
4,1600,13,4,9,9,1
2,2159,26,2,17,39,2
10,45039,319,26,920,383,33
6,44081,408,49,835,422,54
10,3573,45,13,65,32,1
2,15847,160,6,283,82,14
0,0,0,0,0,0,0
2,1154,39,3,9,68,3
10,59884,343,39,10917,247,17
1,405,6,1,6,3,1
1,8020,145,4,75,232,10
1,1442,22,2,2,11,4
4,9882,38,4,276,53,1
3,458,9,3,25,6,1
19,13452,404,43,719,308,23
3,17522,93,4,341,193,1
3,59,1,1,2,0,0
2,21497,57,3,1106,173,3
3,15607,73,5,1302,72,2
0,0,0,0,0,0,0
5,5072,32,6,266,37,0
22,23360,212,38,2759,192,5
4,1169,24,5,6,14,1
10,14246,311,37,256,198,36
11,81051,1217,127,845,1037,124
24,96715,1675,196,794,908,310
1,0,0,0,0,0,0
10,16799,272,42,57,153,40
5,6041,40,13,73,48,1
1,18460,187,18,454,213,18
1,6078,41,4,654,59,3
4,2768,34,4,19,19,2
0,0,0,0,0,0,0
28,23060,438,51,76,213,28
7,1044,35,12,3,33,2
2,451,12,2,8,6,0
1,12296,333,7,98,294,9
1,12296,333,7,98,294,9
1,308,1,1,0,1,0
2,665,14,2,9,10,1
23,51574,562,124,930,484,80
4,7149,63,5,141,46,1
35,285998,2826,186,4008,2898,270
3,16557,242,20,152,266,22
4,6879,102,13,142,31,29
3,11586,130,7,2880,120,11
2,2245,34,5,23,28,2
7,7935,160,26,125,140,7
3,2487,11,3,101,6,1
2,198,6,2,0,2,0
0,0,0,0,0,0,0
1,8142,47,4,155,129,4
5,2065,38,6,8,33,4
1,375,5,2,0,4,0
3,6143,46,5,210,31,2
2,24738,249,16,442,199,12
9,34099,404,26,406,337,32
4,56396,554,26,346,340,56
39,66356,588,72,8383,856,34
5,6213,165,20,72,102,27
1,0,0,0,0,0,0
2,1647,20,2,4,13,2
1,691,10,6,106,11,2
0,0,0,0,0,0,0
4,9124,36,8,1180,4,0
7,37982,313,15,110,448,10
2,612,19,3,2,14,1
2,319,7,2,1,2,0
10,29172,257,32,717,210,57
1,7264,27,6,918,62,0
18,125232,1336,83,6813,1426,188
1,1257,12,1,4,7,0
2,3796,48,2,44,29,1
1,6917,127,11,365,146,46
4,11451,195,11,818,258,24
5,20034,300,27,691,156,36
1,10712,72,12,1131,63,25
6,24210,148,20,579,206,6
10,12315,93,21,563,129,4
3,1660,24,5,10,30,1
5,12223,195,14,525,186,9
6,9639,167,24,62,108,49
2,3969,65,8,28,53,7
3,2075,21,8,35,22,2
0,0,0,0,0,0,0
2,16307,57,4,70,22,5
1,807,1,1,53,0,0
11,9068,131,31,150,68,28
10,46158,532,94,920,287,82
2,2746,33,7,62,35,3
4,1951,39,12,304,35,0
4,61,1,1,1,1,0
9,996,18,2,5,29,2
2,12412,147,21,226,271,30
2,10782,132,14,872,232,8
1,282,4,2,1,2,0
5,2308,30,6,6,25,1
2,4554,88,8,71,87,16
2,1119,22,4,30,17,0
9,15036,196,27,235,157,39
1,6155,69,2,85,60,2
7,35905,318,11,2319,430,23
9,76050,689,27,3405,893,40
9,21547,290,71,109,181,27
1,18030,265,14,555,341,13
0,0,0,0,0,0,0
1,2183,21,7,5,13,0
3,1247,19,3,13,31,0
1,12481,102,7,2128,234,19
2,8749,123,5,116,174,2
2,3886,33,2,65,39,1
3,8640,89,6,483,52,2
2,3273,36,6,58,24,3
1,80,1,1,14,0,0
6,7940,160,21,308,171,13
7,10657,113,27,127,93,14
18,13637,185,35,178,173,25
1,213,5,1,0,2,0
1,8793,80,4,290,84,6
2,2330,18,5,25,30,3
21,310510,2497,106,6581,2762,193
1,803,5,1,11,1,0
7,3899,85,6,30,87,8
3,5430,98,14,144,52,22
2,15514,108,4,268,138,5
6,25726,310,32,185,388,44
5,10212,142,17,85,96,0
14,146791,1047,59,4697,1425,126
3,5161,141,17,55,89,24
3,9291,97,20,281,36,16
7,39843,351,17,615,461,39
7,13398,255,38,336,139,35
2,83269,700,48,816,507,57
2,3086,10,3,136,17,1
3,96916,994,102,404,782,65
16,92244,816,57,6247,932,47
20,7386,168,36,101,119,9
1,366,4,1,11,2,0
5,6264,84,7,117,63,6
2,4356,119,13,36,43,14
8,32839,402,108,1591,303,96
17,11545,213,49,472,94,25
1,15042,78,4,805,116,4
1,1221,16,2,42,8,1
3,7550,47,10,246,38,8
1,1815,21,1,25,22,0
4,3234,41,9,64,52,10
36,98821,523,78,6873,379,48
13,6514,122,53,46,109,5
3,10458,21,3,1408,72,0
4,6973,70,6,62,43,3
1,898,12,2,9,9,2
1,20270,111,8,913,113,8
23,13706,211,30,323,125,22
31,78117,2637,270,1400,3937,142
47,344418,3638,423,10484,4529,960
7,1788,27,13,15,20,0
1,1134,21,3,0,30,1
12,8982,156,30,102,63,4
4,8713,134,21,46,95,24
3,7593,36,3,867,60,2
1,1758,8,2,86,8,1
5,1786,29,9,23,10,3
0,0,0,0,0,0,0
6,13299,97,11,58,88,20
6,12161,117,13,555,127,14
5,737,11,6,6,9,1
7,71423,791,93,699,904,171
4,21663,275,19,326,327,24
25,293033,3089,69,6717,5044,192
101,27202,470,109,544,330,22
1,0,0,0,0,0,0
12,3227,69,18,27,57,4
8,4268,90,33,57,71,4
2,1309,49,4,11,56,2
1,525,7,3,54,5,0
2,24688,391,22,417,413,65
6,2965,32,7,17,26,1
2,1074,9,5,30,9,0
51,148078,2066,271,2121,1495,351
1,0,0,0,0,0,0
1,9352,109,3,94,55,1
2,1839,14,5,15,7,0
4,24310,544,53,523,1062,33
18,14118,291,32,334,290,10
1,2472,59,5,4,61,3
0,0,0,0,0,0,0
3,2924,19,3,84,7,1
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
7,3751,87,7,94,23,1
10,3537,39,11,74,31,2
1,1019,12,3,10,10,2
9,10393,376,12,95,211,5
1,3524,33,2,39,49,2
92,144504,1608,91,4751,2438,52
2,0,0,0,0,0,0
2,7312,53,3,572,77,1
8,13715,100,13,1907,109,14
1,33924,163,10,7808,500,40
2,0,0,0,0,0,0
8,135395,1696,95,7014,1193,195
3,42196,403,20,1696,419,23
3,201813,557,80,3660,434,141
1,0,0,0,0,0,0
1,1795,19,2,118,11,1
1,69,1,1,1,0,0
6,5849,39,10,770,89,2
2,7197,100,5,279,79,3
2,7970,36,4,171,66,6
5,8265,95,10,50,21,10
2,1077,14,2,6,3,1
6,66555,1076,14,1311,1807,17
10,1596,17,12,36,1,0
1,387,3,1,13,0,0
1,3674,29,4,50,12,4
1,1339,6,1,8,3,0
2,10394,30,8,92,50,2
1,3582,30,2,11,35,1
6,7910,61,9,753,67,5
24,8473,151,46,107,140,8
5,99142,1437,156,1309,1277,317
1,2844,11,2,783,22,0
3,1950,42,6,223,66,2
3,1132,23,4,2,24,2
1,16070,184,7,431,190,16
11,11292,121,24,24,64,15
1,174,2,1,7,2,0
4,856,13,4,8,8,0
1,19503,366,1,716,736,2
2,6321,123,10,47,75,8
1,2182,12,3,44,21,0
2,246,5,2,1,2,0
5,9889,25,5,247,40,0
2,1876,44,11,23,46,6
1,175,8,4,0,3,0
2,626,16,2,39,2,0
1,395,9,1,3,5,0
1,561,21,2,142,29,2
1,4740,108,4,127,36,9
1,525,19,6,6,22,1
0,0,0,0,0,0,0
1,2970,19,2,835,17,0
6,4331,80,7,48,43,3
5,28181,194,20,164,247,31
4,27118,136,12,832,109,19
1,4032,58,5,119,64,11
1,564,10,3,58,5,0
2,3476,40,20,38,44,2
37,138914,2247,99,1963,2220,178
45,7660,248,41,224,231,15
7,58108,907,64,855,1059,110
3,0,0,0,0,0,0
3,5829,85,8,97,174,21
2,1201,10,2,23,4,0
2,0,0,0,0,0,0
1,753,5,1,6,5,0
2,4970,136,11,71,104,12
2,126861,765,103,8521,1242,207
0,0,0,0,0,0,0
1,29,2,1,0,3,0
1,14397,134,15,375,104,39
2,18187,129,9,568,101,7
12,6467,148,32,22,74,34
1,411,5,2,2,3,0
10,3826,80,20,462,54,3
1,999,27,7,13,22,2
4,15794,170,19,695,179,18
6,951,38,8,12,13,3
2,1017,20,2,167,22,2
4,32069,94,7,1718,134,10
2,6873,117,17,55,115,17
18,46544,394,55,5626,428,128
5,242,6,2,5,8,0
1,4564,39,6,134,62,9
7,7278,137,24,25,98,7
7,6742,107,24,68,96,17
2,544637,6756,99,81184,6849,600
7,6263,162,22,221,157,26
4,9880,365,10,451,578,5
1,2990,41,4,9,28,4
2,8626,87,11,94,83,11
0,0,0,0,0,0,0
1,910,13,3,154,4,3
1,428,12,4,1,9,0
4,38309,157,23,7447,321,49
2,707,3,2,9,2,0
1,1253,5,1,0,4,0
4,13935,100,10,357,86,5
3,84754,359,21,1042,502,46
3,15029,233,25,294,276,26
3,2028,52,6,27,59,3
2,1033,8,4,8,5,0
5,7638,85,23,752,55,12
2,9243,88,8,196,111,29
4,6330,185,29,70,400,8
2,668,19,6,5,8,7
1,13181,68,3,295,195,4
4,2506,30,10,46,17,0
4,43981,371,100,1925,230,92
43,14818,278,60,337,316,16
1,18116,214,2,335,71,2
1,801,12,4,5,6,0
1,0,0,0,0,0,0
1,756,1,1,2,0,0
4,26920,266,28,251,129,75
2,4665,80,10,63,67,14
1,148,7,3,0,5,2
1,0,0,0,0,0,0
5,15121,236,28,121,276,18
7,3003,59,31,71,51,0
17,11549,143,32,198,96,31
13,1792,46,13,24,41,3
5,3419,32,9,66,19,1
8,30756,448,80,411,411,88
1,1040,5,1,43,3,0
2,0,0,0,0,0,0
1,604,16,2,2,3,2
5,1891,30,11,2,20,4
1,567,9,2,44,6,1
1,20324,98,8,1817,167,16
3,4849,39,13,161,36,6
1,0,0,0,0,0,0
1,4231,76,3,82,91,5
1,1101,19,2,26,8,1
6,12845,162,29,189,61,42
13,33219,132,34,445,157,10
1,1329,30,3,2,35,3
3,3227,43,10,94,49,4
2,5724,32,7,105,26,4
1,31,1,1,0,1,0
2,259,5,2,3,4,0
1,592,9,1,6,3,1
5,12608,235,20,123,132,20
12,2979,27,6,26,15,0
1,22370,110,13,3189,139,38
2,1874,40,12,24,14,2
0,0,0,0,0,0,0
1,27574,138,13,1058,274,55
12,104,4,3,0,3,0
1,2209,41,7,27,18,16
0,0,0,0,0,0,0
2,1400,13,4,48,13,0
11,51064,1087,138,1833,555,152
3,490,12,5,8,10,0
2,13929,223,4,425,417,6
1,2292,23,2,3,17,1
5,8392,132,24,24,128,44
4,2107,35,7,4,34,13
0,0,0,0,0,0,0
6,40705,292,28,3652,578,63
5,972,23,8,10,12,1
1,8494,64,8,150,77,12
1,172,3,1,1,3,0
4,9141,165,31,72,93,15
2,971,15,2,9,4,1
1,11906,200,17,32,122,4
4,359,10,5,2,5,0
3,3399,23,3,3,32,3
7,9987,147,23,86,170,12
8,5268,59,13,344,27,3
4,10699,359,20,11822,238,18
3,2633,113,7,33,112,4
10,8072,120,27,66,115,18
5,1559,11,5,11,5,0
4,10699,359,20,11822,238,18
45,23288,2312,52,148,4317,42
31,10412,321,41,138,346,11
8,8592,132,17,39,156,12
11,1111,29,5,4,42,2
1,0,0,0,0,0,0
5,0,0,0,0,0,0
21,8848,163,31,254,192,8
2,3828,49,6,64,49,4
1,5988,86,9,31,26,15
2,496,10,2,27,3,0
1,138,2,1,11,0,0
6,72533,545,32,1358,507,41
1,6513,79,17,254,142,7
0,0,0,0,0,0,0
2,416,11,5,1,5,0
1,13133,117,18,1121,131,52
3,7781,97,10,156,78,4
8,14654,156,17,292,137,31
3,576,10,3,9,11,1
2,493,8,5,8,4,0
3,7360,92,12,126,38,6
14,10078,235,41,72,237,18
4,1395,52,12,7,42,3
27,24108,202,20,268,198,14
4,428,6,3,114,5,0
0,0,0,0,0,0,0
8,73668,600,36,4453,932,102
29,3554,78,18,81,73,4
5,0,0,0,0,0,0
1,904,10,3,39,11,3
0,0,0,0,0,0,0
1,4311,85,9,1,94,5
1,605,4,1,12,0,0
2,687,23,9,21,30,0
3,7781,97,10,156,78,4
8,14654,156,17,292,137,31
4,15510,155,17,190,137,36
5,7510,117,14,114,46,27
1,2322,31,2,24,36,2
1,5490,65,5,552,73,11
1,648,22,9,7,18,1
1,0,0,0,0,0,0
2,516,11,5,11,5,2
1,2165,45,4,56,18,2
7,1040,30,11,11,32,2
17,14380,212,26,164,86,20
1,489,1,1,121,0,0
2,1301,34,2,46,33,1
11,19575,211,33,932,130,40
1,9641,85,5,561,63,8
1,7603,234,1,56,154,1
3,1893,17,5,23,12,0
2,12406,197,29,3865,212,49
1,9387,73,10,605,89,13
2,6767,46,5,179,40,2
12,60273,475,44,1053,260,32
2,5787,53,9,234,46,8
24,106363,1059,137,922,657,310
9,116258,1412,46,2152,1945,102
1,424,6,1,7,2,1
69,578614,2530,114,9144,2778,76
9,5632,52,10,375,81,6
1,2022,35,1,8,49,2
5,17310,151,16,828,134,31
8,7175,155,31,56,161,10
1,620,9,1,10,6,1
1,1636,9,2,30,4,1
48,73611,751,83,5283,659,34
2,9526,78,3,265,59,1
6,32183,181,21,464,306,16
5,26440,647,25,159,966,42
1,0,0,0,0,0,0
11,18812,288,19,547,276,20
1,2368,18,2,106,19,3
2,1962,29,3,59,11,2
4,8019,99,16,413,84,5
1,5417,69,3,72,104,4
1,573,7,1,18,1,0
4,6953,57,7,1105,87,6
6,43426,659,45,1786,466,90
2,1765,43,6,17,16,3
1,4785,27,2,253,28,3
2,8963,165,11,169,83,25
7,1961,59,21,8,33,4
3,2441,58,14,9,70,6
5,14350,204,32,159,134,33
9,14632,232,55,97,81,84
7,3851,58,16,50,21,9
2,24569,200,34,402,155,58
18,57943,404,126,306,332,62
1,5096,15,2,707,19,1
3,5714,69,8,183,13,4
29,22141,553,81,347,463,64
6,3808,34,8,65,14,2
2,20332,296,13,303,484,31
10,22576,261,26,1941,332,12
2,3350,41,12,24,59,10
0,0,0,0,0,0,0
4,1570,38,8,46,27,0
3,3548,80,9,92,87,12
1,3018,27,3,168,37,10
24,89339,517,52,9754,585,29
2,3093,36,4,86,50,1
25,8443,155,48,103,75,6
1,280,14,3,4,20,1
2,2761,75,18,35,36,5
11,54684,484,55,4150,445,117
1,11364,71,6,265,50,6
3,3304,68,15,17,31,16
5,5556,101,12,689,32,14
1,624,12,1,1,8,1
1,10054,59,8,271,86,4
25,19806,373,102,353,316,25
25,19806,373,102,353,316,25
2,2581,7,2,37,2,1
4,3043,50,6,36,35,6
2,8410,99,9,198,78,12
3,4588,51,9,180,29,3
1,14170,80,13,167,109,4
1,0,0,0,0,0,0
2,1650,19,2,85,12,0
4,11642,223,34,140,144,96
31,46496,460,77,356,309,56
18,124222,2252,270,2017,1210,432
75,200987,1666,232,2916,1796,241
42,340239,3006,118,5587,4076,189
8,237769,1690,61,4243,1760,136
1,15701,168,1,570,319,1
7,11529,124,39,1796,72,54
31,212971,1525,190,22309,2228,147
1,985,17,3,14,7,3
0,0,0,0,0,0,0
21,48920,417,65,200,257,80
0,0,0,0,0,0,0
1,6665,61,7,190,39,5
0,0,0,0,0,0,0
4,1192,29,7,4,15,2
0,0,0,0,0,0,0
3,5286,41,4,291,60,0
3,865,20,4,176,17,0
5,8180,156,21,140,53,18
15,18301,126,27,3446,191,6
10,27577,136,11,48,279,2
20,39987,264,21,172,301,4
0,0,0,0,0,0,0
2,1220,11,3,11,19,1
1,122,2,1,0,0,0
97,298931,2186,288,1835,1845,152
6,23861,195,24,204,151,17
8,10214,124,14,68,83,4
5,13676,80,14,85,107,9
1,2335,16,4,52,16,0
4,17918,186,13,582,189,7
13,47308,795,43,781,909,30
17,54588,685,34,3008,1053,62
5,2437,73,11,15,48,6
1,236,2,1,6,1,0
19,5182,69,19,95,41,1
17,10060,218,17,107,131,7
2,213,3,2,25,1,0
2,3804,52,13,72,65,3
1,2420,73,5,31,45,4
2,13597,127,10,195,119,23
13,7675,54,13,151,62,19
1,238,1,1,12,1,0
1,44882,396,11,205,485,39
2,3400,46,5,44,27,4
3,1762,12,3,289,10,0
2,624,7,3,98,4,0
1,8178,60,10,1087,154,36
2,1868,32,4,62,15,3
1,233,6,1,0,1,0
3,1885,49,6,7,13,0
6,17909,278,46,269,160,47
5,32353,92,8,440,222,11
8,36155,369,95,817,419,123
