Number of analyzed projects,Total LOC,Total types,Total namespaces,Total implementation smells detected,Total design smells detected,Total architecture smells detected
2,774,8,2,2,8,0
0,0,0,0,0,0,0
1,6506,79,1,21,86,2
6,3950,70,8,43,66,6
1,2537,88,7,11,126,3
5,6350,94,9,278,55,10
3,1444,39,11,27,13,4
31,5559,75,31,45,18,1
1,5991,63,4,251,38,6
1,2618,16,2,342,14,0
8,18235,245,18,32,304,12
0,0,0,0,0,0,0
1,95,3,2,1,2,0
13,1949,48,19,14,56,4
0,0,0,0,0,0,0
1,828,23,6,15,29,1
1,4155,103,6,35,118,7
2,20994,395,18,645,377,15
1,9670,110,19,69,80,34
5,42549,576,43,1772,584,165
14,28456,155,24,2516,207,9
13,67337,1315,53,2954,1586,193
2,150,5,3,1,5,0
1,1389,86,1,18,115,2
1,1007,47,8,10,15,3
1,0,0,0,0,0,0
1,167,4,1,1,1,0
1,473,16,2,2,3,0
2,383,8,2,0,3,0
2,613,30,5,5,37,3
0,0,0,0,0,0,0
1,3404,43,12,48,42,4
2,692,6,2,4,7,0
2,5657,52,14,169,40,5
6,1944,49,18,9,31,1
1,543,8,2,2,0,2
3,26789,419,61,332,216,57
1,2458,39,6,36,33,6
13,4863,50,22,229,43,0
2,6081,69,17,50,53,14
5,2373,35,13,69,22,5
2,1158,25,7,17,8,6
5,165631,459,32,24304,1359,50
0,0,0,0,0,0,0
13,99588,978,64,549,1017,36
3,7619,101,10,104,100,13
2,9800,87,7,1388,133,14
12,6977,163,12,110,269,4
4,3684,55,8,41,30,6
2,3502,32,4,32,21,5
1,805,9,2,6,8,1
0,0,0,0,0,0,0
4,4297,37,10,71,31,2
9,6423,119,18,25,72,4
7,2121,23,7,9,21,1
4,2542,32,6,5,20,3
1,338,2,1,2,3,0
61,68407,598,90,1614,598,54
7,76715,1141,16,1515,1888,19
4,19751,259,12,326,390,15
3,2495,21,4,120,20,3
3,2474,26,5,50,16,1
5,21736,292,14,202,274,9
2,2980,34,5,16,24,2
38,328172,2261,73,8226,3231,110
1,177,3,2,28,3,0
4,17487,311,24,176,232,19
3,6201,104,13,27,61,28
6,15253,192,13,586,309,9
104,282068,5242,488,2052,2563,669
3,3110,62,12,42,30,10
7,11221,164,29,94,196,4
3,14687,240,35,194,165,90
0,0,0,0,0,0,0
0,0,0,0,0,0,0
3,3146,69,11,24,73,4
4,7280,117,22,75,52,26
5,4027,96,19,52,75,8
7,18633,319,12,2357,189,8
1,27179,207,33,486,254,69
5,4156,79,18,45,60,8
1,7998,67,13,138,66,6
2,3757,29,2,117,51,1
13,4459,118,23,88,134,12
4,8691,57,10,4553,41,22
2,7863,68,12,193,59,20
2,3543,80,23,23,59,4
98,475539,7480,337,20109,9087,421
47,118297,2274,458,2778,1252,371
1,870,10,1,5,9,1
25,14499,241,33,391,169,25
34,23702,416,74,518,473,19
3,15294,167,23,709,168,13
7,20539,268,51,589,80,39
1,1213,16,3,9,10,1
3,6132,66,9,75,72,3
2,15184,260,18,150,138,28
3,5113,76,5,117,89,4
3,16301,177,21,14,195,29
6,54709,894,21,480,1006,59
2,3191,16,2,70,19,1
1,2314,53,7,8,27,6
2,695,13,4,8,8,1
5,2470,34,6,126,22,1
4,18814,123,26,116,175,52
93,331983,2158,230,28400,2818,161
26,247236,1404,120,3756,1698,267
1,0,0,0,0,0,0
1,3627,11,1,333,37,0
9,14825,110,27,143,150,24
2,1333,27,3,9,13,1
16,14869,167,36,346,125,8
5,5072,84,17,320,50,5
1,32829,196,21,615,299,72
2,2623,28,3,148,32,2
4,2512,34,9,32,39,2
2,801,14,6,10,6,0
3,4027,30,4,573,29,2
2,1307,34,5,25,15,2
8,5804,45,14,52,38,1
1,1031,34,6,29,25,5
