arch_smells,design_smells,loc,arch_sd,design_sd
2,43,7417,0.269650802,5.797492248
467,7334,877446,0.532226485,8.358349118
167,2071,515907,0.323701752,4.014289397
0,35,2222,0,15.75157516
1,47,6949,0.143905598,6.763563103
6,237,47906,0.125245272,4.947188244
2,38,5031,0.397535281,7.553170344
1,12,1787,0.55959709,6.715165081
1,261,29161,0.034292377,8.950310346
6,1619,172321,0.034818739,9.395256527
4,39,3038,1.316655695,12.83739302
63,202,8289,7.600434311,24.36964652
12,186,13173,0.910954225,14.11979048
0,4,980,0,4.081632653
0,12,763,0,15.72739187
6,137,15912,0.377073906,8.609854198
6,137,15912,0.377073906,8.609854198
0,6,1348,0,4.451038576
5,36,5422,0.922168941,6.639616378
0,11,841,0,13.07966706
0,3,353,0,8.498583569
3,56,3349,0.895789788,16.72140938
1,65,1905,0.524934383,34.12073491
1437,9264,1921680,0.74778319,4.820781816
11,96,6498,1.692828563,14.77377655
159,698,59142,2.68844476,11.80210341
1,30,4954,0.201857085,6.055712556
0,8,1514,0,5.284015852
28,50,4471,6.262581078,11.1831805
4,194,16817,0.237854552,11.53594577
3,59,3303,0.908265213,17.8625492
3,24,1175,2.553191489,20.42553191
15,383,8506,1.763461086,45.02703974
147,120,15085,9.744779582,7.954922108
0,3,909,0,3.300330033
25,152,18313,1.36515044,8.300114673
2,18,1373,1.456664239,13.10997815
11,88,10270,1.071080818,8.568646543
0,34,6905,0,4.923968139
2,53,21181,0.094424248,2.502242576
4,15,2460,1.62601626,6.097560976
0,11,848,0,12.97169811
0,7,513,0,13.64522417
395,1918,358093,1.103065405,5.356150497
5,171,9090,0.550055006,18.81188119
9,62,10581,0.850581231,5.859559588
2,46,2883,0.693721818,15.9556018
35,473,67791,0.516292723,6.977327374
3,68,4125,0.727272727,16.48484848
0,27,2286,0,11.81102362
1,15,3334,0.299940012,4.49910018
4,219,32885,0.121636004,6.659571233
10,331,62723,0.15943115,5.277171054
90,327,40257,2.235636038,8.12281094
18,68,9985,1.802704056,6.810215323
0,24,2787,0,8.611410118
0,8,1247,0,6.415396953
3,32,3834,0.782472613,8.346374544
12,101,10154,1.181800276,9.946818988
2,18,2119,0.943841435,8.494572912
49,736,38822,1.262170934,18.9583226
0,35,2993,0,11.69395256
1,40,6264,0.159642401,6.385696041
0,4,530,0,7.547169811
0,8,1331,0,6.010518407
0,7,1165,0,6.008583691
0,3,584,0,5.136986301
0,9,672,0,13.39285714
0,4,740,0,5.405405405
72,1977,102452,0.702768126,19.29684145
2,40,6931,0.28855865,5.771172991
0,5,730,0,6.849315068
7,177,15720,0.445292621,11.25954198
40,486,46944,0.852079073,10.35276074
9,269,69435,0.129617628,3.874126881
1,112,14038,0.071235219,7.978344494
16,449,26051,0.614179878,17.23542282
7,460,24585,0.284726459,18.71059589
10,252,11528,0.867453158,21.85981957
6,58,8716,0.688389169,6.654428637
6,98,11787,0.509035378,8.314244507
0,11,710,0,15.49295775
3,140,5571,0.538502962,25.13013822
18,89,8179,2.200758039,10.88152586
138,1086,126793,1.08838816,8.565141609
8,125,7429,1.07686095,16.82595235
0,18,1139,0,15.80333626
0,4,245,0,16.32653061
38,807,88630,0.428748731,9.105269096
11,67,4500,2.444444444,14.88888889
29,45,7236,4.007739082,6.218905473
1,17,3312,0.301932367,5.132850242
11,232,18360,0.59912854,12.63616558
47,577,47231,0.995109144,12.21655269
1,25,2618,0.38197097,9.549274255
4,22,843,4.744958482,26.09727165
8,331,73837,0.108346764,4.482847353
4,10,2580,1.550387597,3.875968992
19,134,30272,0.627642706,4.42653277
6,167,6919,0.867177338,24.1364359
1,8,816,1.225490196,9.803921569
2,52,2044,0.978473581,25.44031311
25,265,20509,1.218977034,12.92115657
1,25,2206,0.453309157,11.33272892
8,192,7483,1.069089937,25.65815849
8,55,6399,1.250195343,8.595092983
4,56,5251,0.761759665,10.66463531
1,15,2279,0.438788943,6.581834138
230,3136,256778,0.895715365,12.21288428
44,257,16874,2.60756193,15.23053218
2,26,2527,0.791452315,10.28888009
2,7,1007,1.986097319,6.951340616
1,11,1606,0.622665006,6.849315068
3,67,6527,0.459629232,10.26505286
46,1190,166508,0.276263002,7.146803757
11,341,28906,0.380543832,11.79685878
13,24,2220,5.855855856,10.81081081
11,73,10779,1.02050283,6.772427869
2,7,1158,1.727115717,6.044905009
380,2244,167075,2.274427652,13.43109382
18,118,22427,0.802604004,5.261515138
6,96,14036,0.427472214,6.839555429
18,609,20829,0.864179749,29.23808152
6,69,3983,1.506402209,17.32362541
0,2,458,0,4.366812227
116,872,163444,0.709723208,5.335160667
3,56,9110,0.329308452,6.147091109
26,258,19832,1.311012505,13.00927793
4,126,14943,0.267683865,8.432041759
1,22,967,1.034126163,22.75077559
1,15,2451,0.407996736,6.11995104
71,743,51616,1.375542467,14.39476131
71,743,51616,1.375542467,14.39476131
100,562,55595,1.798722907,10.10882274
65,262,25968,2.503080715,10.08934073
23,90,14102,1.63097433,6.382073465
52,266,19393,2.681379879,13.71628938
313,1010,82474,3.795135437,12.24628368
20,75,6240,3.205128205,12.01923077
83,828,67926,1.22191797,12.18973589
197,1306,170899,1.152727634,7.641940561
392,1268,102794,3.813452147,12.33535031
2,34,9104,0.219683656,3.734622144
6,33,3149,1.905366783,10.47951731
37,162,12412,2.980986142,13.05188527
0,2,223,0,8.968609865
1,24,2573,0.38865138,9.327633113
313,1804,264244,1.184511285,6.827023509
4,152,6355,0.629425649,23.91817467
2,114,27239,0.073424135,4.185175667
0,9,769,0,11.70351105
4,57,7681,0.520765525,7.420908736
4,69,13798,0.289897087,5.000724743
40,306,31616,1.265182186,9.678643725
0,8,774,0,10.33591731
2,126,7654,0.26130128,16.46198066
4,73,5809,0.688586676,12.56670683
3,71,2556,1.17370892,27.77777778
8,49,8047,0.994159314,6.089225798
4,28,2093,1.911132346,13.37792642
8,50,74992,0.106678046,0.666737785
10,79,10537,0.949036728,7.497390149
0,10,2618,0,3.819709702
8,275,18235,0.438716753,15.0808884
3,19,1182,2.538071066,16.07445008
2,12,755,2.649006623,15.89403974
0,9,778,0,11.56812339
6,40,1736,3.456221198,23.04147465
10,134,5933,1.685487949,22.58553851
30,352,20994,1.428979708,16.76669525
27,116,13341,2.023836294,8.695000375
161,745,43860,3.670770634,16.98586411
10,144,28456,0.351419736,5.060444195
210,1301,67337,3.118642054,19.32073006
0,3,150,0,20
2,145,1794,1.114827202,80.82497213
6,22,1870,3.20855615,11.76470588
1,16,1659,0.602772755,9.644364075
0,1,167,0,5.988023952
2,11,852,2.34741784,12.91079812
0,4,675,0,5.925925926
3,25,613,4.893964111,40.78303426
3,20,3015,0.995024876,6.633499171
11,50,3422,3.214494448,14.6113384
0,6,692,0,8.670520231
6,40,5657,1.060632844,7.070885628
4,70,3984,1.004016064,17.57028112
3,4,850,3.529411765,4.705882353
60,191,26789,2.23972526,7.129792079
8,28,2645,3.024574669,10.58601134
56,94,14100,3.971631206,6.666666667
14,29,6081,2.302252919,4.768952475
7,20,2373,2.949852507,8.428150021
14,6,1235,11.33603239,4.858299595
83,1602,229826,0.361142778,6.970490719
34,708,99588,0.341406595,7.109290276
18,120,12696,1.417769376,9.451795841
25,194,12162,2.055582963,15.9513238
3,216,7265,0.412938747,29.73158981
7,42,5767,1.21380267,7.282816022
13,113,14022,0.927114534,8.058764798
1,11,1731,0.577700751,6.354708261
6,27,4357,1.377094331,6.196924489
9,223,14516,0.620005511,15.36235878
2,21,2384,0.838926174,8.808724832
1,26,2906,0.344115623,8.947006194
0,5,727,0,6.877579092
50,577,69906,0.715246188,8.253941006
24,1263,97285,0.246697847,12.98247417
17,251,23876,0.712012062,10.51264868
1,23,3047,0.328191664,7.54840827
1,16,2566,0.389711613,6.235385814
20,421,51963,0.384889248,8.101918673
4,30,3907,1.02380343,7.678525723
238,5100,687537,0.346163188,7.417782607
1,359,49983,0.020006802,7.18244203
35,205,19577,1.787812229,10.47147162
0,6,434,0,13.82488479
50,289,11413,4.38096907,25.32200123
20,392,47247,0.4233073,8.296823079
171,487,451624,0.378633554,1.078330647
11,37,3985,2.760351317,9.284818068
3,172,11334,0.264690312,15.17557791
98,167,17107,5.728649091,9.762085696
1,19,646,1.547987616,29.41176471
6,60,3146,1.907183725,19.07183725
34,223,15762,2.157086664,14.14795077
8,81,5071,1.577598107,15.97318083
7,116,24515,0.285539466,4.731796859
108,522,42995,2.511919991,12.14094662
6,60,4383,1.368925394,13.68925394
17,55,7998,2.125531383,6.87671918
1,47,3973,0.251698968,11.8298515
14,95,4529,3.091190108,20.97593288
17,58,11194,1.518670716,5.18134715
24,51,7999,3.000375047,6.375796975
3,51,4042,0.742206828,12.61751608
362,4141,489358,0.739744727,8.462107496
487,1493,144010,3.381709603,10.3673356
0,11,1239,0,8.878127522
31,235,22533,1.375759996,10.42914836
33,459,76134,0.433446292,6.028843881
12,174,17057,0.70352348,10.20109046
38,133,23200,1.637931034,5.732758621
3,4,1213,2.473206925,3.297609233
5,77,6684,0.748055057,11.52004788
23,73,15912,1.445449975,4.587732529
4,85,6516,0.613873542,13.04481277
45,320,22277,2.020020649,14.36459128
34,868,49251,0.690341313,17.62400763
0,22,4216,0,5.218216319
7,40,3146,2.22504768,12.71455817
2,10,869,2.301495972,11.50747986
1,40,2709,0.369139904,14.76559616
61,176,18814,3.242266397,9.354735835
204,2256,260323,0.78364186,8.666157043
11,243,92952,0.118340649,2.614252517
171,632,53955,3.169307756,11.71346492
0,27,3679,0,7.338950802
24,133,41907,0.572696686,3.173694132
1,24,2603,0.384172109,9.220130619
29,133,17805,1.628755967,7.469811851
4,63,5430,0.73664825,11.60220994
77,281,32829,2.345487222,8.559505315
3,28,10396,0.288572528,2.693343594
2,27,2579,0.775494378,10.4691741
0,6,801,0,7.490636704
2,30,4027,0.496647629,7.449714428
1,15,1307,0.765110941,11.47666412
8,62,9632,0.830564784,6.436877076
6,68,3039,1.974333662,22.37578151
5,18,1625,3.076923077,11.07692308
15,111,7320,2.049180328,15.16393443
6,87,12793,0.469006488,6.800594075
25,172,30645,0.815793767,5.612661119
5,107,4030,1.240694789,26.55086849
27,510,38827,0.695392382,13.13518943
17,53,12968,1.310919186,4.086983344
1,357,77710,0.012868357,4.594003346
1,23,2679,0.37327361,8.58529302
0,11,2104,0,5.228136882
6,49,3993,1.502629602,12.27147508
2,38,6188,0.323206206,6.140917906
82,471,26419,3.103826791,17.82807828
0,26,7121,0,3.651172588
40,208,36892,1.084245907,5.638078716
10,92,11339,0.881911985,8.113590264
0,13,2271,0,5.724350506
0,7,1057,0,6.622516556
117,686,87001,1.344812129,7.884966839
9,190,50241,0.179136562,3.78177186
117,562,38678,3.024975438,14.5302239
4,138,25028,0.159821,5.513824517
3,58,4755,0.630914826,12.19768665
0,6,568,0,10.56338028
9,234,26509,0.339507337,8.827190765
8,221,14531,0.550547106,15.20886381
19,167,12652,1.501738856,13.19949415
7,31,3439,2.035475429,9.014248328
6,43,2360,2.542372881,18.22033898
14,86,14747,0.94934563,5.831694582
0,11,3378,0,3.256364713
0,7,1158,0,6.044905009
0,4,1801,0,2.22098834
0,3,288,0,10.41666667
10,190,14074,0.710530055,13.50007105
0,5,234,0,21.36752137
8,137,8727,0.916695313,15.69840724
0,13,2450,0,5.306122449
14,136,9228,1.517121803,14.73775466
7,53,5044,1.38778747,10.5075337
18,240,14596,1.233214579,16.44286106
0,4,1220,0,3.278688525
103,840,126318,0.815402397,6.649883627
14,193,15500,0.903225806,12.4516129
7,66,5069,1.380942987,13.02031959
62,248,20943,2.960416368,11.84166547
277,8958,178570,1.55121241,50.16520132
29,162,16158,1.794776581,10.02599332
0,2,786,0,2.544529262
11,247,10765,1.021830005,22.94472829
1,37,1067,0.937207123,34.67666354
4,31,7965,0.502197112,3.892027621
1,11,1915,0.522193211,5.744125326
0,0,256,0,0
5,20,4050,1.234567901,4.938271605
77,552,26291,2.928758891,20.99577802
9,229,21634,0.416011833,10.58518998
0,90,6351,0,14.17099669
0,22,1639,0,13.42281879
3,93,1066,2.814258912,87.24202627
4,43,1849,2.163331531,23.25581395
33,135,14251,2.315626974,9.473019437
0,6,1077,0,5.571030641
64,162,14302,4.474898616,11.32708712
104,616,35958,2.892263196,17.13109739
36,320,15265,2.358336063,20.96298723
27,173,11098,2.432870788,15.58839431
94,441,23556,3.990490745,18.72134488
72,1416,101147,0.71183525,13.99942658
1,8,1001,0.999000999,7.992007992
204,635,52247,3.904530404,12.15380787
22,85,9581,2.296211251,8.87172529
4,17,2545,1.571709234,6.679764244
0,4,2291,0,1.745962462
117,268,15385,7.60480988,17.41956451
0,14,1586,0,8.827238335
1,18,2444,0.409165303,7.36497545
1,8,1240,0.806451613,6.451612903
1,17,2246,0.445235975,7.569011576
45,287,18338,2.45392082,15.65056168
6,40,5420,1.10701107,7.380073801
0,76,1577,0,48.19277108
3,63,15439,0.194313103,4.080575167
11,234,7726,1.423763914,30.28734144
1,22,1339,0.74682599,16.43017177
1,2,877,1.140250855,2.28050171
0,14,768,0,18.22916667
0,2,212,0,9.433962264
38,134,12283,3.093706749,10.90938696
10,95,10178,0.982511299,9.333857339
19,80,2869,6.622516556,27.88428024
19,80,2869,6.622516556,27.88428024
4,66,2241,1.784917448,29.45113788
5,26,2322,2.153316107,11.19724376
26,55,7556,3.44097406,7.278983589
19,207,8791,2.161301331,23.54680924
21,77,7387,2.842832002,10.42371734
1,74,11807,0.08469552,6.267468451
0,6,293,0,20.4778157
0,12,1194,0,10.05025126
40,187,11584,3.453038674,16.1429558
0,9,1492,0,6.032171582
21,92,21480,0.977653631,4.283054004
12,237,21503,0.558061666,11.0217179
1,20,1922,0.520291363,10.40582726
3,70,12217,0.245559466,5.729720881
26,152,27521,0.944733113,5.523055122
0,9,915,0,9.836065574
0,5,558,0,8.960573477
17,64,13729,1.238254789,4.661665088
850,9767,1732374,0.490656175,5.637928069
58,704,99138,0.585043071,7.101212451
95,1105,64304,1.477357552,17.184001
0,1,144,0,6.944444444
25,132,33934,0.736724229,3.889903931
0,3,1084,0,2.767527675
13,251,4794,2.711722987,52.35711306
15,221,7597,1.974463604,29.09043043
2,37,4294,0.465766185,8.616674429
27,68,8153,3.311664418,8.340488164
1,21,4806,0.208073242,4.369538077
19,55,3759,5.054535781,14.63155094
0,31,3137,0,9.882052917
16,326,28342,0.564533202,11.50236398
78,573,41816,1.865314712,13.70288885
9,122,6928,1.299076212,17.60969977
46,266,46716,0.984673345,5.693980649
3,123,8982,0.334001336,13.69405478
0,1,402,0,2.487562189
1,8,960,1.041666667,8.333333333
5,62,5551,0.900738606,11.16915871
24,158,30245,0.79351959,5.224003968
10,17,1186,8.431703204,14.33389545
45,292,28401,1.584451252,10.28132812
14,207,9811,1.426969728,21.09876669
60,614,51111,1.173915595,12.01306959
7,181,672008,0.010416543,0.269342032
5,42,3335,1.499250375,12.59370315
0,8,943,0,8.483563097
19,166,16021,1.185943449,10.36140066
16,343,35223,0.454248644,9.737955313
4,599,58991,0.067806954,10.1540913
7,55,4917,1.423632296,11.18568233
28,71,15372,1.821493625,4.618787406
15,146,11078,1.354035024,13.17927424
732,7050,881672,0.830240724,7.996170912
2,4,1149,1.740644038,3.481288077
86,395,51225,1.67886774,7.711078575
2,28,3292,0.607533414,8.505467801
7,74,8604,0.813575081,8.60065086
34,61,6898,4.928964917,8.84314294
1,11,880,1.136363636,12.5
4,28,1572,2.544529262,17.81170483
0,52,4336,0,11.99261993
0,11,608,0,18.09210526
8,197,34158,0.23420575,5.767316588
906,3762,532084,1.702738665,7.070312206
2,11,2356,0.848896435,4.66893039
17,26,2194,7.74840474,11.85050137
20,246,44513,0.449306944,5.526475412
2,94,4458,0.448631673,21.08568865
3,1903,250285,0.011986336,7.603332201
4,241,38371,0.104245394,6.280784968
49,715,78893,0.621094394,9.062907989
229,2227,73768,3.104327079,30.18924195
0,5,360,0,13.88888889
1,35,4736,0.211148649,7.390202703
60,384,33676,1.781684286,11.40277943
27,236,13267,2.035124746,17.78849778
2,25,3247,0.615953188,7.699414844
0,6,1229,0,4.882017901
62,2347,176991,0.350300298,13.26056127
1,3,1278,0.782472613,2.34741784
229,2021,189756,1.20681296,10.65051961
9,110,9960,0.903614458,11.04417671
65,1504,132942,0.488935024,11.31320425
359,2167,282494,1.270823451,7.670959383
2,10,902,2.2172949,11.0864745
103,743,119869,0.859271371,6.19843329
56,312,42405,1.320598986,7.357622922
29,220,19240,1.507276507,11.43451143
13,147,8489,1.531393568,17.31652727
19,110,9667,1.965449467,11.37891797
0,2,1684,0,1.187648456
18,149,8616,2.08913649,17.29340761
13,59,3085,4.213938412,19.12479741
41,331,30263,1.354789677,10.93744837
2,46,16670,0.119976005,2.75944811
5,61,6276,0.796685787,9.719566603
2,26,1975,1.012658228,13.16455696
0,25,1867,0,13.39046599
1,304,43488,0.022994849,6.990434143
41,490,96806,0.423527467,5.061669731
17,135,17027,0.998414283,7.928584014
47,1071,129094,0.36407579,8.29628023
0,19,2854,0,6.657323055
2,17,896,2.232142857,18.97321429
140,1120,110645,1.265307967,10.12246374
3,68,4078,0.735654733,16.67484061
9,30,4266,2.109704641,7.032348805
85,772,97556,0.871294436,7.913403584
0,38,2950,0,12.88135593
1,16,1239,0.807102502,12.91364003
9,67,16299,0.552181115,4.110681637
1,13,1325,0.754716981,9.811320755
0,12,2398,0,5.004170142
64,219,43107,1.484677663,5.080381377
20,204,33301,0.600582565,6.125942164
0,12,1121,0,10.70472792
1,18,1478,0.676589986,12.17861976
0,27,3541,0,7.624964699
9,457,126635,0.071070399,3.608796936
13,431,41015,0.316957211,10.5083506
2,12,1113,1.796945193,10.78167116
4,99,6550,0.610687023,15.11450382
2,12,3720,0.537634409,3.225806452
49,236,17333,2.826977442,13.61564645
7,18,672,10.41666667,26.78571429
13,139,12082,1.075980798,11.50471776
6,30,7856,0.763747454,3.818737271
17,35,3163,5.374644325,11.0654442
0,1,68,0,14.70588235
15,316,19824,0.756658596,15.94027441
1,18,2488,0.40192926,7.234726688
24,144,7879,3.046071837,18.27643102
0,2,549,0,3.64298725
0,0,379,0,0
0,27,4770,0,5.660377358
0,2,296,0,6.756756757
2,25,2613,0.76540375,9.567546881
0,22,3045,0,7.224958949
16,191,15578,1.027089485,12.26088073
7,123,9558,0.732370789,12.868801
186,7588,317154,0.586465881,23.92528551
186,7588,317154,0.586465881,23.92528551
67,434,20013,3.347823914,21.68590416
1,6,920,1.086956522,6.52173913
1,11,1879,0.532197978,5.854177754
10,199,18795,0.532056398,10.58792232
1,18,1036,0.965250965,17.37451737
29,196,20435,1.419133839,9.591387326
10,110,9004,1.110617503,12.21679254
27,73,8790,3.071672355,8.304891923
0,23,3674,0,6.260206859
28,209,13090,2.139037433,15.96638655
264,1376,151889,1.738111384,9.059247213
380,3100,374590,1.014442457,8.275714781
516,974,150735,3.423226192,6.461671145
1,15,3548,0.281848929,4.227733935
3,17,1553,1.93174501,10.94655505
2,46,2173,0.920386562,21.16889093
31,389,20707,1.497078283,18.78591781
92,283,19527,4.711425206,14.49275362
36,194,20654,1.743003777,9.392853685
9,101,2819,3.192621497,35.82830791
2,61,4370,0.457665904,13.95881007
0,3,284,0,10.56338028
4,85,24835,0.161063016,3.422589088
0,31,2850,0,10.87719298
0,2,157,0,12.7388535
12,409,9899,1.212243661,41.31730478
0,0,43,0,0
0,4,474,0,8.438818565
3,209,41265,0.072700836,5.064824912
18,111,10979,1.639493579,10.1102104
8,100,33366,0.23976503,2.997062878
129,1318,89662,1.438736589,14.6996498
6,284,9654,0.62150404,29.41785788
0,16,1929,0,8.294453084
1,61,6032,0.165782493,10.1127321
1,12,1186,0.84317032,10.11804384
13,17,2420,5.371900826,7.024793388
13,334,39129,0.332234404,8.535868537
13,27,2901,4.481213375,9.307135471
0,8,354,0,22.59887006
0,5,672,0,7.44047619
8,670,94162,0.084959963,7.115396869
19,2202,267345,0.071069218,8.23654828
11,115,10944,1.005116959,10.50804094
13,198,57066,0.2278064,3.469666702
0,16,2126,0,7.525870179
2,58,301988,0.00662278,0.192060612
1,151,18896,0.052921253,7.991109229
14,1207,175176,0.079919624,6.890213271
276,4459,403489,0.684033518,11.05110672
10,59,5048,1.980982567,11.68779715
25,210,10184,2.454831108,20.6205813
